age_group,month,n,mean,median,std,type
"[20,80]",1,721,5.8222015047867,4.19999980926514,6.1280577319116,male
"[20,80]",2,625,6.59381548681259,4.15000009536743,10.4973619349433,male
"[20,80]",3,660,8.27949105338617,4.19999980926514,16.85258720732,male
"[20,80]",4,538,5.61889460605316,4.09999990463257,6.91266980049472,male
"[20,80]",5,651,5.63610810966169,4.14575719833374,7.1757510446238,male
"[20,80]",6,647,5.69638524643236,4,6.76525864104857,male
"[20,80]",7,664,6.18085680376873,4,10.7622847508455,male
"[20,80]",8,626,6.16412154906474,4.19999980926514,8.47983080874491,male
"[20,80]",9,580,6.42754110693932,4,12.586926608341,male
"[20,80]",10,629,5.40269250009322,3.93392992019653,7.18151184610572,male
"[20,80]",11,683,5.4751942433515,3.95000004768372,6.42785554390415,male
"[20,80]",12,714,5.73408897989104,4.11274814605713,7.8060026949108,male
"[20,80]",1,20143,3.77798724104222,2.72348999977112,3.47844760573897,female
"[20,80]",2,18521,3.82573023113092,2.72348999977112,3.48976006954198,female
"[20,80]",3,19185,3.79096853968872,2.70000004768372,3.52206616157297,female
"[20,80]",4,17266,3.81924628127109,2.73000001907349,3.5265896563751,female
"[20,80]",5,18494,3.78855770698068,2.70000004768372,3.51802902884701,female
"[20,80]",6,19201,3.71730467289241,2.59999990463257,3.59214633741715,female
"[20,80]",7,19777,3.6718980689083,2.59999990463257,3.46928315588844,female
"[20,80]",8,18954,3.578984189003,2.59999990463257,3.16749835817517,female
"[20,80]",9,16874,3.58069638491624,2.59999990463257,3.23671490793877,female
"[20,80]",10,18761,3.59467674362355,2.54192399978638,3.36235595091691,female
"[20,80]",11,20559,3.53700358007656,2.5,3.32575131394658,female
"[20,80]",12,21720,3.63297635044896,2.59999990463257,3.35501199982969,female
"[20,80]",1,20863,3.84392261763967,2.78999996185303,3.56818309621349,both
"[20,80]",2,19146,3.89517002507373,2.79999995231628,3.60090258282723,both
"[20,80]",3,19849,3.88320608608752,2.73000001907349,3.72544042575607,both
"[20,80]",4,17809,3.86685468173722,2.79999995231628,3.59269521970509,both
"[20,80]",5,19147,3.83943512249274,2.75,3.55837244616306,both
"[20,80]",6,19851,3.77307525693148,2.66296792030334,3.65912491318331,both
"[20,80]",7,20435,3.72798605306037,2.64000010490418,3.54939066858135,both
"[20,80]",8,19581,3.64373769605527,2.63000011444092,3.25113049307053,both
"[20,80]",9,17493,3.63387091792189,2.61999988555908,3.3223179319829,both
"[20,80]",10,19396,3.64210756799442,2.59999990463257,3.42545800181102,both
"[20,80]",11,21247,3.59110947591858,2.51166296005249,3.39451443394384,both
"[20,80]",12,22479,3.67871257550744,2.64000010490418,3.40876957065603,both
