age_group,month,n,mean,median,std,type
"[20,80]",1,345,0.50919691738875,0.517241358757019,0.234305973087355,male
"[20,80]",2,313,0.525812480586786,0.53125,0.227344300377657,male
"[20,80]",3,305,0.527934940110465,0.517647087574005,0.240956555858923,male
"[20,80]",4,255,0.512079752484957,0.533333361148834,0.233481852474902,male
"[20,80]",5,317,0.529929031285954,0.550724625587463,0.224889910656597,male
"[20,80]",6,296,0.50330086918296,0.481837317347527,0.22828259818589,male
"[20,80]",7,295,0.514858565264839,0.52173912525177,0.242897953558882,male
"[20,80]",8,289,0.527933411429085,0.535714268684387,0.212961869476769,male
"[20,80]",9,273,0.465200363443448,0.439999997615814,0.23835761648145,male
"[20,80]",10,288,0.472854230190731,0.471715852618218,0.229493342353346,male
"[20,80]",11,321,0.4938310644012,0.486486494541168,0.236066131000774,male
"[20,80]",12,341,0.50996281311484,0.518518507480621,0.221717371060782,male
"[20,80]",1,9460,0.520213314278118,0.524243801832199,0.23013076506465,female
"[20,80]",2,8772,0.525039506075599,0.528704106807709,0.228439325998338,female
"[20,80]",3,9077,0.516761747033629,0.513352394104004,0.22721207491393,female
"[20,80]",4,8133,0.529736816764911,0.537646114826202,0.227994026595302,female
"[20,80]",5,8838,0.518398710789758,0.525535941123962,0.232987841956862,female
"[20,80]",6,9074,0.501004427429211,0.503259181976318,0.232912267146375,female
"[20,80]",7,9236,0.506272902395197,0.51103150844574,0.233893200936991,female
"[20,80]",8,8943,0.505872676272521,0.508606314659119,0.234000811199545,female
"[20,80]",9,7987,0.501084536569608,0.502254784107208,0.230414298422584,female
"[20,80]",10,8771,0.494510475108227,0.49449035525322,0.230673190779654,female
"[20,80]",11,9531,0.490201267896801,0.486607134342194,0.234407693824104,female
"[20,80]",12,10253,0.503149682298226,0.502254784107208,0.230442021063379,female
"[20,80]",1,9808,0.519863001080032,0.523285746574402,0.230329361080477,both
"[20,80]",2,9085,0.525066136898054,0.528704106807709,0.228389270582242,both
"[20,80]",3,9386,0.517021247794411,0.513352394104004,0.227723370301382,both
"[20,80]",4,8385,0.529350904396196,0.537313461303711,0.228069567360359,both
"[20,80]",5,9155,0.518881916247028,0.526742279529572,0.232655615223789,both
"[20,80]",6,9372,0.501003935706543,0.502254784107208,0.232783494361843,both
"[20,80]",7,9534,0.506495117577731,0.511263906955719,0.234239671655251,both
"[20,80]",8,9232,0.506669093839392,0.509569406509399,0.233355951537959,both
"[20,80]",9,8261,0.499854524017297,0.501199066638947,0.230769109835011,both
"[20,80]",10,9059,0.493809989277976,0.4935622215271,0.230621512891735,both
"[20,80]",11,9852,0.490401446963749,0.486636906862259,0.234451681859056,both
"[20,80]",12,10588,0.503601148084909,0.503259181976318,0.230017995273691,both
