age_group,month,n,mean,median,std,type
"[20,80]",1,423,6.05127859143783,4.51000022888184,5.63454767973836,male
"[20,80]",2,383,7.45463935622347,4.59999990463257,13.8211963175327,male
"[20,80]",3,375,9.63483678436279,4.59999990463257,20.5295920479394,male
"[20,80]",4,311,6.55703515485169,4.67000007629395,10.1685848927641,male
"[20,80]",5,389,5.7983410873266,4.80000019073486,5.09541164068906,male
"[20,80]",6,364,5.92680058571009,4.5,5.64206333898052,male
"[20,80]",7,361,7.72643726222073,4.40000009536743,15.3970980850914,male
"[20,80]",8,353,6.71678640703979,4.59999990463257,9.84128451959232,male
"[20,80]",9,335,6.57383739770348,4.30000019073486,12.0663884109804,male
"[20,80]",10,352,6.01782501996918,4.40000009536743,9.70725562054789,male
"[20,80]",11,393,5.80598414914905,4.30000019073486,6.02464591845924,male
"[20,80]",12,417,7.12321706755842,4.47862815856934,12.9751943135702,male
"[20,80]",1,11611,3.69059896823839,2.79999995231628,3.01939567250611,female
"[20,80]",2,10766,3.71867883683203,2.79999995231628,2.9932106150832,female
"[20,80]",3,11142,3.68664362414631,2.79999995231628,3.01183508686548,female
"[20,80]",4,9961,3.74958942034268,2.90000009536743,2.95363427614584,female
"[20,80]",5,10837,3.69971355468879,2.79999995231628,3.04153476828243,female
"[20,80]",6,11116,3.5417637680612,2.70000004768372,2.87180577062244,female
"[20,80]",7,11316,3.59333785076831,2.70000004768372,2.97305822256536,female
"[20,80]",8,10956,3.54862152083256,2.70000004768372,2.79242797822881,female
"[20,80]",9,9786,3.52190220351115,2.70000004768372,2.84654986450749,female
"[20,80]",10,10746,3.49755260856673,2.65500009059906,2.84896184586089,female
"[20,80]",11,11673,3.46667282140205,2.59999990463257,2.89660301056666,female
"[20,80]",12,12553,3.53121576578524,2.70000004768372,2.78951160469486,female
"[20,80]",1,12012,3.77320019653687,2.90000009536743,3.11294858522309,both
"[20,80]",2,11153,3.79524436804956,2.87479496002197,3.08557905836656,both
"[20,80]",3,11521,3.78374241670276,2.79999995231628,3.18869437644365,both
"[20,80]",4,10272,3.81391235498996,2.90000009536743,3.02564084588893,both
"[20,80]",5,11230,3.76559399142928,2.85999989509583,3.08339479828718,both
"[20,80]",6,11484,3.61288125651072,2.72348999977112,2.96111213258952,both
"[20,80]",7,11680,3.66289498407955,2.75999999046326,3.06393403678933,both
"[20,80]",8,11309,3.61694093331996,2.79999995231628,2.85540581371119,both
"[20,80]",9,10124,3.58900516733663,2.70000004768372,2.93466293242475,both
"[20,80]",10,11097,3.55123065402242,2.70000004768372,2.89927482160259,both
"[20,80]",11,12069,3.53575610875224,2.61999988555908,2.97080825699656,both
"[20,80]",12,12970,3.60412720282811,2.72348999977112,2.88065557085497,both
