age_group,month,n,mean,median,std,type
"[20,80]",1,208,0.568252910282284,0.594588547945023,0.289225451868719,male
"[20,80]",2,183,0.532454001518791,0.537190079689026,0.304040733900201,male
"[20,80]",3,214,0.54443651846845,0.543056577444077,0.283294623153086,male
"[20,80]",4,167,0.57595048796854,0.582733809947968,0.286387040489243,male
"[20,80]",5,213,0.51475908104855,0.532467544078827,0.313473602161072,male
"[20,80]",6,197,0.515966186375561,0.532374083995819,0.289390031421987,male
"[20,80]",7,188,0.514518951526546,0.503246754407883,0.306235078759921,male
"[20,80]",8,186,0.507207642579752,0.490259736776352,0.309996371506982,male
"[20,80]",9,166,0.547415870564418,0.580798774957657,0.299821974777638,male
"[20,80]",10,191,0.484786423722877,0.483146071434021,0.29634207148232,male
"[20,80]",11,188,0.521387546273701,0.529411792755127,0.281967746107847,male
"[20,80]",12,207,0.471094715633938,0.493333339691162,0.285063594970412,male
"[20,80]",1,281,0.58466205854645,0.620967745780945,0.27740053076526,female
"[20,80]",2,253,0.539271742539856,0.552845537662506,0.3015191130446,female
"[20,80]",3,269,0.560082638276166,0.61261260509491,0.305431925765557,female
"[20,80]",4,278,0.527248825315091,0.530485272407532,0.293976152754128,female
"[20,80]",5,268,0.510666370318869,0.500108152627945,0.284808380246264,female
"[20,80]",6,316,0.5138183267569,0.5,0.3014015303767,female
"[20,80]",7,286,0.514910811359727,0.513878285884857,0.282121709946492,female
"[20,80]",8,252,0.542216197683639,0.54716283082962,0.289436615858184,female
"[20,80]",9,246,0.501831804712614,0.521132826805115,0.282820722661785,female
"[20,80]",10,244,0.483064294891951,0.46449738740921,0.278160313175119,female
"[20,80]",11,300,0.522519200928509,0.535741955041885,0.296176898539796,female
"[20,80]",12,314,0.499001318553261,0.497899159789085,0.281534820166643,female
"[20,80]",1,490,0.576583056347635,0.613389372825623,0.283072047965669,both
"[20,80]",2,436,0.536410167753491,0.550103545188904,0.302249904532794,both
"[20,80]",3,486,0.549735894338554,0.570660531520844,0.297887033935992,both
"[20,80]",4,447,0.543084798497408,0.559055089950562,0.293401969803417,both
"[20,80]",5,487,0.512324992831207,0.515384614467621,0.300866926828811,both
"[20,80]",6,515,0.512644524215856,0.515384614467621,0.297715221436636,both
"[20,80]",7,474,0.514755390160069,0.509549289941788,0.291604770986407,both
"[20,80]",8,441,0.52378415436296,0.523255825042725,0.300586332278226,both
"[20,80]",9,415,0.523666646922882,0.539325833320618,0.292089444740591,both
"[20,80]",10,436,0.478062396373497,0.47008328139782,0.28613657142917,both
"[20,80]",11,490,0.519979494513602,0.530523508787155,0.291759590308802,both
"[20,80]",12,528,0.494702689700661,0.5,0.287161159660627,both
