age_group,month,n,mean,median,std,type
"[20,80]",1,189,357.859983777243,324,176.937966427066,male
"[20,80]",2,163,334.649650948179,294,174.499583121481,male
"[20,80]",3,195,342.087702785394,299.160003662109,170.803826822558,male
"[20,80]",4,151,371.971311657634,326.859985351563,201.594149783466,male
"[20,80]",5,192,329.441260417302,292.34049987793,176.077680603664,male
"[20,80]",6,179,323.314045570416,288.079986572266,164.47044801903,male
"[20,80]",7,170,324.027251927993,278.384994506836,172.677661958,male
"[20,80]",8,166,321.469674305743,282,175.584491000629,male
"[20,80]",9,148,346.752486718668,311.005004882813,169.742584771875,male
"[20,80]",10,172,296.290703130323,269.5,150.446848548565,male
"[20,80]",11,170,330.166582578771,281.5,172.9505866069,male
"[20,80]",12,188,298.587803008709,273.615005493164,143.84270272731,male
"[20,80]",1,254,395.449007529912,355.529495239258,185.711990007388,female
"[20,80]",2,227,384.862673923308,337,201.790623056741,female
"[20,80]",3,241,400.944913428849,351.790008544922,221.195178977955,female
"[20,80]",4,251,379.152904312924,348.188995361328,203.360615641367,female
"[20,80]",5,246,362.163198672659,302.5,194.844169359114,female
"[20,80]",6,284,361.149937320763,309.824493408203,196.872917008229,female
"[20,80]",7,259,352.305857890361,307.470001220703,180.446320375651,female
"[20,80]",8,230,375.973443105946,319,198.764738369057,female
"[20,80]",9,223,343.389676833901,304.700012207031,165.009999939007,female
"[20,80]",10,224,336.589901753834,307.235000610352,169.988235836736,female
"[20,80]",11,271,373.425390771394,321.320007324219,202.432842148822,female
"[20,80]",12,286,351.016004282278,307.735000610352,172.657292689762,female
"[20,80]",1,446,379.175358417323,342.5,183.538832845645,both
"[20,80]",2,392,364.825148212666,321.320007324219,194.745658469538,both
"[20,80]",3,436,373.773454456154,318.549987792969,199.169878535743,both
"[20,80]",4,401,376.443184755092,335,199.495364299831,both
"[20,80]",5,437,348.493338386309,296,186.186417126822,both
"[20,80]",6,463,346.323136743665,301.929992675781,184.993634425197,both
"[20,80]",7,431,342.038781894055,294,179.905291231392,both
"[20,80]",8,398,354.083662943624,305.350006103516,193.33047426678,both
"[20,80]",9,373,345.228595089337,307.470001220703,168.145842540356,both
"[20,80]",10,397,319.645765520764,287,162.44103279758,both
"[20,80]",11,441,356.537097334051,308,191.729952266987,both
"[20,80]",12,474,329.930578481296,298.195007324219,162.463923445435,both
