age_group,month,n,mean,median,std,type
"[20,80]",1,1579,350.536405257744,288.079986572266,222.862491496783,male
"[20,80]",2,1513,343.529885725083,288,228.997087645889,male
"[20,80]",3,1628,367.411085138157,300,249.594141668297,male
"[20,80]",4,1335,360.147391095679,296,253.371892297822,male
"[20,80]",5,1434,357.583404354803,288.539993286133,248.577021916924,male
"[20,80]",6,1465,354.583503426301,293,246.959791310386,male
"[20,80]",7,1464,366.119598915017,282.540008544922,267.319949223746,male
"[20,80]",8,1308,355.419222519668,289.5,253.340354324861,male
"[20,80]",9,1182,378.260693041806,307.470001220703,273.387926114239,male
"[20,80]",10,1291,360.018350909977,283,269.468380800608,male
"[20,80]",11,1481,372.976264067553,288.079986572266,296.778661128269,male
"[20,80]",12,1609,351.994102416385,289,238.944041408346,male
"[20,80]",1,2026,381.297014309882,310.239990234375,273.993900614157,female
"[20,80]",2,1891,378.978698803091,310.239990234375,270.497092283035,female
"[20,80]",3,1960,375.984351247671,312.5,256.521204279741,female
"[20,80]",4,1745,396.770737835466,315.779998779297,298.218881178789,female
"[20,80]",5,1804,378.028255758687,307.735000610352,253.048476986829,female
"[20,80]",6,1998,387.83734021268,306,288.147108976666,female
"[20,80]",7,1878,373.20962292851,310.619995117188,259.426780062502,female
"[20,80]",8,1842,381.242137337352,304.700012207031,280.528486313821,female
"[20,80]",9,1659,367.788473702972,299,252.29260090427,female
"[20,80]",10,1674,356.422246201491,296.390014648438,241.293859432454,female
"[20,80]",11,1948,373.4506775153,300.5,268.142726790663,female
"[20,80]",12,2080,351.896735858917,293.619995117188,227.651593552907,female
"[20,80]",1,3603,367.711033851016,301,250.335283466082,both
"[20,80]",2,3406,362.697758798381,301.929992675781,249.932556023189,both
"[20,80]",3,3589,372.011472568634,307,253.415778695397,both
"[20,80]",4,3079,380.42414246894,307.470001220703,277.027994926964,both
"[20,80]",5,3239,368.617349554558,299,249.837486287055,both
"[20,80]",6,3463,373.110061281994,299.160003662109,268.021557696196,both
"[20,80]",7,3339,370.243885178522,300,262.147353303451,both
"[20,80]",8,3150,370.521710168748,296.390014648438,269.828470019959,both
"[20,80]",9,2842,372.314731525418,302,260.899635624765,both
"[20,80]",10,2968,357.709619617205,290.850006103516,251.933510638569,both
"[20,80]",11,3431,373.453948358654,295,281.022146114382,both
"[20,80]",12,3691,352.231421386669,293,233.664922394362,both
