age_group,month,n,mean,median,std,type
"[20,80]",1,81,317.313642148618,303,145.588185235469,male
"[20,80]",2,69,358.224189868872,310.239990234375,196.194609845564,male
"[20,80]",3,71,316.640775223853,279.769989013672,141.226043943956,male
"[20,80]",4,58,365.48315482304,322.704986572266,210.132649039597,male
"[20,80]",5,65,357.186121192345,296,212.661791108874,male
"[20,80]",6,68,325.963311139275,270.345001220703,178.490245143114,male
"[20,80]",7,69,264.098710101584,224.369995117188,148.734208679595,male
"[20,80]",8,73,302.275876659237,243.759994506836,189.668955975567,male
"[20,80]",9,65,367.909231215257,318.549987792969,215.44737822196,male
"[20,80]",10,78,300.815819764749,271.729995727539,167.938462968923,male
"[20,80]",11,78,305.291935358292,256.5,175.742918767364,male
"[20,80]",12,89,315.517236088099,280,177.029770137228,male
"[20,80]",1,93,452.097957652102,430,236.807735744576,female
"[20,80]",2,87,406.938966422245,340.709991455078,268.879558016535,female
"[20,80]",3,92,417.22296747954,360.934997558594,252.656627963392,female
"[20,80]",4,76,396.064288289923,346.5,231.61218131943,female
"[20,80]",5,94,387.386233552973,289.464996337891,236.321475360933,female
"[20,80]",6,106,372.766114144955,287.654998779297,250.757091405784,female
"[20,80]",7,80,375.198653030396,310.5,223.267216772546,female
"[20,80]",8,71,412.381492937115,379,242.118437180037,female
"[20,80]",9,88,372.533454114741,329,196.015863638612,female
"[20,80]",10,90,385.108365715875,333,251.787193063424,female
"[20,80]",11,80,497.300299167633,355.509994506836,389.571907200831,female
"[20,80]",12,101,349.508297910785,307.470001220703,173.22777828051,female
"[20,80]",1,174,386.306236179396,359.050003051758,199.246568141066,both
"[20,80]",2,156,384.450955904447,324.044998168945,236.124388722291,both
"[20,80]",3,163,370.11047882829,313.010009765625,205.688920690031,both
"[20,80]",4,134,382.286186218262,335,220.160935081948,both
"[20,80]",5,159,375.040275669698,290.850006103516,226.744981979336,both
"[20,80]",6,176,358.757234660062,285,238.25911636345,both
"[20,80]",7,150,327.404688262939,271.229995727539,203.956688690978,both
"[20,80]",8,144,356.613090250227,295.695007324219,223.229195425688,both
"[20,80]",9,153,370.568914974437,318.549987792969,203.816499103012,both
"[20,80]",10,167,347.544969204657,298,220.097164817905,both
"[20,80]",11,158,399.967056274414,295.087005615234,306.659279073735,both
"[20,80]",12,191,337.388346167759,304.700012207031,181.013798209838,both
