age_group,month,n,mean,median,std,type
"[20,80]",1,230,0.500337948686565,0.5,0.301159218832183,male
"[20,80]",2,190,0.534261968045643,0.557189553976059,0.298277525645413,male
"[20,80]",3,175,0.512806591817311,0.504854381084442,0.286425547199978,male
"[20,80]",4,144,0.530537248912474,0.539772748947144,0.272841899576058,male
"[20,80]",5,202,0.487140990411033,0.520797580480576,0.296691728383872,male
"[20,80]",6,185,0.468389687656954,0.466666668653488,0.314009216454576,male
"[20,80]",7,200,0.513368271896616,0.5,0.305384739075939,male
"[20,80]",8,218,0.499377753303617,0.5,0.304730712127594,male
"[20,80]",9,151,0.470564896277837,0.438596487045288,0.320844345778387,male
"[20,80]",10,201,0.475566682845947,0.486111104488373,0.312681332121049,male
"[20,80]",11,189,0.493357970679879,0.5,0.29445261208358,male
"[20,80]",12,202,0.540669207285979,0.559331178665161,0.31942776898597,male
"[20,80]",1,2678,0.517894169932636,0.520661175251007,0.289045900332666,female
"[20,80]",2,2379,0.513950028602377,0.519138753414154,0.284093067843714,female
"[20,80]",3,2459,0.534300310088033,0.551948070526123,0.282720266546673,female
"[20,80]",4,2182,0.526245501988476,0.531242281198502,0.290687463221112,female
"[20,80]",5,2398,0.510786545042102,0.514964759349823,0.293039419461832,female
"[20,80]",6,2666,0.511767522829102,0.52217099070549,0.291090307336027,female
"[20,80]",7,2779,0.512272929089742,0.521523177623749,0.291904635616926,female
"[20,80]",8,2701,0.509254767558434,0.507440447807312,0.289644270023632,female
"[20,80]",9,2372,0.501682110000433,0.50160413980484,0.293891038306758,female
"[20,80]",10,2600,0.499563680914983,0.491881981492043,0.291013529104985,female
"[20,80]",11,2859,0.519354006272929,0.529147982597351,0.285274150556604,female
"[20,80]",12,2936,0.516462994775575,0.526859521865845,0.288901162217023,female
"[20,80]",1,2907,0.517040950905642,0.519283771514893,0.289843299800256,both
"[20,80]",2,2565,0.515482594482564,0.522587239742279,0.284645628237202,both
"[20,80]",3,2634,0.532491679220257,0.548528790473938,0.282991614865518,both
"[20,80]",4,2326,0.52607884805294,0.531242281198502,0.289583367148101,both
"[20,80]",5,2596,0.508966577000674,0.515058130025864,0.292873976011022,both
"[20,80]",6,2847,0.508984370753797,0.51732212305069,0.292320744781736,both
"[20,80]",7,2976,0.512184238321992,0.518832057714462,0.292469444079849,both
"[20,80]",8,2915,0.508531571730115,0.507022500038147,0.290326129089534,both
"[20,80]",9,2521,0.499832631828661,0.5,0.295342539158368,both
"[20,80]",10,2796,0.497667456601634,0.491381287574768,0.292089325728034,both
"[20,80]",11,3045,0.517933920998132,0.527448415756226,0.285530158160028,both
"[20,80]",12,3134,0.518036263640055,0.527692586183548,0.290565322144073,both
