age_group,month,n,mean,median,std,type
"[20,80]",1,452,5.46868761081611,5.14499998092651,1.95424766600548,male
"[20,80]",2,375,5.79041589609782,5.5,2.03200490326338,male
"[20,80]",3,383,5.54632618906604,5.19999980926514,2.09748805225337,male
"[20,80]",4,305,5.76489573150385,5.59999990463257,1.94003921338015,male
"[20,80]",5,393,5.55826758853049,5.09999990463257,2.1014896389384,male
"[20,80]",6,374,5.35548748434546,5.17499995231628,2.03214414356156,male
"[20,80]",7,384,5.50777405624588,5.19999980926514,2.02084462777423,male
"[20,80]",8,384,5.55269645340741,5.26500010490418,1.96824858165255,male
"[20,80]",9,314,5.12024573535676,4.70999979972839,2.05734096336666,male
"[20,80]",10,372,5.26901765023508,4.90000009536743,1.93518367838158,male
"[20,80]",11,377,5.40486249873113,5.36999988555908,1.86715066906454,male
"[20,80]",12,400,5.52391330182552,5.26870012283325,2.12284705806586,male
"[20,80]",1,6219,6.98349007902316,6.59000015258789,2.6632236438889,female
"[20,80]",2,5698,7.03709152846137,6.59999990463257,2.70784559713579,female
"[20,80]",3,5736,7.09533191550227,6.69000005722046,2.71179863001928,female
"[20,80]",4,5263,7.11699214906673,6.69000005722046,2.80234376495694,female
"[20,80]",5,5573,7.00752259716833,6.59999990463257,2.72627571629115,female
"[20,80]",6,5898,6.88278579501711,6.40000009536743,2.71467415391133,female
"[20,80]",7,6077,6.8414832331033,6.40000009536743,2.681660333021,female
"[20,80]",8,5981,6.83604364733177,6.40000009536743,2.67573604796051,female
"[20,80]",9,5313,6.77173819704377,6.30000019073486,2.65495581321046,female
"[20,80]",10,5873,6.71850341721854,6.40000009536743,2.63027814451137,female
"[20,80]",11,6406,6.79484157356812,6.40000009536743,2.57443359370942,female
"[20,80]",12,6739,6.93245087516893,6.5,2.69359234108324,female
"[20,80]",1,6672,6.86919669771223,6.40999984741211,2.62549839819393,both
"[20,80]",2,6057,6.95768481543183,6.5,2.66538583229105,both
"[20,80]",3,6119,6.99329787782057,6.55000019073486,2.6891302354784,both
"[20,80]",4,5553,7.04167390625348,6.59999990463257,2.74952916476854,both
"[20,80]",5,5975,6.89084551643627,6.5,2.69597275663306,both
"[20,80]",6,6260,6.7797697287398,6.30000019073486,2.67626066238655,both
"[20,80]",7,6454,6.785631380622,6.30000019073486,2.66192133360871,both
"[20,80]",8,6359,6.7598832169125,6.30000019073486,2.64616313099917,both
"[20,80]",9,5600,6.68044169468539,6.21000003814697,2.62037098199274,both
"[20,80]",10,6212,6.62619647942124,6.30000019073486,2.57832788016971,both
"[20,80]",11,6785,6.69600580049598,6.30000019073486,2.53553351360111,both
"[20,80]",12,7171,6.84459571781193,6.40000009536743,2.68256622299737,both
