age_group,month,n,mean,median,std,type
"[20,80]",1,139,0.515479600097207,0.5,0.281092781486064,male
"[20,80]",2,100,0.563139518760145,0.585144907236099,0.268599235196402,male
"[20,80]",3,99,0.518921520448092,0.54347825050354,0.253366137246099,male
"[20,80]",4,66,0.543117089535702,0.546312183141708,0.243927668998935,male
"[20,80]",5,103,0.547290726293566,0.563106775283814,0.272004389389874,male
"[20,80]",6,99,0.495989805275593,0.5,0.291621927102189,male
"[20,80]",7,105,0.531608319247053,0.508474588394165,0.281751237794658,male
"[20,80]",8,123,0.524744278531734,0.558139562606812,0.259703599218556,male
"[20,80]",9,88,0.517863516272469,0.544444441795349,0.314344983702632,male
"[20,80]",10,107,0.480929887818747,0.470588237047195,0.277524313310933,male
"[20,80]",11,113,0.527095141037639,0.550000011920929,0.272677811149373,male
"[20,80]",12,109,0.551294966028371,0.575757563114166,0.294724288605708,male
"[20,80]",1,1450,0.518368822372165,0.526776492595673,0.282253754817831,female
"[20,80]",2,1281,0.506971072114039,0.511568129062653,0.279256852083878,female
"[20,80]",3,1307,0.53098912006807,0.535843193531036,0.275760131156293,female
"[20,80]",4,1178,0.52584859291139,0.526306957006455,0.283287116784692,female
"[20,80]",5,1282,0.503436102017516,0.504666179418564,0.283326449042187,female
"[20,80]",6,1431,0.510647642436606,0.522587239742279,0.28156898233711,female
"[20,80]",7,1499,0.511968878379901,0.524834454059601,0.278594694239645,female
"[20,80]",8,1482,0.505559671856212,0.500468194484711,0.27726911806005,female
"[20,80]",9,1301,0.493126468997818,0.490554541349411,0.288803274751465,female
"[20,80]",10,1419,0.494776737755145,0.481462419033051,0.279263364417304,female
"[20,80]",11,1551,0.511810927466879,0.527448415756226,0.282208077085221,female
"[20,80]",12,1616,0.527101337319554,0.538782209157944,0.280467420831303,female
"[20,80]",1,1589,0.518115750885562,0.524834454059601,0.282063181898892,both
"[20,80]",2,1383,0.511025672315856,0.520547926425934,0.279208378783818,both
"[20,80]",3,1408,0.530050630088557,0.536180019378662,0.27449558480579,both
"[20,80]",4,1245,0.526343009797445,0.526618719100952,0.281488802512191,both
"[20,80]",5,1384,0.505622544342711,0.512585997581482,0.282423894371071,both
"[20,80]",6,1532,0.509681855913193,0.519963592290878,0.282515007829318,both
"[20,80]",7,1604,0.512648457926617,0.522362321615219,0.278694604713009,both
"[20,80]",8,1607,0.507048137446572,0.506192803382874,0.276260568373495,both
"[20,80]",9,1388,0.494325241710057,0.490642875432968,0.290209181436706,both
"[20,80]",10,1528,0.493807886850579,0.481438100337982,0.279443711132685,both
"[20,80]",11,1666,0.512849954238647,0.528622984886169,0.28180544796292,both
"[20,80]",12,1727,0.528591909416702,0.53925621509552,0.281681378750511,both
