age_group,month,n,mean,median,std,type
"[20,80]",1,328,0.504024108851942,0.483314782381058,0.280869063018698,male
"[20,80]",2,263,0.536102084811253,0.558823525905609,0.275140858261989,male
"[20,80]",3,263,0.517741976929085,0.5,0.282284213058023,male
"[20,80]",4,201,0.505054754617425,0.534482777118683,0.263611397972536,male
"[20,80]",5,263,0.512687842354547,0.518867909908295,0.29369103658972,male
"[20,80]",6,283,0.480481575473538,0.466666668653488,0.307100053443898,male
"[20,80]",7,256,0.515569680981571,0.5,0.28342048640148,male
"[20,80]",8,268,0.510105929066385,0.510124295949936,0.280274349191453,male
"[20,80]",9,221,0.478421003629382,0.452830195426941,0.316914328411356,male
"[20,80]",10,264,0.469003565524789,0.466476917266846,0.287942822851914,male
"[20,80]",11,276,0.500341215785053,0.5,0.282037365800267,male
"[20,80]",12,292,0.501173316485134,0.51190921664238,0.300943092462876,male
"[20,80]",1,4251,0.512782237733931,0.523461282253265,0.282734969413799,female
"[20,80]",2,3844,0.518901303948148,0.527042537927628,0.282134071204526,female
"[20,80]",3,3919,0.514942503087726,0.519805014133453,0.278600292301949,female
"[20,80]",4,3529,0.515966577492084,0.51957106590271,0.282951831588259,female
"[20,80]",5,3826,0.505055782318717,0.5093112885952,0.284236876484889,female
"[20,80]",6,3980,0.496430346008095,0.498511910438538,0.286429583333235,female
"[20,80]",7,4063,0.501341557240473,0.501377403736115,0.284170935218365,female
"[20,80]",8,4048,0.505206706233805,0.506880760192871,0.283466788180573,female
"[20,80]",9,3597,0.490590381877244,0.486111104488373,0.283036937371658,female
"[20,80]",10,3965,0.487625651178978,0.47913670539856,0.280947041975117,female
"[20,80]",11,4315,0.504121486988104,0.512996971607208,0.280761712455524,female
"[20,80]",12,4629,0.510991033300642,0.514964759349823,0.282688789616684,female
"[20,80]",1,4580,0.512259094293054,0.519805014133453,0.2826367768425,both
"[20,80]",2,4109,0.519994169143866,0.528708159923554,0.281826156139356,both
"[20,80]",3,4179,0.514763883714165,0.519083976745606,0.278585780182221,both
"[20,80]",4,3727,0.515799174116495,0.522099435329437,0.28163691341492,both
"[20,80]",5,4085,0.505550795976378,0.50943398475647,0.284509346171128,both
"[20,80]",6,4257,0.495352690910694,0.497695863246918,0.287399909300044,both
"[20,80]",7,4316,0.501836658551671,0.50039866566658,0.283904483232337,both
"[20,80]",8,4313,0.505163630121253,0.506880760192871,0.283032032007338,both
"[20,80]",9,3814,0.489878765961783,0.485242038965225,0.28474412594812,both
"[20,80]",10,4226,0.486812930253664,0.477747976779938,0.281183053127055,both
"[20,80]",11,4590,0.504224321476036,0.51212465763092,0.280725251589824,both
"[20,80]",12,4918,0.510732869749064,0.515392929315567,0.28356502855985,both
