age_group,month,n,mean,median,std,type
"[20,80]",1,302,6.05870847828341,5.5,2.33270390423355,male
"[20,80]",2,242,6.42011918804862,5.92786002159119,2.50581879994077,male
"[20,80]",3,238,6.24102120840249,5.75,2.60601057850057,male
"[20,80]",4,186,6.05522235747307,5.85000014305115,2.16041877449303,male
"[20,80]",5,235,6.2076665472477,5.80000019073486,2.53908822071773,male
"[20,80]",6,253,5.99367461279918,5.58655977249146,2.63003437025551,male
"[20,80]",7,235,6.20492085395975,5.61999988555908,2.56668053837009,male
"[20,80]",8,243,6.25145842607129,5.80000019073486,2.56299491573559,male
"[20,80]",9,202,6.03140771861124,5.53827977180481,2.97367372795014,male
"[20,80]",10,240,5.87049718598525,5.5,2.25990529878854,male
"[20,80]",11,251,6.00971411803804,5.67000007629395,2.32453711872086,male
"[20,80]",12,265,6.29635397443232,5.73999977111816,2.73001706069651,male
"[20,80]",1,3905,7.32228377106553,6.76000022888184,3.19884307278454,female
"[20,80]",2,3530,7.40174121289348,6.80000019073486,3.25918966189145,female
"[20,80]",3,3609,7.40571672938213,6.80000019073486,3.23037438732387,female
"[20,80]",4,3257,7.46367293506595,6.8600001335144,3.32541903212276,female
"[20,80]",5,3514,7.28615739213925,6.70499992370606,3.21267251989456,female
"[20,80]",6,3654,7.15826932060699,6.54500007629395,3.20920958450119,female
"[20,80]",7,3733,7.20667240283076,6.63000011444092,3.17858404080967,female
"[20,80]",8,3719,7.18735358393875,6.65000009536743,3.16434566781811,female
"[20,80]",9,3303,7.05958639019878,6.46999979019165,3.11983442218055,female
"[20,80]",10,3648,7.01810663546387,6.58999991416931,3.10941317856158,female
"[20,80]",11,3979,7.12933164848458,6.67000007629395,3.08187934816751,female
"[20,80]",12,4257,7.36109014186944,6.71999979019165,3.26143529165767,female
"[20,80]",1,4211,7.23209880984217,6.63000011444092,3.15349839546224,both
"[20,80]",2,3774,7.33259812504385,6.69999980926514,3.21675391178024,both
"[20,80]",3,3849,7.32883209146503,6.69999980926514,3.20229824931622,both
"[20,80]",4,3435,7.38137222370553,6.76000022888184,3.25754884840104,both
"[20,80]",5,3754,7.22261235818116,6.69999980926514,3.18677833619324,both
"[20,80]",6,3924,7.06355396906535,6.45499992370606,3.19193784509238,both
"[20,80]",7,3966,7.14296737164484,6.56500005722046,3.14243566675167,both
"[20,80]",8,3961,7.1260379937164,6.59999990463257,3.13084317038148,both
"[20,80]",9,3517,6.98366029173737,6.3600001335144,3.12365462996654,both
"[20,80]",10,3888,6.95323183408981,6.5,3.07181490900439,both
"[20,80]",11,4219,7.08109101516767,6.59999990463257,3.0456230840331,both
"[20,80]",12,4532,7.27248335052989,6.67999982833862,3.23018968942759,both
