age_group,month,n,mean,median,std,type
"[20,80]",1,109,0.525923085390428,0.553571403026581,0.21885181591315,male
"[20,80]",2,86,0.522923381695914,0.528594791889191,0.218767102460714,male
"[20,80]",3,98,0.426868263936164,0.426406934857368,0.221582720590679,male
"[20,80]",4,81,0.502461540294282,0.49462366104126,0.207356192669607,male
"[20,80]",5,109,0.476744088079404,0.479166656732559,0.230821385006045,male
"[20,80]",6,83,0.490572994731995,0.5,0.224373010152402,male
"[20,80]",7,102,0.48044317705082,0.482264950871468,0.22995927290131,male
"[20,80]",8,81,0.454715592073806,0.440860211849213,0.24956187597757,male
"[20,80]",9,89,0.457791350698203,0.476744174957275,0.206620048446234,male
"[20,80]",10,83,0.487872198134302,0.489361703395844,0.212876971463708,male
"[20,80]",11,98,0.436344898780998,0.438202261924744,0.191361992923706,male
"[20,80]",12,92,0.470883759629467,0.454998388886452,0.211867315560559,male
"[20,80]",1,139,0.469473681968751,0.456896543502808,0.213698077190562,female
"[20,80]",2,121,0.440485516362939,0.388059705495834,0.23858581856099,female
"[20,80]",3,129,0.479219207525715,0.483050853013992,0.23759165957124,female
"[20,80]",4,125,0.467778035998344,0.489361703395844,0.242002619722342,female
"[20,80]",5,105,0.488527539940107,0.493333339691162,0.210903255013667,female
"[20,80]",6,130,0.495056695777636,0.511618614196777,0.210691112736021,female
"[20,80]",7,128,0.484708505682647,0.490384608507156,0.198940802479768,female
"[20,80]",8,115,0.452336728313695,0.404761910438538,0.214122611088153,female
"[20,80]",9,104,0.545317469021449,0.529870122671127,0.223140320585279,female
"[20,80]",10,120,0.526354610423247,0.535585910081863,0.218520677380196,female
"[20,80]",11,141,0.469484093130058,0.462686568498612,0.199269004262856,female
"[20,80]",12,142,0.461668615085138,0.439780220389366,0.217304202087301,female
"[20,80]",1,249,0.495736044244355,0.506493508815765,0.21805929119282,both
"[20,80]",2,206,0.472678603080002,0.472142845392227,0.231526327057833,both
"[20,80]",3,229,0.456535402213642,0.449438214302063,0.233185187765367,both
"[20,80]",4,206,0.485144451622245,0.49731183052063,0.227782664783592,both
"[20,80]",5,214,0.48245280441419,0.48685896396637,0.220625392254568,both
"[20,80]",6,215,0.493029134148775,0.50561797618866,0.217361227475429,both
"[20,80]",7,232,0.482941842252581,0.490384608507156,0.21444371277588,both
"[20,80]",8,195,0.451306332953465,0.423076927661896,0.226437964870754,both
"[20,80]",9,192,0.506841085657167,0.502380967140198,0.216435587419965,both
"[20,80]",10,202,0.508189770254758,0.515756130218506,0.213848897231184,both
"[20,80]",11,241,0.455378285922203,0.438596487045288,0.197041070655118,both
"[20,80]",12,233,0.466805035080521,0.450549453496933,0.213981479133473,both
