age_group,month,n,mean,median,std,type
"[20,80]",1,254,0.513630502835268,0.514495819807053,0.224419169581438,male
"[20,80]",2,255,0.517810999821214,0.516666650772095,0.231250729656032,male
"[20,80]",3,270,0.509955396420426,0.5,0.240536149147928,male
"[20,80]",4,233,0.526489076088682,0.5,0.238143436364041,male
"[20,80]",5,280,0.51043487946902,0.512896835803986,0.229318261517593,male
"[20,80]",6,248,0.559914911165834,0.600000023841858,0.237462640720629,male
"[20,80]",7,254,0.506398883010224,0.509385973215103,0.212306313480683,male
"[20,80]",8,201,0.503933130175024,0.494505494832993,0.232249089785056,male
"[20,80]",9,197,0.502097933841538,0.516853928565979,0.232875314377496,male
"[20,80]",10,216,0.506155809732499,0.513143956661224,0.227236929874821,male
"[20,80]",11,233,0.486292258640471,0.476744174957275,0.218870309840508,male
"[20,80]",12,265,0.517557869879705,0.545454561710358,0.228906339280484,male
"[20,80]",1,397,0.506811780991122,0.510869562625885,0.212917232388615,female
"[20,80]",2,339,0.470054143759529,0.447916656732559,0.237234325546009,female
"[20,80]",3,369,0.510039986492334,0.516853928565979,0.234710078991206,female
"[20,80]",4,368,0.515315630574427,0.526136338710785,0.237155830149993,female
"[20,80]",5,340,0.511850543407833,0.5,0.219798460141245,female
"[20,80]",6,386,0.527306428748554,0.540178596973419,0.222875956356042,female
"[20,80]",7,359,0.516929296563927,0.52238804101944,0.227843209083963,female
"[20,80]",8,331,0.490386699486715,0.475728154182434,0.223637065566774,female
"[20,80]",9,298,0.545208073327405,0.548342376947403,0.230587639641245,female
"[20,80]",10,348,0.545011559950894,0.539325833320618,0.222434776697445,female
"[20,80]",11,364,0.503157005778381,0.511054426431656,0.218225654141402,female
"[20,80]",12,375,0.520742043336233,0.511904776096344,0.224404144560745,female
"[20,80]",1,651,0.509505606157714,0.513888895511627,0.217252205137521,both
"[20,80]",2,594,0.490455656478602,0.482120051980019,0.23522080403988,both
"[20,80]",3,640,0.510632551950403,0.50910297036171,0.237283261408733,both
"[20,80]",4,600,0.520332284383476,0.512224227190018,0.236862336146205,both
"[20,80]",5,621,0.510598242342856,0.5,0.224282967603672,both
"[20,80]",6,633,0.539176726840307,0.577464759349823,0.22809593580127,both
"[20,80]",7,615,0.511076623516354,0.515625,0.221878598862947,both
"[20,80]",8,530,0.495358673511249,0.483693718910217,0.225719737602389,both
"[20,80]",9,497,0.528004362879385,0.528571426868439,0.232735788582755,both
"[20,80]",10,566,0.531473134502821,0.532659471035004,0.225095708404292,both
"[20,80]",11,598,0.495898404336195,0.492935329675674,0.21874237666527,both
"[20,80]",12,642,0.519288846427964,0.523443251848221,0.226624442345705,both
