age_group,month,n,mean,median,std,type
"[20,80]",1,286,46.9335664769153,42.5500011444092,21.7855236978966,male
"[20,80]",2,288,47.8524304164781,42,24.2566846587572,male
"[20,80]",3,304,47.6615132250284,42.3999996185303,23.5026872385134,male
"[20,80]",4,260,49.7061538806328,42.25,25.6441411444629,male
"[20,80]",5,317,47.1517350590944,42.2999992370606,23.5187773094384,male
"[20,80]",6,280,52.2349999598094,47.1499996185303,25.9327844302409,male
"[20,80]",7,286,46.3475523528519,42.5,19.1909475254245,male
"[20,80]",8,227,46.9136563901859,43,22.4831154402343,male
"[20,80]",9,222,45.5729729248597,42,21.2849146053833,male
"[20,80]",10,243,45.6728394119828,40.2999992370606,20.6043283549413,male
"[20,80]",11,263,44.6787071082982,42,18.9729478498832,male
"[20,80]",12,297,47.2292928984671,44,20.5724161653274,male
"[20,80]",1,448,45.5395089430468,42.8500003814697,19.0158964658689,female
"[20,80]",2,383,44.4018277051243,40,21.3431689629213,female
"[20,80]",3,414,48.0142511722546,44,21.8005789917188,female
"[20,80]",4,417,48.2345323219574,44.4000015258789,23.2724716394114,female
"[20,80]",5,381,47.0427820701299,42.9000015258789,21.2358739954577,female
"[20,80]",6,435,47.9289654611171,45,21.1280075956167,female
"[20,80]",7,403,47.9401984818224,43,22.3521649167363,female
"[20,80]",8,373,44.6715817259719,41.2000007629395,20.3629299618301,female
"[20,80]",9,336,49.41785716159,45,22.3820072784887,female
"[20,80]",10,392,48.7484693697521,45.75,20.1404403769523,female
"[20,80]",11,409,46.7132028519087,42.7999992370606,20.6032829225804,female
"[20,80]",12,422,47.4734597093121,44,20.7502867287937,female
"[20,80]",1,734,46.0839237296289,42.75,20.0551868024423,both
"[20,80]",2,669,46.0382660208618,40.7000007629395,22.4380877804905,both
"[20,80]",3,722,47.7887811660767,43.1499996185303,22.5885325636996,both
"[20,80]",4,676,48.6514792597506,43.8999996185303,23.9052397057376,both
"[20,80]",5,700,47.1641428320748,42.7999992370606,22.3656960874211,both
"[20,80]",6,715,49.3162237287401,45.5999984741211,22.6295959901036,both
"[20,80]",7,689,47.2445572685607,43,20.9961881180668,both
"[20,80]",8,596,45.5489932626686,42,20.9435908419468,both
"[20,80]",9,560,47.9471428513527,44,22.174696535821,both
"[20,80]",10,634,47.6261829186689,43.9500007629395,20.3057009923046,both
"[20,80]",11,673,46.0136700385038,42.2999992370606,20.1334459631269,both
"[20,80]",12,720,47.3324999849002,44,20.646052149595,both
