age_group,month,n,mean,median,std,type
"[20,80]",1,1087988,0.622959923374211,0.525110960006714,0.198557486982312,male
"[20,80]",2,1018234,0.617668292665335,0.513227105140686,0.196547780873137,male
"[20,80]",3,1075551,0.61506036929361,0.513227105140686,0.19470855913964,male
"[20,80]",4,995724,0.616529890470203,0.513227105140686,0.194224171122394,male
"[20,80]",5,1077529,0.615734353076722,0.513227105140686,0.194536866931509,male
"[20,80]",6,1093868,0.611160501524659,0.513211309909821,0.193483077703434,male
"[20,80]",7,1107060,0.608612967627153,0.513211309909821,0.192714662688626,male
"[20,80]",8,1053655,0.608588755902714,0.513211309909821,0.192471531526493,male
"[20,80]",9,946206,0.612576610658852,0.513227105140686,0.192628137711717,male
"[20,80]",10,1020206,0.617642437322506,0.513227105140686,0.196144440316554,male
"[20,80]",11,1074366,0.622950948290054,0.51612800359726,0.198821587466345,male
"[20,80]",12,1094538,0.625326466374716,0.526046097278595,0.199589029514095,male
"[20,80]",1,1678875,0.627348534142356,0.528057217597961,0.170379420351694,female
"[20,80]",2,1573404,0.623808355383317,0.527618825435638,0.167347327195604,female
"[20,80]",3,1663305,0.622702079843337,0.527618825435638,0.166325788729791,female
"[20,80]",4,1574836,0.622727047635684,0.527618825435638,0.16641942616449,female
"[20,80]",5,1747610,0.621985275303912,0.5276158452034,0.166428669588047,female
"[20,80]",6,1769216,0.620079737624885,0.526240766048431,0.165725581692549,female
"[20,80]",7,1781245,0.617207847675755,0.523460626602173,0.164229019943431,female
"[20,80]",8,1696566,0.617672543710269,0.525361061096191,0.164086118327334,female
"[20,80]",9,1540346,0.6193449265986,0.5276158452034,0.164601997349059,female
"[20,80]",10,1653051,0.622619920030801,0.5276158452034,0.167679752862865,female
"[20,80]",11,1713290,0.62736372260329,0.527618825435638,0.170892097557102,female
"[20,80]",12,1696682,0.628996317311956,0.529461205005646,0.171576786288957,female
"[20,80]",1,2762486,0.627069149022584,0.527618825435638,0.180211654799528,both
"[20,80]",2,2581113,0.6232698283056,0.526240766048431,0.177435541109018,both
"[20,80]",3,2721561,0.620883300825071,0.526240766048431,0.175464928169111,both
"[20,80]",4,2567593,0.62148867186505,0.526046097278595,0.175850619266169,both
"[20,80]",5,2822442,0.620565316695738,0.524168431758881,0.175721872168863,both
"[20,80]",6,2852847,0.618149661011764,0.517441272735596,0.17475145508069,both
"[20,80]",7,2878126,0.615450062883832,0.51503586769104,0.173599450651778,both
"[20,80]",8,2739941,0.615697936272062,0.51612800359726,0.173368302324171,both
"[20,80]",9,2489781,0.618324645497454,0.524168431758881,0.174404600371254,both
"[20,80]",10,2671236,0.621677703797046,0.524168431758881,0.17715832506271,both
"[20,80]",11,2784296,0.626678626749069,0.5276158452034,0.180230588209142,both
"[20,80]",12,2786803,0.6289321339578,0.528057217597961,0.181270887885333,both
