age_group,month,n,mean,median,std,type
"[20,80]",1,1111639,0.0335761341212058,0.0199999995529652,0.0386742707658175,male
"[20,80]",2,1029931,0.0327949058058269,0.0199999995529652,0.0382316223013917,male
"[20,80]",3,1089359,0.0322178456553714,0.0199999995529652,0.037872133725333,male
"[20,80]",4,1021954,0.0322336818670729,0.0199999995529652,0.0378943719333395,male
"[20,80]",5,1115349,0.0320561457714622,0.0199999995529652,0.0379157971321352,male
"[20,80]",6,1135148,0.0318235861152218,0.0199999995529652,0.0378598719517597,male
"[20,80]",7,1152060,0.03127442158091,0.0199999995529652,0.0376637112759474,male
"[20,80]",8,1093119,0.0312840597575739,0.0199999995529652,0.0375959620937999,male
"[20,80]",9,984788,0.0318185539525376,0.0199999995529652,0.0377246211754499,male
"[20,80]",10,1057300,0.0325012864242416,0.0199999995529652,0.038236732872453,male
"[20,80]",11,1112384,0.0335431381262541,0.0199999995529652,0.0387509751711409,male
"[20,80]",12,1126484,0.0339797193471699,0.0199999995529652,0.0388772157666574,male
"[20,80]",1,1732950,0.0272829164775246,0.00999999977648258,0.0357410585857539,female
"[20,80]",2,1625422,0.026710928044054,0.00999999977648258,0.0352699709345989,female
"[20,80]",3,1721457,0.0264050162600565,0.00999999977648258,0.0349904768481084,female
"[20,80]",4,1642414,0.026426430896471,0.00999999977648258,0.0350440784774818,female
"[20,80]",5,1839077,0.0263294903306117,0.00999999977648258,0.0350759389422841,female
"[20,80]",6,1870993,0.0259338223527289,0.00999999977648258,0.0349059856394438,female
"[20,80]",7,1891565,0.0255173203576566,0.00999999977648258,0.0347314576615214,female
"[20,80]",8,1798677,0.0255465322966723,0.00999999977648258,0.0346350574629483,female
"[20,80]",9,1624968,0.0259098702668889,0.00999999977648258,0.0347949753047,female
"[20,80]",10,1738169,0.0265350665545518,0.00999999977648258,0.0353828093703862,female
"[20,80]",11,1793609,0.0273026396062852,0.00999999977648258,0.0358772081536627,female
"[20,80]",12,1763617,0.0276340782173522,0.00999999977648258,0.0360101349650134,female
"[20,80]",1,2844589,0.0297422475683093,0.00999999977648258,0.0370425672686109,both
"[20,80]",2,2655353,0.0290707187386097,0.00999999977648258,0.0365676425090393,both
"[20,80]",3,2810817,0.028657842257706,0.00999999977648258,0.0362453684378043,both
"[20,80]",4,2664369,0.028653883975222,0.00999999977648258,0.0362739796410991,both
"[20,80]",5,2954426,0.0284914058496659,0.00999999977648258,0.036280600409781,both
"[20,80]",6,3006141,0.0281578542778669,0.00999999977648258,0.0361627474306998,both
"[20,80]",7,3043625,0.0276964738457707,0.00999999977648258,0.0359780809909368,both
"[20,80]",8,2891796,0.0277153575805213,0.00999999977648258,0.0358910945612349,both
"[20,80]",9,2609756,0.0281395042975885,0.00999999977648258,0.0360425165576807,both
"[20,80]",10,2795470,0.0287916236748767,0.00999999977648258,0.0366030022469684,both
"[20,80]",11,2905993,0.0296914377574291,0.00999999977648258,0.0371277405069923,both
"[20,80]",12,2890101,0.0301074392529982,0.00999999977648258,0.0372826278593718,both
