age_group,month,n,mean,median,std,type
"[20,80]",1,1184401,0.0337411317338017,0.0199999995529652,0.0386218875372736,male
"[20,80]",2,1099277,0.0329573802946591,0.0199999995529652,0.0381800476822265,male
"[20,80]",3,1159704,0.0324459173480133,0.0199999995529652,0.0378521401756142,male
"[20,80]",4,1081687,0.0324667673036908,0.0199999995529652,0.0378752303128581,male
"[20,80]",5,1170782,0.0323134965655177,0.0199999995529652,0.0379135281357079,male
"[20,80]",6,1186563,0.0320779091687507,0.0199999995529652,0.0378659535718632,male
"[20,80]",7,1200978,0.0315409941996273,0.0199999995529652,0.037679066558733,male
"[20,80]",8,1141654,0.031538758785677,0.0199999995529652,0.0376012953806655,male
"[20,80]",9,1032560,0.0320672020168528,0.0199999995529652,0.0377217892912357,male
"[20,80]",10,1110250,0.0327473002857848,0.0199999995529652,0.0382244690659881,male
"[20,80]",11,1170778,0.0337759935430742,0.0199999995529652,0.0387199846730198,male
"[20,80]",12,1192656,0.0341902695980674,0.0199999995529652,0.0388448333408759,male
"[20,80]",1,1833758,0.0275136469014688,0.00999999977648258,0.0357631472308822,female
"[20,80]",2,1722646,0.0269497099736927,0.00999999977648258,0.0353056884788275,female
"[20,80]",3,1818291,0.0266667602052199,0.00999999977648258,0.0350408097370746,female
"[20,80]",4,1721316,0.0266926875003458,0.00999999977648258,0.035096538611206,female
"[20,80]",5,1911642,0.0265994784025616,0.00999999977648258,0.0351394247766343,female
"[20,80]",6,1936652,0.0261829745810339,0.00999999977648258,0.0349675628410151,female
"[20,80]",7,1955367,0.0257784242474088,0.00999999977648258,0.0348014926779582,female
"[20,80]",8,1861324,0.0258191266404555,0.00999999977648258,0.034714520216894,female
"[20,80]",9,1688279,0.0262047031743937,0.00999999977648258,0.0348666828611404,female
"[20,80]",10,1810775,0.0268125416474009,0.00999999977648258,0.0354351372792744,female
"[20,80]",11,1873851,0.0275667863274607,0.00999999977648258,0.0359190317163118,female
"[20,80]",12,1855231,0.0278856757613817,0.00999999977648258,0.0360344163556269,female
"[20,80]",1,3018159,0.0299574675427604,0.00999999977648258,0.0370364283346386,both
"[20,80]",2,2821923,0.0292899913376495,0.00999999977648258,0.0365698798200358,both
"[20,80]",3,2977996,0.0289173122504096,0.00999999977648258,0.0362712304637965,both
"[20,80]",4,2803004,0.0289209256218585,0.00999999977648258,0.0363031003731066,both
"[20,80]",5,3082424,0.0287698059152147,0.00999999977648258,0.0363241477139784,both
"[20,80]",6,3123215,0.0284225614391929,0.00999999977648258,0.0362093496080352,both
"[20,80]",7,3156345,0.0279710615339144,0.00999999977648258,0.0360323532329344,both
"[20,80]",8,3002978,0.0279935817703701,0.00999999977648258,0.0359467832177951,both
"[20,80]",9,2720839,0.0284295249314949,0.00999999977648258,0.0360891802735619,both
"[20,80]",10,2921026,0.029068296634081,0.00999999977648258,0.0366338825706414,both
"[20,80]",11,3044629,0.0299544674555987,0.00999999977648258,0.0371442160859984,both
"[20,80]",12,3047887,0.0303527001841658,0.00999999977648258,0.0372866360262376,both
