age_group,month,n,mean,median,std,type
"[20,80]",1,384700,0.607613591503053,0.509455025196075,0.192399975673906,male
"[20,80]",2,358531,0.602069475040771,0.499310672283173,0.188673090135696,male
"[20,80]",3,379088,0.596116577174037,0.491783410310745,0.18542618234734,male
"[20,80]",4,347165,0.597465460359387,0.498137027025223,0.185103117121449,male
"[20,80]",5,381943,0.596371199973899,0.498030543327332,0.184817005381753,male
"[20,80]",6,393725,0.594431580242198,0.491783410310745,0.184494174449417,male
"[20,80]",7,400805,0.588121085826039,0.487102538347244,0.182597911064925,male
"[20,80]",8,375486,0.591507272048219,0.490141063928604,0.183852241654948,male
"[20,80]",9,330219,0.594576180715958,0.491783410310745,0.184339916415064,male
"[20,80]",10,353498,0.600591286829707,0.498137027025223,0.189081572228512,male
"[20,80]",11,376779,0.606780519972025,0.503860652446747,0.19297949759606,male
"[20,80]",12,382623,0.60941036275563,0.510727465152741,0.193862180259102,male
"[20,80]",1,530686,0.620237129781872,0.526240766048431,0.159036408930568,female
"[20,80]",2,508080,0.61690958996317,0.526240766048431,0.155537279792916,female
"[20,80]",3,531887,0.614612225497202,0.526240766048431,0.15324610507015,female
"[20,80]",4,499726,0.614495537237995,0.525361061096191,0.15323778501163,female
"[20,80]",5,569323,0.613084402226826,0.524168431758881,0.152532076500702,female
"[20,80]",6,583853,0.609351374758559,0.519293129444122,0.150204926906127,female
"[20,80]",7,593644,0.605892349692927,0.51503586769104,0.150078470907517,female
"[20,80]",8,555190,0.607054323731514,0.515483438968658,0.150529924074462,female
"[20,80]",9,491651,0.609195601042335,0.517441272735596,0.1514752846837,female
"[20,80]",10,518214,0.6149548596817,0.523460626602173,0.156009909088207,female
"[20,80]",11,541678,0.61882724039617,0.523460626602173,0.158957912979395,female
"[20,80]",12,532998,0.622329702737988,0.526240766048431,0.161442707222058,female
"[20,80]",1,913752,0.618273999684657,0.523460626602173,0.170930526049225,both
"[20,80]",2,864081,0.6132070015996,0.517441272735596,0.166473785886884,both
"[20,80]",3,906231,0.61030097855295,0.517076194286346,0.16405679768637,both
"[20,80]",4,843936,0.609744245991137,0.515483438968658,0.163262309874352,both
"[20,80]",5,950686,0.608365794143705,0.514978170394898,0.162657135416461,both
"[20,80]",6,976084,0.605456645009086,0.513151466846466,0.161162775182533,both
"[20,80]",7,982904,0.601824630006916,0.511640191078186,0.159992929521398,both
"[20,80]",8,922959,0.603215210602652,0.511640191078186,0.160769991823413,both
"[20,80]",9,816321,0.607059696274213,0.513515651226044,0.162585237123538,both
"[20,80]",10,870519,0.610917686901283,0.513515651226044,0.166335584756142,both
"[20,80]",11,916501,0.616127022518,0.51612800359726,0.170095567456697,both
"[20,80]",12,913346,0.619411507770962,0.519747972488403,0.172231004882697,both
