age_group,month,n,mean,median,std,type
"[20,80]",1,498861,0.623848698369615,0.508853852748871,0.217194503529363,male
"[20,80]",2,465732,0.619067586336807,0.499310672283173,0.214739662068752,male
"[20,80]",3,487495,0.615798774623843,0.498137027025223,0.212906906153921,male
"[20,80]",4,446200,0.615602244326602,0.498137027025223,0.21238189332988,male
"[20,80]",5,487759,0.61503582281939,0.498030543327332,0.212446420583384,male
"[20,80]",6,499905,0.612635366929247,0.491783410310745,0.211922061632458,male
"[20,80]",7,503823,0.608824294387071,0.489349275827408,0.211115922558569,male
"[20,80]",8,476301,0.609892901502542,0.490141063928604,0.211430744204044,male
"[20,80]",9,421193,0.613920071440887,0.491783410310745,0.212421237217605,male
"[20,80]",10,451189,0.617937442280455,0.498137027025223,0.214893917039572,male
"[20,80]",11,481568,0.622638745502621,0.503860652446747,0.217070521039088,male
"[20,80]",12,493877,0.625770397936563,0.510727465152741,0.218258484642671,male
"[20,80]",1,679621,0.641204908240338,0.5276158452034,0.187643763908843,female
"[20,80]",2,649769,0.637679772650209,0.526240766048431,0.184969551703874,female
"[20,80]",3,679029,0.635855040209127,0.526240766048431,0.183699930170432,female
"[20,80]",4,632926,0.636101639011043,0.526240766048431,0.183868819326352,female
"[20,80]",5,715513,0.635052647851317,0.525361061096191,0.183534989468969,female
"[20,80]",6,733332,0.632573373109819,0.519747972488403,0.182909665473845,female
"[20,80]",7,736307,0.63024399294555,0.517076194286346,0.182801875110292,female
"[20,80]",8,689567,0.631187079439579,0.517441272735596,0.183052414505138,female
"[20,80]",9,612504,0.633787162965363,0.523460626602173,0.183840648358974,female
"[20,80]",10,654381,0.636810265073967,0.523460626602173,0.18605100454457,female
"[20,80]",11,687205,0.640614274101564,0.525361061096191,0.188048190656475,female
"[20,80]",12,678432,0.642779030312396,0.526240766048431,0.189009360876293,female
"[20,80]",1,1178209,0.634850337571908,0.524168431758881,0.200741263669942,both
"[20,80]",2,1115319,0.630886538508535,0.519293129444122,0.19803864625223,both
"[20,80]",3,1166417,0.628391178130022,0.517441272735596,0.196559911964782,both
"[20,80]",4,1079326,0.628535121200818,0.517441272735596,0.196318360274319,both
"[20,80]",5,1203416,0.627825999577116,0.515483438968658,0.195903171961309,both
"[20,80]",6,1231674,0.624836436271888,0.513227105140686,0.194963899949077,both
"[20,80]",7,1238954,0.621998845458063,0.511640191078186,0.194690947836506,both
"[20,80]",8,1165151,0.622954626099907,0.513151466846466,0.195063723400721,both
"[20,80]",9,1032383,0.625988014263337,0.514978170394898,0.195750382663704,both
"[20,80]",10,1104111,0.629465882709344,0.51503586769104,0.198084839168164,both
"[20,80]",11,1167524,0.633723590140381,0.517441272735596,0.200330297654793,both
"[20,80]",12,1170349,0.636048535475874,0.524168431758881,0.201554032206281,both
