age_group,month,n,mean,median,std,type
"[20,80]",1,1196506,0.504376852299799,0.562656939029694,0.300247834425257,male
"[20,80]",2,1112116,0.496772826990397,0.560702741146088,0.300030930747439,male
"[20,80]",3,1173322,0.490556258639346,0.56006532907486,0.300251687702804,male
"[20,80]",4,1093721,0.490868907591158,0.56006532907486,0.299990298856767,male
"[20,80]",5,1184689,0.491049348655096,0.56006532907486,0.299670483730395,male
"[20,80]",6,1198371,0.489354699201004,0.56006532907486,0.298101104205075,male
"[20,80]",7,1210138,0.485453704286774,0.559377610683441,0.296256513660787,male
"[20,80]",8,1150010,0.484512802616428,0.559377610683441,0.296674341447965,male
"[20,80]",9,1041075,0.486604199048344,0.559966325759888,0.298611261779005,male
"[20,80]",10,1116650,0.496133993175202,0.561595141887665,0.29873093657171,male
"[20,80]",11,1176850,0.50724619835919,0.564707517623901,0.298353082119019,male
"[20,80]",12,1201324,0.509458325354969,0.56484842300415,0.299516130718648,male
"[20,80]",1,1839916,0.478245720300267,0.504220128059387,0.300060802959505,female
"[20,80]",2,1731749,0.473065800675801,0.503410339355469,0.300009740095412,female
"[20,80]",3,1828312,0.469657174452581,0.503304362297058,0.300341121461884,female
"[20,80]",4,1730518,0.470076515771295,0.503304362297058,0.300365960725321,female
"[20,80]",5,1923119,0.471568761997463,0.503410339355469,0.299834289813363,female
"[20,80]",6,1946196,0.469473623891681,0.503304362297058,0.298404555106624,female
"[20,80]",7,1961069,0.464936773802257,0.502516865730286,0.297179919465456,female
"[20,80]",8,1864597,0.463177220424978,0.502516865730286,0.296806164229683,female
"[20,80]",9,1691418,0.464888533287503,0.502516865730286,0.297998213203768,female
"[20,80]",10,1812052,0.472462168505427,0.503436923027039,0.298487612968248,female
"[20,80]",11,1872982,0.481660156959711,0.504699945449829,0.298436614847623,female
"[20,80]",12,1856685,0.482560902855434,0.504699945449829,0.2993450535503,female
"[20,80]",1,3035829,0.488645275165706,0.558811724185944,0.300358906616036,both
"[20,80]",2,2843054,0.482452132598967,0.505924761295319,0.300174681457515,both
"[20,80]",3,3001591,0.477826036985872,0.504220128059387,0.300472537302832,both
"[20,80]",4,2823903,0.478188341856683,0.504220128059387,0.300363281522589,both
"[20,80]",5,3106553,0.479188419737918,0.504695653915405,0.299831536012057,both
"[20,80]",6,3143977,0.477145269186812,0.504220128059387,0.29840226301845,both
"[20,80]",7,3170762,0.472819415002736,0.503410339355469,0.296961652275799,both
"[20,80]",8,3014620,0.471344502425099,0.503304362297058,0.296936976517687,both
"[20,80]",9,2731992,0.473232846917935,0.503410339355469,0.298375171760403,both
"[20,80]",10,2929036,0.481399669919391,0.506722927093506,0.298821595962055,both
"[20,80]",11,3049766,0.491555551713433,0.559377610683441,0.298657045267324,both
"[20,80]",12,3057873,0.493133769621696,0.559966325759888,0.299686470566191,both
