age_group,month,n,mean,median,std,type
"[20,80]",1,986365,0.512508163626159,0.5,0.21992094061412,male
"[20,80]",2,915167,0.50690469013786,0.5,0.218819239568473,male
"[20,80]",3,927779,0.481829913001663,0.5,0.19705172573364,male
"[20,80]",4,870398,0.482078594562236,0.5,0.196806999985964,male
"[20,80]",5,951679,0.482402096695053,0.5,0.196939313966626,male
"[20,80]",6,971717,0.481944727849992,0.5,0.195971430465817,male
"[20,80]",7,989392,0.479544008107457,0.5,0.195040455391355,male
"[20,80]",8,936860,0.479425447768281,0.5,0.195053285004393,male
"[20,80]",9,839941,0.480687315459498,0.5,0.196096512809688,male
"[20,80]",10,900243,0.486286918848346,0.5,0.197368906538262,male
"[20,80]",11,988417,0.515054743914247,0.5,0.219444306715463,male
"[20,80]",12,999313,0.516529170384961,0.5,0.220098307754733,male
"[20,80]",1,1467359,0.464963494215808,0.400000005960465,0.196693613634841,female
"[20,80]",2,1377322,0.461340367388727,0.400000005960465,0.195844243029466,female
"[20,80]",3,1455267,0.459181543979111,0.400000005960465,0.195403274501288,female
"[20,80]",4,1388332,0.459717580232798,0.400000005960465,0.195551380187607,female
"[20,80]",5,1557322,0.461025515904236,0.400000005960465,0.195544530639397,female
"[20,80]",6,1588553,0.460349329677948,0.400000005960465,0.19480476881619,female
"[20,80]",7,1608542,0.457319994687073,0.400000005960465,0.193786094129298,female
"[20,80]",8,1529405,0.456299193809456,0.400000005960465,0.193434028484886,female
"[20,80]",9,1376747,0.457642825871998,0.400000005960465,0.194276314332986,female
"[20,80]",10,1473249,0.462502033275861,0.400000005960465,0.195709383333628,female
"[20,80]",11,1520883,0.467943114744539,0.400000005960465,0.196698402067945,female
"[20,80]",12,1493174,0.468252325581266,0.400000005960465,0.197071330033869,female
"[20,80]",1,2410816,0.474905054023147,0.400000005960465,0.197684005774305,both
"[20,80]",2,2254504,0.470773474807462,0.400000005960465,0.196841387121246,both
"[20,80]",3,2383047,0.467999046102167,0.400000005960465,0.196357439933302,both
"[20,80]",4,2258731,0.468334331157428,0.400000005960465,0.196337934083492,both
"[20,80]",5,2509001,0.469133780121916,0.400000005960465,0.196348859356201,both
"[20,80]",6,2560270,0.468545580669267,0.400000005960465,0.195529379095867,both
"[20,80]",7,2597934,0.465783743606799,0.400000005960465,0.194564243630527,both
"[20,80]",8,2466265,0.465084163098589,0.400000005960465,0.194375042319681,both
"[20,80]",9,2216688,0.466374777156353,0.400000005960465,0.195288216131244,both
"[20,80]",10,2373492,0.471523414743517,0.400000005960465,0.196679316216586,both
"[20,80]",11,2466584,0.477616425386018,0.5,0.197624468884845,both
"[20,80]",12,2448361,0.478383160342058,0.5,0.19804122623316,both
