age_group,month,n,mean,median,std,type
"[20,80]",1,7375,0.471152784877551,0.471830993890762,0.322472012253145,male
"[20,80]",2,6758,0.473517499428741,0.472864896059036,0.326136330694016,male
"[20,80]",3,7137,0.47985608345862,0.48042705655098,0.325404865009563,male
"[20,80]",4,6508,0.478904340260996,0.480781614780426,0.324401327338759,male
"[20,80]",5,7153,0.477089809849429,0.476595759391785,0.325416149309572,male
"[20,80]",6,7083,0.466670154827044,0.455882340669632,0.321921315933241,male
"[20,80]",7,7381,0.455115781593546,0.446078419685364,0.316465011756356,male
"[20,80]",8,6973,0.462371454750268,0.456140339374542,0.316640545674068,male
"[20,80]",9,6183,0.465639110980793,0.453815251588821,0.321835482916132,male
"[20,80]",10,6484,0.451718933215879,0.433050349354744,0.314961886801344,male
"[20,80]",11,6898,0.447632498421335,0.429577469825745,0.316072967232667,male
"[20,80]",12,7527,0.469313556420704,0.459459453821182,0.323762044484685,male
"[20,80]",1,16710,0.491758290857804,0.504313617944717,0.314293546998227,female
"[20,80]",2,15583,0.486777041487531,0.491905361413956,0.316194190976567,female
"[20,80]",3,16277,0.487361390354585,0.490740746259689,0.315461107732409,female
"[20,80]",4,15017,0.488307194386071,0.493816643953323,0.316627138510658,female
"[20,80]",5,16446,0.486655655481176,0.4912348985672,0.310925631036121,female
"[20,80]",6,17264,0.476053085297944,0.479223564267159,0.311691156234978,female
"[20,80]",7,17663,0.48675921311062,0.495495498180389,0.310244254912066,female
"[20,80]",8,16734,0.48430027065744,0.495967745780945,0.308938999417294,female
"[20,80]",9,14870,0.478432257669911,0.481229677796364,0.309408151826516,female
"[20,80]",10,15666,0.462669547432205,0.453578561544418,0.308222103255223,female
"[20,80]",11,17127,0.461319571796564,0.447088301181793,0.310171597233492,female
"[20,80]",12,17153,0.476571685903348,0.472566366195679,0.310115877614923,female
"[20,80]",1,24257,0.482049403013825,0.490683227777481,0.318444255287788,both
"[20,80]",2,22271,0.484239876170669,0.488662123680115,0.31863150014553,both
"[20,80]",3,23275,0.484960919222377,0.487448662519455,0.317129785668187,both
"[20,80]",4,21395,0.485421050424429,0.491103202104569,0.317598764250909,both
"[20,80]",5,23454,0.48359175217211,0.487846493721008,0.313922962596184,both
"[20,80]",6,24202,0.473221963597516,0.471830993890762,0.313273964780442,both
"[20,80]",7,24971,0.47883027148892,0.483383685350418,0.311799855674637,both
"[20,80]",8,23637,0.479308122274958,0.486000835895538,0.310748231269122,both
"[20,80]",9,20930,0.474548456850924,0.473309606313705,0.311713590338387,both
"[20,80]",10,22085,0.460862061381514,0.449999988079071,0.309695300875774,both
"[20,80]",11,23954,0.458746449812717,0.444045379757881,0.311394921928727,both
"[20,80]",12,24531,0.474180901962145,0.469107538461685,0.312874352343263,both
