age_group,month,n,mean,median,std,type
"[20,80]",1,803,0.535059392136773,0.536458313465118,0.218815899179813,male
"[20,80]",2,744,0.516648527565262,0.532577931880951,0.226810764502543,male
"[20,80]",3,769,0.538523814341802,0.548599660396576,0.22666035089354,male
"[20,80]",4,768,0.51859375553128,0.531006872653961,0.213978044895917,male
"[20,80]",5,787,0.499119729116048,0.496087640523911,0.220598181615323,male
"[20,80]",6,767,0.5175101352756,0.523305058479309,0.222681262470615,male
"[20,80]",7,856,0.50727271519288,0.5104860663414,0.218478651656958,male
"[20,80]",8,788,0.531046997434294,0.529812425374985,0.22056546517721,male
"[20,80]",9,672,0.507321272311466,0.504832804203033,0.235379881199921,male
"[20,80]",10,730,0.492619481417414,0.487939730286598,0.219785340400512,male
"[20,80]",11,849,0.491766255695562,0.481481492519379,0.232550634334992,male
"[20,80]",12,878,0.522530410591521,0.537340015172958,0.229151915452587,male
"[20,80]",1,1904,0.525350080842168,0.527066469192505,0.226929303763124,female
"[20,80]",2,1783,0.530259524625102,0.535256385803223,0.231042706159259,female
"[20,80]",3,1893,0.524994034735349,0.519450783729553,0.235707547899032,female
"[20,80]",4,1777,0.542605734912948,0.555555582046509,0.230289990203672,female
"[20,80]",5,2066,0.521925028229614,0.523712128400803,0.225757150437114,female
"[20,80]",6,2129,0.501473456246716,0.506756782531738,0.223853910160777,female
"[20,80]",7,2200,0.532671232223511,0.537313461303711,0.226894192433419,female
"[20,80]",8,2023,0.528538744957419,0.533221900463104,0.225310181040377,female
"[20,80]",9,1858,0.510815554558108,0.510510087013245,0.22831279466012,female
"[20,80]",10,1887,0.4813390917085,0.477822571992874,0.226910075212089,female
"[20,80]",11,2089,0.493633881361077,0.491304337978363,0.227524144653031,female
"[20,80]",12,2048,0.506714681723679,0.504479944705963,0.231835795500179,female
"[20,80]",1,2708,0.528053915235414,0.529013067483902,0.224597498200357,both
"[20,80]",2,2528,0.526402692098312,0.534348726272583,0.229911215910147,both
"[20,80]",3,2664,0.52894461752047,0.527092278003693,0.23324894902004,both
"[20,80]",4,2547,0.535258971543747,0.547231256961823,0.22574776930695,both
"[20,80]",5,2855,0.515592805944683,0.516250967979431,0.224636218879756,both
"[20,80]",6,2896,0.505758843801463,0.510683953762054,0.223527981305527,both
"[20,80]",7,3056,0.52543054889712,0.529684484004974,0.224593607839186,both
"[20,80]",8,2811,0.52926152534266,0.532725334167481,0.223915572065746,both
"[20,80]",9,2529,0.510043064093298,0.509445071220398,0.23007315521985,both
"[20,80]",10,2616,0.484661902201331,0.481304123997688,0.224762336833284,both
"[20,80]",11,2940,0.493105661798091,0.488060817122459,0.229099292129193,both
"[20,80]",12,2928,0.511473200133813,0.515175759792328,0.231235953796992,both
