age_group,month,n,mean,median,std,type
"[20,80]",1,803,428.897650142684,426,99.913980208423,male
"[20,80]",2,744,419.922972545829,414,106.512311322154,male
"[20,80]",3,769,430.166326634441,427,106.492533083408,male
"[20,80]",4,768,419.319875578086,422.5,98.2320083822719,male
"[20,80]",5,787,410.762979723144,404,100.763147320861,male
"[20,80]",6,767,419.476766852388,415,101.854445039544,male
"[20,80]",7,857,415.576205294775,414,98.126557937593,male
"[20,80]",8,789,425.459942681103,417,102.113487063386,male
"[20,80]",9,672,415.755047502972,414.5,108.710123971583,male
"[20,80]",10,730,406.994678361449,401.5,101.203345596446,male
"[20,80]",11,851,407.522586217358,397,107.449201917025,male
"[20,80]",12,880,421.528511428833,421.758575439453,105.925537605729,male
"[20,80]",1,1904,445.096500212405,434,119.09212563723,female
"[20,80]",2,1783,447.524804038809,440,121.884817071926,female
"[20,80]",3,1893,444.464191926451,430.5,126.596664853259,female
"[20,80]",4,1777,454.493253837762,447.739990234375,123.718284123903,female
"[20,80]",5,2067,440.457560597841,430.3447265625,119.404913587958,female
"[20,80]",6,2130,428.991792562422,417,116.473304846536,female
"[20,80]",7,2201,446.651871219758,435,120.070122324901,female
"[20,80]",8,2025,445.03514152621,441,118.05968658934,female
"[20,80]",9,1858,435.165037518554,427.017181396484,118.521613679033,female
"[20,80]",10,1887,420.277109029878,412.100006103516,118.440231229083,female
"[20,80]",11,2091,424.846001893695,415.899993896484,118.441776563524,female
"[20,80]",12,2049,433.334822491357,423.600006103516,120.966443057138,female
"[20,80]",1,2712,439.889950642544,431.999938964844,113.208028859897,both
"[20,80]",2,2529,438.829858402058,432,117.222559637916,both
"[20,80]",3,2667,439.46295425764,429.700012207031,120.231552153003,both
"[20,80]",4,2547,442.993922023526,439,116.074641282204,both
"[20,80]",5,2856,431.626572536821,423.399993896484,114.09041857378,both
"[20,80]",6,2896,426.084559646101,417,111.884262661373,both
"[20,80]",7,3059,436.919916128637,428,113.334310352885,both
"[20,80]",8,2812,439.017785263604,433,112.985897054676,both
"[20,80]",9,2531,429.204786266747,422.896453857422,115.191209326627,both
"[20,80]",10,2618,416.17639653823,408.551620483398,113.141512206057,both
"[20,80]",11,2945,419.728856831212,411,115.034543154998,both
"[20,80]",12,2932,429.712616107311,422.948226928711,116.322468740355,both
