age_group,month,n,mean,median,std,type
"[20,80]",1,2247,431.2026112399,424.827484130859,136.596224907859,male
"[20,80]",2,2141,427.690831504654,424,136.83589631886,male
"[20,80]",3,2119,430.389740674324,424.399993896484,136.650699083698,male
"[20,80]",4,1988,421.763240906314,422.184432983398,135.553375658938,male
"[20,80]",5,2128,422.745387364151,411.017181396484,134.804667079351,male
"[20,80]",6,2082,420.632848492273,415.724090576172,129.352272276164,male
"[20,80]",7,2211,415.996794619101,414,128.338153031495,male
"[20,80]",8,2060,418.321363245399,412,129.133855150216,male
"[20,80]",9,1800,421.048321965536,416,132.776935529758,male
"[20,80]",10,1943,412.517883764121,403,132.974759583106,male
"[20,80]",11,2016,411.185430292099,400.41374206543,128.040241085223,male
"[20,80]",12,2332,418.699973530058,412,137.718904914917,male
"[20,80]",1,5835,449.696534094856,436,149.983001702035,female
"[20,80]",2,5667,455.592626396302,442.482635498047,155.57694322307,female
"[20,80]",3,5718,453.35099398602,436,156.115574160315,female
"[20,80]",4,5274,456.64402217525,445.940002441406,152.906337898789,female
"[20,80]",5,5883,449.29065763612,438,148.343039340061,female
"[20,80]",6,6106,437.285385671616,423,147.800232399586,female
"[20,80]",7,6041,448.032077465364,436,148.990504794083,female
"[20,80]",8,5861,446.87712666281,438,145.972188766241,female
"[20,80]",9,5161,437.487470440938,424.827484130859,146.392156946992,female
"[20,80]",10,5401,431.284464623703,418,148.119510770701,female
"[20,80]",11,5840,431.318119900847,418.603393554688,150.885617791918,female
"[20,80]",12,5969,441.733060348851,428,147.619281948466,female
"[20,80]",1,8085,444.360476212746,433,146.358307798843,both
"[20,80]",2,7808,447.544393508161,436.800003051758,150.201915557088,both
"[20,80]",3,7842,446.778354968747,433,151.043863727555,both
"[20,80]",4,7270,446.721758749856,438.349990844727,148.34516231544,both
"[20,80]",5,8010,441.989440081688,430.3447265625,144.648893852568,both
"[20,80]",6,8189,432.632418152817,421,142.687880750151,both
"[20,80]",7,8253,438.847145081491,430,143.399487832325,both
"[20,80]",8,7923,439.094342652677,431,141.52974388836,both
"[20,80]",9,6965,432.98884415582,422,142.656335548156,both
"[20,80]",10,7347,426.08392366799,414,144.08453262205,both
"[20,80]",11,7853,425.919402083272,414,144.803584925923,both
"[20,80]",12,8303,435.150335612131,423,144.927560329819,both
