age_group,month,n,mean,median,std,type
"[20,80]",1,689074,0.96471798337994,0.920000016689301,0.215334975870513,male
"[20,80]",2,631014,0.965575691980975,0.920000016689301,0.215695216685894,male
"[20,80]",3,661929,0.969874019283355,0.920000016689301,0.22014140389708,male
"[20,80]",4,625264,0.978847622298959,0.930000007152557,0.229894216866629,male
"[20,80]",5,683247,0.978880096972619,0.930000007152557,0.222842142044582,male
"[20,80]",6,689855,0.97867570672374,0.930000007152557,0.219938381480866,male
"[20,80]",7,700653,0.981151339832803,0.930000007152557,0.222866111208753,male
"[20,80]",8,667680,0.983925368055512,0.930000007152557,0.229671276865729,male
"[20,80]",9,597599,0.984078520473078,0.930000007152557,0.231294303391161,male
"[20,80]",10,650945,0.977519498174282,0.930000007152557,0.224237000420902,male
"[20,80]",11,693467,0.967566906151905,0.920000016689301,0.213966123217764,male
"[20,80]",12,702787,0.964378765770246,0.920000016689301,0.21502629615072,male
"[20,80]",1,875146,0.702355503665747,0.680000007152557,0.141890618921141,female
"[20,80]",2,816395,0.703289889855776,0.680000007152557,0.142382333586431,female
"[20,80]",3,856896,0.704618704741069,0.689999997615814,0.142683536470564,female
"[20,80]",4,820761,0.708555510903661,0.689999997615814,0.14430470404074,female
"[20,80]",5,919125,0.712360701373949,0.689999997615814,0.142219628959832,female
"[20,80]",6,930884,0.714542928698816,0.699999988079071,0.142141776605602,female
"[20,80]",7,938060,0.716842088664673,0.699999988079071,0.142908906681491,female
"[20,80]",8,890698,0.71781302951891,0.699999988079071,0.144640955118122,female
"[20,80]",9,795389,0.717763622277072,0.699999988079071,0.146011772809263,female
"[20,80]",10,870298,0.713203465575803,0.689999997615814,0.142662766535607,female
"[20,80]",11,918884,0.704676944577843,0.689999997615814,0.13931707629986,female
"[20,80]",12,896702,0.702025198566532,0.680000007152557,0.140784590843889,female
"[20,80]",1,1568808,0.814463152339966,0.779999971389771,0.202886077690733,both
"[20,80]",2,1450281,0.813782900817244,0.779999971389771,0.202060813154697,both
"[20,80]",3,1524565,0.816793629045476,0.790000021457672,0.205388447184744,both
"[20,80]",4,1450274,0.821221492760683,0.790000021457672,0.208935896008538,both
"[20,80]",5,1613413,0.820591267733015,0.790000021457672,0.205892893979619,both
"[20,80]",6,1616458,0.824482070746237,0.790000021457672,0.202973540856016,both
"[20,80]",7,1635608,0.827428649816127,0.800000011920929,0.204825634574978,both
"[20,80]",8,1555252,0.828843421672773,0.800000011920929,0.207355425360257,both
"[20,80]",9,1391246,0.829877454684054,0.800000011920929,0.210033097225584,both
"[20,80]",10,1518861,0.824186360147173,0.790000021457672,0.205256329996847,both
"[20,80]",11,1617576,0.814378266747635,0.779999971389771,0.200823968584691,both
"[20,80]",12,1603734,0.813322782399146,0.779999971389771,0.20164582553531,both
