age_group,month,n,mean,median,std,type
"[20,80]",1,454248,0.514529149529561,0.527847170829773,0.266734802048704,male
"[20,80]",2,425205,0.520832119111405,0.532305300235748,0.267719560367136,male
"[20,80]",3,442936,0.525085940023602,0.538964748382568,0.268301486260759,male
"[20,80]",4,403854,0.534891995556161,0.558087676763535,0.267811754669326,male
"[20,80]",5,441879,0.544289750834816,0.566951036453247,0.26747321018774,male
"[20,80]",6,452308,0.548850449576306,0.569992661476135,0.267317520764535,male
"[20,80]",7,453727,0.549779753018404,0.569992661476135,0.2667318345913,male
"[20,80]",8,425856,0.548697022960195,0.569311141967773,0.266794011650984,male
"[20,80]",9,376472,0.544816746613496,0.566951036453247,0.266874990577662,male
"[20,80]",10,404953,0.53343500017812,0.552776336669922,0.265642421109062,male
"[20,80]",11,434049,0.517712262779616,0.528634965419769,0.264578200018156,male
"[20,80]",12,448091,0.508351657132451,0.515778720378876,0.264868795505467,male
"[20,80]",1,547903,0.520360794807894,0.521402418613434,0.275092525212577,female
"[20,80]",2,526448,0.529463074846347,0.531721293926239,0.276642700905661,female
"[20,80]",3,549603,0.535632518333359,0.543103218078613,0.276398951503183,female
"[20,80]",4,512787,0.544720378357317,0.559393525123596,0.275280024196944,female
"[20,80]",5,581123,0.555239832839531,0.577083051204681,0.274237000742155,female
"[20,80]",6,595060,0.563470326748802,0.592273890972138,0.272602023971486,female
"[20,80]",7,591405,0.565850224444219,0.595368444919586,0.270431193635909,female
"[20,80]",8,550067,0.568251661936332,0.596590280532837,0.270000670014818,female
"[20,80]",9,486457,0.562795576556068,0.590888440608978,0.270521730838767,female
"[20,80]",10,522774,0.546320294632148,0.55841875076294,0.270334327333318,female
"[20,80]",11,551121,0.527094134249374,0.527728319168091,0.269629900608951,female
"[20,80]",12,544989,0.51474578623666,0.516112923622131,0.270603770009383,female
"[20,80]",1,1002017,0.517755392812607,0.524658679962158,0.271282942798142,both
"[20,80]",2,951379,0.525468239678658,0.532056987285614,0.272624050913268,both
"[20,80]",3,992302,0.530824735125123,0.540311992168427,0.272775126129007,both
"[20,80]",4,916489,0.540327339231446,0.558366298675537,0.271990228920707,both
"[20,80]",5,1022749,0.550443608577285,0.569328546524048,0.271303470743944,both
"[20,80]",6,1047322,0.557137083090923,0.576063752174377,0.270384686101949,both
"[20,80]",7,1044831,0.558742437675918,0.577083051204681,0.26886152319273,both
"[20,80]",8,975701,0.559611390497301,0.577083051204681,0.268691703252176,both
"[20,80]",9,862685,0.554928359124864,0.571256637573242,0.268975921202773,both
"[20,80]",10,927663,0.540730330225014,0.557142317295075,0.268319027682082,both
"[20,80]",11,985089,0.523114179569583,0.52818751335144,0.267400980961608,both
"[20,80]",12,992935,0.511803050351791,0.515894412994385,0.267990034241263,both
