age_group,month,n,mean,median,std,type
"[20,80]",1,353,0.519935343277353,0.531428575515747,0.227476728499527,male
"[20,80]",2,312,0.536645941961652,0.539510667324066,0.216308969550823,male
"[20,80]",3,353,0.492172990405864,0.5,0.230649599126754,male
"[20,80]",4,267,0.529017869731907,0.536144554615021,0.226399658827803,male
"[20,80]",5,329,0.487802735147686,0.5,0.225068810483893,male
"[20,80]",6,308,0.504703336770271,0.508195638656616,0.233918692077076,male
"[20,80]",7,350,0.501559712375913,0.507209688425064,0.224469412867022,male
"[20,80]",8,317,0.497562725132196,0.5,0.224639006389709,male
"[20,80]",9,280,0.505758263942386,0.507321715354919,0.219892298321829,male
"[20,80]",10,309,0.48293611571241,0.485714286565781,0.231361774721897,male
"[20,80]",11,362,0.523281199991374,0.524911344051361,0.219017212354495,male
"[20,80]",12,385,0.53165280548009,0.529850721359253,0.230684578571963,male
"[20,80]",1,4965,0.52154525594949,0.525492191314697,0.230221597098358,female
"[20,80]",2,4505,0.520537794620361,0.524068892002106,0.229052533842213,female
"[20,80]",3,4514,0.519937582426252,0.526741355657578,0.230800681357764,female
"[20,80]",4,4049,0.509855182165642,0.51087349653244,0.228825285897284,female
"[20,80]",5,4570,0.502039914826009,0.5083087682724,0.228045802235146,female
"[20,80]",6,4832,0.4985536638746,0.501352876424789,0.229807120017851,female
"[20,80]",7,5000,0.485019873595238,0.483429849147797,0.231531031946497,female
"[20,80]",8,4935,0.482387836888931,0.481322556734085,0.23247830372659,female
"[20,80]",9,4432,0.471013794436257,0.464025735855103,0.231344630404091,female
"[20,80]",10,4919,0.495260153002893,0.497524440288544,0.233523083320739,female
"[20,80]",11,5481,0.511154551362822,0.514186978340149,0.232196191010632,female
"[20,80]",12,5515,0.528017813373941,0.528297126293182,0.229876243594823,female
"[20,80]",1,5319,0.521515493577619,0.526137113571167,0.230045961525235,both
"[20,80]",2,4819,0.52162919698612,0.524447441101074,0.228267327675637,both
"[20,80]",3,4866,0.518011503889269,0.524779498577118,0.230774671941645,both
"[20,80]",4,4315,0.510946803459701,0.512504756450653,0.228628591183572,both
"[20,80]",5,4901,0.501087953553738,0.507658660411835,0.227906673624075,both
"[20,80]",6,5141,0.498844605138494,0.502353966236115,0.23007128108432,both
"[20,80]",7,5352,0.486114109086739,0.484627738595009,0.231139537030838,both
"[20,80]",8,5254,0.483154187524187,0.483290821313858,0.23209976727722,both
"[20,80]",9,4714,0.473096888947017,0.466175675392151,0.230872216589445,both
"[20,80]",10,5228,0.494381387412332,0.495895087718964,0.233383578820166,both
"[20,80]",11,5845,0.511905768586337,0.515170753002167,0.231477153774077,both
"[20,80]",12,5900,0.528255537316456,0.528937786817551,0.229910268905885,both
