age_group,month,n,mean,median,std,type
"[20,80]",1,430,5.98257520115653,5.66000008583069,3.26995974804066,male
"[20,80]",2,384,5.99776588364815,5.67225980758667,3.08240635314203,male
"[20,80]",3,430,5.66672407291656,5.26516008377075,3.21036105758454,male
"[20,80]",4,327,6.05883276790654,5.5094199180603,3.44610020566493,male
"[20,80]",5,403,5.68492806830418,5.48227977752686,3.06631682992999,male
"[20,80]",6,378,5.915787654579,5.69969987869263,3.16310226917632,male
"[20,80]",7,428,5.97190965976671,5.59999990463257,3.09283448031338,male
"[20,80]",8,389,5.81684627615701,5.59999990463257,3.12669401928137,male
"[20,80]",9,344,5.85162762067346,5.59000015258789,3.14557722960235,male
"[20,80]",10,379,5.72303201718192,5.5,3.14474628277681,male
"[20,80]",11,445,6.01570629497592,5.61999988555908,3.17558061433342,male
"[20,80]",12,471,6.07392600627968,5.5,3.30043296664058,male
"[20,80]",1,6082,4.35711287149706,3.90815997123718,2.31620904320101,female
"[20,80]",2,5520,4.34647054064317,3.93258607387543,2.30495810008411,female
"[20,80]",3,5532,4.36368988011509,3.99000000953674,2.33693839723348,female
"[20,80]",4,4962,4.33159405376247,3.93530011177063,2.28886412283038,female
"[20,80]",5,5598,4.2424323053584,3.82999992370605,2.23858140536173,female
"[20,80]",6,5920,4.14263004158196,3.76999998092651,2.19634936391678,female
"[20,80]",7,6126,4.10140714747938,3.69000005722046,2.21620109573916,female
"[20,80]",8,6046,4.09119614736946,3.69000005722046,2.19159632188892,female
"[20,80]",9,5433,4.01806082696781,3.60999989509583,2.19763112875534,female
"[20,80]",10,6025,4.15419465029388,3.77245998382568,2.23756930596799,female
"[20,80]",11,6720,4.2553685366043,3.88000011444092,2.30272141708449,female
"[20,80]",12,6757,4.38819835383422,4.01671981811523,2.31127686775755,female
"[20,80]",1,6513,4.46085870770216,3.99000000953674,2.40702318448997,both
"[20,80]",2,5904,4.44934149957729,4,2.38604203794468,both
"[20,80]",3,5963,4.45641040295218,4.03999996185303,2.42511805773151,both
"[20,80]",4,5290,4.43037171468618,3.99000000953674,2.39060098731842,both
"[20,80]",5,6005,4.34121887405945,3.90000009536743,2.33177916912156,both
"[20,80]",6,6299,4.24570834706711,3.82999992370605,2.29325104561051,both
"[20,80]",7,6557,4.22128048961403,3.76999998092651,2.32311684847233,both
"[20,80]",8,6436,4.19207552264313,3.76999998092651,2.28428867202667,both
"[20,80]",9,5780,4.12793188156966,3.69000005722046,2.29949698361226,both
"[20,80]",10,6414,4.23691967357383,3.82999992370605,2.32156217514467,both
"[20,80]",11,7160,4.36306602845811,3.96000003814697,2.39103561845212,both
"[20,80]",12,7229,4.49449044926926,4.08728408813477,2.4067644105098,both
