age_group,month,n,mean,median,std,type
"[20,80]",1,920,5.76563956789348,5.42999982833862,2.41376250316697,male
"[20,80]",2,865,5.76268970980121,5.51000022888184,2.35468478426536,male
"[20,80]",3,899,5.35301495712246,5.09999990463257,2.26881396297581,male
"[20,80]",4,704,5.4782951685854,5.11589002609253,2.37607046158599,male
"[20,80]",5,813,5.26971319431455,5.18374013900757,2.23910613444407,male
"[20,80]",6,841,5.46558814213194,5.19999980926514,2.26494599588039,male
"[20,80]",7,858,5.36296767927272,4.98999977111816,2.28656207523196,male
"[20,80]",8,804,5.52887610683394,5.40000009536743,2.25030926856643,male
"[20,80]",9,717,5.41574961221368,5.19999980926514,2.26591817971785,male
"[20,80]",10,779,5.45155983803667,5.31943988800049,2.22238752920479,male
"[20,80]",11,851,5.70399809065773,5.5,2.26075150028378,male
"[20,80]",12,963,5.79192954617497,5.48000001907349,2.4550395732253,male
"[20,80]",1,15088,4.25650902756925,4.04385995864868,1.57654446481392,female
"[20,80]",2,13995,4.25121870514494,4.03999996185303,1.59466384161079,female
"[20,80]",3,14311,4.24825572901723,4.07000017166138,1.59359345797863,female
"[20,80]",4,12634,4.20542962945147,3.99000000953674,1.59210188337134,female
"[20,80]",5,13745,4.131284409395,3.91000008583069,1.54926626772532,female
"[20,80]",6,14337,4.06473509612805,3.88000011444092,1.53169188903134,female
"[20,80]",7,14750,3.9828430475138,3.79959988594055,1.52454446517556,female
"[20,80]",8,14381,3.97341499673616,3.79959988594055,1.50030121166126,female
"[20,80]",9,12892,3.93984532608699,3.74532008171082,1.508523941549,female
"[20,80]",10,14127,4.08731331116937,3.90000009536743,1.55430976844263,female
"[20,80]",11,15243,4.17758358641652,4,1.55592917984358,female
"[20,80]",12,16138,4.30042223563822,4.09999990463257,1.59720537703051,female
"[20,80]",1,16002,4.32424866090848,4.09999990463257,1.62313782575963,both
"[20,80]",2,14862,4.32672247930292,4.09999990463257,1.64652370233505,both
"[20,80]",3,15215,4.30346032343058,4.09999990463257,1.63461371536364,both
"[20,80]",4,13335,4.25350752680499,4,1.62985858471882,both
"[20,80]",5,14560,4.18354186933938,3.98957991600037,1.58911502532854,both
"[20,80]",6,15167,4.12759642952503,3.91000008583069,1.57339799604475,both
"[20,80]",7,15613,4.04410406476231,3.79999995231628,1.5670389552641,both
"[20,80]",8,15203,4.03845111293275,3.82999992370605,1.54790318817403,both
"[20,80]",9,13605,4.00385113480949,3.79999995231628,1.55334469018236,both
"[20,80]",10,14916,4.15047987331715,3.94000005722046,1.60031196036245,both
"[20,80]",11,16110,4.24150093688053,4.03999996185303,1.60244735627897,both
"[20,80]",12,17088,4.3703209361487,4.17999982833862,1.64687270792034,both
