age_group,month,n,mean,median,std,type
"[20,80]",1,1108183,0.535271511864823,0.634692907333374,0.267678476044408,male
"[20,80]",2,1027081,0.533564982416099,0.634333193302155,0.267531841204212,male
"[20,80]",3,1085566,0.532521297618632,0.634333193302155,0.268378251356451,male
"[20,80]",4,1018264,0.535649027474858,0.634692907333374,0.268410766688143,male
"[20,80]",5,1110505,0.537283344383306,0.635604858398438,0.266599885407806,male
"[20,80]",6,1128603,0.535272888867038,0.634692907333374,0.265161895638255,male
"[20,80]",7,1144556,0.535026924732738,0.634692907333374,0.265309628916461,male
"[20,80]",8,1086081,0.534053562645945,0.634333193302155,0.266479703447508,male
"[20,80]",9,978924,0.532681988194264,0.634333193302155,0.268251382355393,male
"[20,80]",10,1050176,0.5333536321057,0.634333193302155,0.266751453824679,male
"[20,80]",11,1105446,0.535918949709006,0.634692907333374,0.2662480979755,male
"[20,80]",12,1120972,0.536436043167318,0.635604858398438,0.267561219867665,male
"[20,80]",1,1718096,0.542905088118537,0.485172867774963,0.26613748209873,female
"[20,80]",2,1612435,0.540334589455713,0.481683880090714,0.266040272274865,female
"[20,80]",3,1707783,0.539707917836479,0.48107898235321,0.266759281253034,female
"[20,80]",4,1628782,0.543172186211884,0.485172867774963,0.266555085932712,female
"[20,80]",5,1822045,0.546982247220651,0.487522065639496,0.264258489008063,female
"[20,80]",6,1851842,0.546282406192792,0.487522065639496,0.262947122945997,female
"[20,80]",7,1871915,0.545800545483606,0.487522065639496,0.263300270787886,female
"[20,80]",8,1779617,0.545801964170339,0.487522065639496,0.26423202204038,female
"[20,80]",9,1607777,0.542851911041007,0.487136334180832,0.265750504663974,female
"[20,80]",10,1718921,0.543977309430172,0.484819978475571,0.264854652051657,female
"[20,80]",11,1773239,0.546092647730287,0.487185508012772,0.264456583174879,female
"[20,80]",12,1745325,0.545687081968275,0.487522065639496,0.265765751955202,female
"[20,80]",1,2824793,0.540230381235942,0.51652604341507,0.266488692119379,both
"[20,80]",2,2637975,0.538020981660156,0.510274708271027,0.266346525030364,both
"[20,80]",3,2792044,0.537167850532789,0.508092343807221,0.26716108535067,both
"[20,80]",4,2645439,0.540598516458236,0.513795495033264,0.266990696645216,both
"[20,80]",5,2932588,0.543320672878665,0.518334686756134,0.265103915807487,both
"[20,80]",6,2980544,0.542123095989105,0.514887988567352,0.263763132309582,both
"[20,80]",7,3016438,0.541750299374419,0.51652604341507,0.26402069346604,both
"[20,80]",8,2865678,0.541380309109365,0.516643702983856,0.265053518850688,both
"[20,80]",9,2586089,0.539144917169483,0.511929094791412,0.266569679563545,both
"[20,80]",10,2768666,0.540074071619793,0.511929094791412,0.265474775879743,both
"[20,80]",11,2877808,0.542376027069144,0.516643702983856,0.264986453091128,both
"[20,80]",12,2865338,0.54225442744573,0.520218729972839,0.266294847073709,both
