age_group,month,n,mean,median,std,type
"[20,80]",1,329875,0.549185091907755,0.632080972194672,0.184954758688714,male
"[20,80]",2,307890,0.544522827438665,0.631401896476746,0.184860486122546,male
"[20,80]",3,322226,0.54518448851082,0.631401896476746,0.185185605789107,male
"[20,80]",4,293986,0.55110527478458,0.632080972194672,0.186590252874285,male
"[20,80]",5,320965,0.549445189972743,0.632080972194672,0.185504584446425,male
"[20,80]",6,330084,0.546409868537896,0.631512880325317,0.184044017759539,male
"[20,80]",7,334955,0.546511379934166,0.631512880325317,0.183690302698289,male
"[20,80]",8,317070,0.548228073290996,0.632080972194672,0.183551448538469,male
"[20,80]",9,278391,0.549044361905522,0.632080972194672,0.184515661470111,male
"[20,80]",10,298009,0.548219490493351,0.631512880325317,0.184776197043432,male
"[20,80]",11,317879,0.550498882266771,0.632080972194672,0.185690782028526,male
"[20,80]",12,326235,0.552329730417602,0.632915914058685,0.185864775017767,male
"[20,80]",1,465137,0.577858712238838,0.508092343807221,0.179085018737423,female
"[20,80]",2,445010,0.572629516397437,0.500670492649078,0.180248435636821,female
"[20,80]",3,464303,0.572723113390539,0.49994707107544,0.181292423735273,female
"[20,80]",4,431617,0.577802578559821,0.507811605930328,0.179623336624196,female
"[20,80]",5,488433,0.580540603839319,0.510090291500092,0.177689046626998,female
"[20,80]",6,501385,0.579616361234406,0.50858610868454,0.175383638331089,female
"[20,80]",7,505126,0.581780409123975,0.511095702648163,0.173689860433716,female
"[20,80]",8,475068,0.584288953308605,0.513795495033264,0.173573567571035,female
"[20,80]",9,419702,0.582189903369249,0.512335062026978,0.176444025019526,female
"[20,80]",10,447642,0.580804978468395,0.509457886219025,0.175925435296789,female
"[20,80]",11,470962,0.581323717317759,0.508685171604157,0.175584921493139,female
"[20,80]",12,465353,0.582046278376376,0.511173009872437,0.176941797469606,female
"[20,80]",1,793523,0.567615422959915,0.548823535442352,0.178952801701529,both
"[20,80]",2,751407,0.562672610394343,0.533363938331604,0.180328040683752,both
"[20,80]",3,785105,0.563016537954143,0.533569633960724,0.18119434135331,both
"[20,80]",4,724687,0.568156646006558,0.544852077960968,0.180350547882724,both
"[20,80]",5,808433,0.569660176536065,0.546581864356995,0.178866426919793,both
"[20,80]",6,830699,0.567565826900419,0.54081392288208,0.177032362356989,both
"[20,80]",7,838537,0.569222462637627,0.546508252620697,0.175622628226003,both
"[20,80]",8,790940,0.571497168280534,0.554111301898956,0.1757152426225,both
"[20,80]",9,698247,0.57009170196315,0.550544321537018,0.17842880652791,both
"[20,80]",10,744969,0.569510112837197,0.546967208385468,0.177475213790834,both
"[20,80]",11,788531,0.570583005107065,0.550544321537018,0.177093787998014,both
"[20,80]",12,791596,0.571156527677314,0.55991393327713,0.178133129193206,both
