age_group,month,n,mean,median,std,type
"[20,80]",1,324845,0.202296944807116,0.200000002980232,0.0907434444818275,male
"[20,80]",2,301658,0.201299653747377,0.200000002980232,0.0906873786623201,male
"[20,80]",3,316020,0.201537247625105,0.200000002980232,0.0907438229149484,male
"[20,80]",4,290121,0.20234619662198,0.200000002980232,0.0908022957194126,male
"[20,80]",5,320173,0.202192505332702,0.200000002980232,0.0907671778545829,male
"[20,80]",6,332160,0.201093602596727,0.200000002980232,0.0903856700260616,male
"[20,80]",7,338317,0.201470340137296,0.200000002980232,0.0906216833707679,male
"[20,80]",8,319281,0.202101756789105,0.200000002980232,0.0904454726013303,male
"[20,80]",9,278879,0.202234699921996,0.200000002980232,0.0905627235445128,male
"[20,80]",10,298143,0.201931022865447,0.200000002980232,0.0908914593057878,male
"[20,80]",11,317593,0.201764053432714,0.200000002980232,0.0910041134709886,male
"[20,80]",12,324335,0.202687533091153,0.200000002980232,0.0911503560696607,male
"[20,80]",1,449813,0.165424389963866,0.150000005960464,0.0715348975120775,female
"[20,80]",2,428431,0.163815109154979,0.140000000596046,0.0706884628003593,female
"[20,80]",3,448451,0.164287672656867,0.140000000596046,0.0713256047227932,female
"[20,80]",4,421516,0.165609753927876,0.150000005960464,0.0720861579643407,female
"[20,80]",5,481833,0.166092424529057,0.150000005960464,0.0721990089602773,female
"[20,80]",6,498143,0.165048352027197,0.150000005960464,0.0713798042172154,female
"[20,80]",7,502418,0.16487817163851,0.150000005960464,0.0708905970736306,female
"[20,80]",8,473557,0.166039909000341,0.150000005960464,0.0716308859662294,female
"[20,80]",9,414757,0.165772081073369,0.150000005960464,0.0715844494235657,female
"[20,80]",10,441283,0.165155832216242,0.150000005960464,0.0716795970191882,female
"[20,80]",11,461850,0.164866842411421,0.150000005960464,0.0715701315259624,female
"[20,80]",12,454634,0.16609310159618,0.150000005960464,0.0723845542738481,female
"[20,80]",1,795097,0.187936242111053,0.200000002980232,0.088421500783826,both
"[20,80]",2,750683,0.186747831149054,0.200000002980232,0.0882064794836401,both
"[20,80]",3,784420,0.186821501514424,0.200000002980232,0.088318282724721,both
"[20,80]",4,729485,0.187557457751834,0.200000002980232,0.088484929496306,both
"[20,80]",5,822668,0.187616100705215,0.200000002980232,0.0884489639535872,both
"[20,80]",6,815571,0.176994255788834,0.180000007152557,0.0769878701944821,both
"[20,80]",7,827098,0.177300564442705,0.180000007152557,0.0769893543100465,both
"[20,80]",8,814762,0.187867036433623,0.200000002980232,0.0882096662408452,both
"[20,80]",9,713223,0.18787759513417,0.200000002980232,0.0883735868153793,both
"[20,80]",10,760076,0.187386277416325,0.200000002980232,0.0886117223609986,both
"[20,80]",11,801151,0.187258459804986,0.200000002980232,0.0886850376048161,both
"[20,80]",12,798959,0.188244456012618,0.200000002980232,0.0888974347676993,both
