age_group,month,n,mean,median,std,type
"[20,80]",1,374143,0.209145864210192,0.200000002980232,0.107779088540197,male
"[20,80]",2,348496,0.207728355523764,0.200000002980232,0.107644823181738,male
"[20,80]",3,364334,0.20789731683461,0.200000002980232,0.107564986793473,male
"[20,80]",4,332579,0.209744244030293,0.200000002980232,0.108403594825063,male
"[20,80]",5,363784,0.209118518215735,0.200000002980232,0.107824022179585,male
"[20,80]",6,374983,0.207675684116149,0.200000002980232,0.107115471814482,male
"[20,80]",7,380471,0.208116101041084,0.200000002980232,0.107182082340281,male
"[20,80]",8,360070,0.208833674079096,0.200000002980232,0.107235968148516,male
"[20,80]",9,316226,0.209108140689799,0.200000002980232,0.107692230278708,male
"[20,80]",10,338508,0.208875568590332,0.200000002980232,0.107819245833779,male
"[20,80]",11,361735,0.209113580514872,0.200000002980232,0.108261562394318,male
"[20,80]",12,371463,0.209927344249805,0.200000002980232,0.108395583546912,male
"[20,80]",1,526617,0.17156804899915,0.150000005960464,0.08936200832609,female
"[20,80]",2,503998,0.169915875016984,0.140000000596046,0.0886128233966506,female
"[20,80]",3,525529,0.170231255022878,0.140000000596046,0.0892774804547955,female
"[20,80]",4,485588,0.172718459166307,0.150000005960464,0.0897209821890193,female
"[20,80]",5,551164,0.173338192095216,0.150000005960464,0.0898187487251627,female
"[20,80]",6,566373,0.171923275549885,0.150000005960464,0.0882863269425086,female
"[20,80]",7,570560,0.17219782564443,0.150000005960464,0.0878914944357885,female
"[20,80]",8,537138,0.173657312105285,0.150000005960464,0.0889959993228669,female
"[20,80]",9,473816,0.173392542970822,0.150000005960464,0.0892973657239426,female
"[20,80]",10,505392,0.1727562787525,0.150000005960464,0.0892911810087864,female
"[20,80]",11,531330,0.172972110179482,0.150000005960464,0.0896953552553355,female
"[20,80]",12,524462,0.173593818589217,0.150000005960464,0.0898821828531161,female
"[20,80]",1,914560,0.191218730678103,0.189999997615814,0.104640408853778,both
"[20,80]",2,866285,0.189544667360902,0.189999997615814,0.104282171449886,both
"[20,80]",3,903433,0.189655118031889,0.189999997615814,0.104384678526047,both
"[20,80]",4,833564,0.191117445187563,0.189999997615814,0.105057020961386,both
"[20,80]",5,932262,0.191019436953802,0.189999997615814,0.104703905631698,both
"[20,80]",6,953767,0.19098365995626,0.189999997615814,0.103572772081263,both
"[20,80]",7,944835,0.185147176462298,0.189999997615814,0.0945380310749021,both
"[20,80]",8,908631,0.192389806572047,0.200000002980232,0.10381295156208,both
"[20,80]",9,805609,0.191326725536899,0.189999997615814,0.104622702853586,both
"[20,80]",10,854515,0.191886335761111,0.189999997615814,0.104289370011644,both
"[20,80]",11,903750,0.19212283524262,0.200000002980232,0.104627345326736,both
"[20,80]",12,906715,0.193161414957215,0.200000002980232,0.104944587257555,both
