age_group,month,n,mean,median,std,type
"[20,80]",1,343916,0.502705131729395,0.497534364461899,0.282613255776902,male
"[20,80]",2,319529,0.498850621121025,0.489804536104202,0.28252221321062,male
"[20,80]",3,334199,0.497804258799042,0.48905274271965,0.283350264024606,male
"[20,80]",4,305559,0.501552588765876,0.491102486848831,0.284492138957499,male
"[20,80]",5,333522,0.500672481796311,0.491011559963226,0.28289554868028,male
"[20,80]",6,344115,0.497892744670132,0.488931745290756,0.281517814825661,male
"[20,80]",7,349810,0.498622759530084,0.48905947804451,0.280793246110497,male
"[20,80]",8,331191,0.500344827681449,0.491102486848831,0.280974038274866,male
"[20,80]",9,291430,0.499389419265663,0.490265727043152,0.282345033343114,male
"[20,80]",10,310987,0.500416672803357,0.490265727043152,0.282437683185616,male
"[20,80]",11,332869,0.503274714644307,0.495327293872833,0.282835864013755,male
"[20,80]",12,341173,0.504777279250996,0.499564349651337,0.283457914279297,male
"[20,80]",1,461116,0.499630090653217,0.505113899707794,0.282457330158078,female
"[20,80]",2,441222,0.495764246453806,0.500028789043427,0.282443399721071,female
"[20,80]",3,458519,0.497280532901785,0.503125131130219,0.283237238143623,female
"[20,80]",4,425152,0.501366519017832,0.506053984165192,0.283646862665467,female
"[20,80]",5,482944,0.504493286803093,0.514062702655792,0.282384691338995,female
"[20,80]",6,498118,0.503221283693412,0.50985461473465,0.280821301866169,female
"[20,80]",7,503625,0.504239933547913,0.514062702655792,0.280027670818027,female
"[20,80]",8,473668,0.506602698569091,0.516983270645142,0.279868738427161,female
"[20,80]",9,419141,0.503986895838201,0.512368142604828,0.280892731991901,female
"[20,80]",10,446133,0.501229210906356,0.506053984165192,0.28183250703956,female
"[20,80]",11,468526,0.501205789653373,0.505720674991608,0.28238377154104,female
"[20,80]",12,462445,0.50239080891322,0.509690165519714,0.282766574661948,female
"[20,80]",1,804981,0.500977149885111,0.501750588417053,0.282509993311275,both
"[20,80]",2,760752,0.497061174410885,0.494461506605148,0.282480715329227,both
"[20,80]",3,792761,0.497473771431925,0.494691997766495,0.283299674192981,both
"[20,80]",4,730692,0.501458393097049,0.502793610095978,0.283993163045549,both
"[20,80]",5,816381,0.502984797887995,0.503864288330078,0.282569879429697,both
"[20,80]",6,842138,0.501099293716767,0.501750588417053,0.281086040442982,both
"[20,80]",7,853389,0.501962787557962,0.503203094005585,0.280339648031401,both
"[20,80]",8,804837,0.504041123487594,0.504873096942902,0.280332804744729,both
"[20,80]",9,710560,0.502107623440812,0.503737270832062,0.28149356453786,both
"[20,80]",10,757116,0.500892874578558,0.501750588417053,0.28207983793601,both
"[20,80]",11,801392,0.502068210995279,0.50302928686142,0.282572184318249,both
"[20,80]",12,803654,0.503384391751944,0.503864288330078,0.283075271116807,both
