age_group,month,n,mean,median,std,type
"[20,80]",1,268058,2.83451487832964,2.70000004768372,1.10131566404476,male
"[20,80]",2,254420,2.78578928293283,2.59999990463257,1.11487954329344,male
"[20,80]",3,265861,2.78496838350653,2.59999990463257,1.11640131296582,male
"[20,80]",4,243536,2.79693195026347,2.59999990463257,1.11985534068958,male
"[20,80]",5,269066,2.79276560166099,2.59999990463257,1.11673158867684,male
"[20,80]",6,278606,2.76256627420415,2.59999990463257,1.09513796785259,male
"[20,80]",7,284395,2.76650492897931,2.59999990463257,1.09533628092228,male
"[20,80]",8,268500,2.77469653418299,2.59999990463257,1.09562557238876,male
"[20,80]",9,234398,2.77313210614018,2.59999990463257,1.09688560332615,male
"[20,80]",10,251213,2.7934153467112,2.59999990463257,1.11759040395478,male
"[20,80]",11,261885,2.8293100760201,2.59999990463257,1.10022309073926,male
"[20,80]",12,266881,2.84180896828775,2.70000004768372,1.10524102543167,male
"[20,80]",1,366354,2.48685825512479,2.29999995231628,1.00967259165596,female
"[20,80]",2,350347,2.47496915690556,2.29999995231628,1.00837712614367,female
"[20,80]",3,363643,2.47525394194432,2.29999995231628,1.00815899514047,female
"[20,80]",4,341616,2.50342539295259,2.29999995231628,1.03120509964493,female
"[20,80]",5,392362,2.51060895041874,2.29999995231628,1.03055446939015,female
"[20,80]",6,405556,2.48865798809753,2.29999995231628,1.00828539355417,female
"[20,80]",7,411704,2.49223883937751,2.29999995231628,1.00531853218552,female
"[20,80]",8,387302,2.4988108483466,2.29999995231628,1.00856415244448,female
"[20,80]",9,340611,2.49058973205472,2.29999995231628,1.00871569555806,female
"[20,80]",10,360273,2.48522581274518,2.29999995231628,1.00991960008615,female
"[20,80]",11,378456,2.4986397599179,2.29999995231628,1.02745864827221,female
"[20,80]",12,371394,2.50558274766897,2.29999995231628,1.02956634279133,female
"[20,80]",1,629407,2.63691907996891,2.5,1.04674879470941,both
"[20,80]",2,594374,2.62408876806274,2.40000009536743,1.04443906110001,both
"[20,80]",3,633538,2.58662651244025,2.40000009536743,1.06174665340943,both
"[20,80]",4,590581,2.61425392670117,2.40000009536743,1.08421015214607,both
"[20,80]",5,652386,2.65338380682198,2.5,1.06555159986815,both
"[20,80]",6,674801,2.62835647414844,2.40000009536743,1.04342960179877,both
"[20,80]",7,686745,2.63145736345352,2.40000009536743,1.04170999991629,both
"[20,80]",8,647030,2.6376998397898,2.5,1.0431385024922,both
"[20,80]",9,567237,2.63327428836093,2.5,1.04475291459543,both
"[20,80]",10,600950,2.63102209425794,2.40000009536743,1.04535159951706,both
"[20,80]",11,637229,2.64704426217091,2.5,1.06480055476166,both
"[20,80]",12,635203,2.65798423211423,2.5,1.06854403582853,both
