age_group,month,n,mean,median,std,type
"[20,80]",1,285986,2.79140450707745,2.59999990463257,1.11879469248193,male
"[20,80]",2,263949,2.7611911745849,2.59999990463257,1.09719284716375,male
"[20,80]",3,275228,2.75965995242407,2.59999990463257,1.09768505761751,male
"[20,80]",4,252041,2.79051134306247,2.59999990463257,1.120367708376,male
"[20,80]",5,276649,2.78744549721015,2.59999990463257,1.11734302074321,male
"[20,80]",6,285234,2.75793485133162,2.59999990463257,1.09571157407749,male
"[20,80]",7,290518,2.76170632892571,2.59999990463257,1.09561900287947,male
"[20,80]",8,274825,2.76931905547622,2.59999990463257,1.09626390348945,male
"[20,80]",9,240587,2.76888002843931,2.59999990463257,1.09722839820145,male
"[20,80]",10,256855,2.7708645714183,2.59999990463257,1.09971043134971,male
"[20,80]",11,276438,2.78676813381301,2.59999990463257,1.11761760955141,male
"[20,80]",12,283093,2.7986346161446,2.59999990463257,1.12291603810307,male
"[20,80]",1,380672,2.48410699809209,2.29999995231628,1.00981313827587,female
"[20,80]",2,364371,2.47200205060743,2.29999995231628,1.00853383236169,female
"[20,80]",3,377230,2.47270521745036,2.29999995231628,1.00859561274956,female
"[20,80]",4,351650,2.50084231198504,2.29999995231628,1.03128310356484,female
"[20,80]",5,401234,2.50878464681332,2.29999995231628,1.03067282065535,female
"[20,80]",6,413391,2.48712003647021,2.29999995231628,1.00832520297276,female
"[20,80]",7,418750,2.49061616505438,2.29999995231628,1.00566455851852,female
"[20,80]",8,393929,2.49748170144232,2.29999995231628,1.00868861769959,female
"[20,80]",9,347535,2.48986015567034,2.29999995231628,1.0091380442677,female
"[20,80]",10,368921,2.48403107770338,2.29999995231628,1.01031848186446,female
"[20,80]",11,389206,2.4968753537954,2.29999995231628,1.02781929041148,female
"[20,80]",12,383863,2.5041409538068,2.29999995231628,1.0301353155178,female
"[20,80]",1,670808,2.59543350298205,2.40000009536743,1.06366487394359,both
"[20,80]",2,634040,2.58213924567099,2.40000009536743,1.06121993810324,both
"[20,80]",3,658718,2.58217046951523,2.40000009536743,1.06210369820048,both
"[20,80]",4,609475,2.61000761019997,2.40000009536743,1.08451335988667,both
"[20,80]",5,684436,2.61230779524063,2.40000009536743,1.0822539185662,both
"[20,80]",6,705341,2.58814867851564,2.40000009536743,1.05996003020662,both
"[20,80]",7,716012,2.59177496609399,2.40000009536743,1.05830918913802,both
"[20,80]",8,659769,2.63512601727081,2.5,1.04336549963584,both
"[20,80]",9,593803,2.59395901914193,2.40000009536743,1.06148962197983,both
"[20,80]",10,631736,2.59022546996425,2.40000009536743,1.06283424514881,both
"[20,80]",11,672047,2.60602758152296,2.40000009536743,1.08149430830373,both
"[20,80]",12,673109,2.61702655607389,2.40000009536743,1.08536658303184,both
