age_group,month,n,mean,median,std,type
"[20,80]",1,1761,0.508093743289417,0.5127272605896,0.246990623875628,male
"[20,80]",2,1561,0.503278266745909,0.504201710224152,0.248212889379789,male
"[20,80]",3,1580,0.506449377277418,0.504111588001251,0.243875068151281,male
"[20,80]",4,1422,0.500880621321258,0.501859664916992,0.251857985358442,male
"[20,80]",5,1637,0.50854253184526,0.501818180084229,0.251666762694414,male
"[20,80]",6,1624,0.497673205205519,0.5,0.248041922790869,male
"[20,80]",7,1755,0.490529016475392,0.479553908109665,0.245678174379485,male
"[20,80]",8,1637,0.489559899667413,0.489932894706726,0.242718999464975,male
"[20,80]",9,1512,0.499653749443867,0.489236116409302,0.247010413035328,male
"[20,80]",10,1579,0.498559437857314,0.5,0.242788818086397,male
"[20,80]",11,1825,0.507190880812194,0.501597464084625,0.243671799840952,male
"[20,80]",12,1832,0.516377019525127,0.524193525314331,0.242393611985399,male
"[20,80]",1,128586,0.69316628108402,0.755102038383484,0.256959840933491,female
"[20,80]",2,118060,0.692735493485804,0.753846168518066,0.257269831529066,female
"[20,80]",3,122833,0.691253786443748,0.751496374607086,0.256905182304612,female
"[20,80]",4,110339,0.689222916730593,0.748226940631867,0.257145579121248,female
"[20,80]",5,118870,0.684417238195585,0.740099012851715,0.256898343882118,female
"[20,80]",6,123418,0.684035958921541,0.738679766654968,0.256612352554945,female
"[20,80]",7,126802,0.682512315418594,0.73567920923233,0.257542221095725,female
"[20,80]",8,121131,0.681264797168161,0.735538959503174,0.257218913484499,female
"[20,80]",9,105699,0.676860168939962,0.728466689586639,0.258003164160465,female
"[20,80]",10,113406,0.674814110566722,0.725902169942856,0.259227821705833,female
"[20,80]",11,125678,0.679033451165979,0.733333349227905,0.258952267767193,female
"[20,80]",12,133339,0.686620877465813,0.745162069797516,0.25848418088659,female
"[20,80]",1,130356,0.690669686172258,0.751628428697586,0.25759223535496,both
"[20,80]",2,119636,0.690289087873304,0.750299751758575,0.257905157926816,both
"[20,80]",3,124447,0.689011499136862,0.748447179794312,0.25745845140843,both
"[20,80]",4,111702,0.686705911787274,0.744583308696747,0.25775628701741,both
"[20,80]",5,120503,0.682049208717256,0.736920475959778,0.257476156755156,both
"[20,80]",6,125001,0.681539612137301,0.734786212444305,0.257209360970686,both
"[20,80]",7,128573,0.679900716434422,0.732105374336243,0.258223363023919,both
"[20,80]",8,122751,0.678693493788892,0.732014417648315,0.257791750143992,both
"[20,80]",9,107173,0.674241594488945,0.724895656108856,0.258548609891077,both
"[20,80]",10,114974,0.672294334334825,0.721986174583435,0.259720135104822,both
"[20,80]",11,127508,0.676585098729297,0.729559719562531,0.259433760399813,both
"[20,80]",12,135181,0.684384977332364,0.741767406463623,0.258880850095037,both
