age_group,month,n,mean,median,std,type
"[20,80]",1,236,132.145701230583,128.247749328613,30.3924611745586,male
"[20,80]",2,192,135.777296066284,130,30.871544881533,male
"[20,80]",3,209,132.407561854312,129,30.5370911286918,male
"[20,80]",4,187,133.474981501778,131,32.1761496655024,male
"[20,80]",5,222,133.922742998278,130.849136352539,33.0700618064953,male
"[20,80]",6,226,131.993944590071,129.247749328613,33.0765790051865,male
"[20,80]",7,235,130.842932615889,128,32.0790515864939,male
"[20,80]",8,240,132.25254983902,129,28.6865465282867,male
"[20,80]",9,201,130.677548688443,125.191329956055,29.9501234140434,male
"[20,80]",10,210,133.156724221366,131.716270446777,29.6274923415669,male
"[20,80]",11,258,131.095424119816,128,29.5668100056544,male
"[20,80]",12,241,133.4004378576,132.166793823242,30.4413874704554,male
"[20,80]",1,3280,291.732569364222,236,161.897441109684,female
"[20,80]",2,2873,291.086208310312,239,159.046433986518,female
"[20,80]",3,3078,302.366011961007,247,163.78846679217,female
"[20,80]",4,2901,294.914114317291,243,161.005334622046,female
"[20,80]",5,3255,297.021759663712,247,160.032287009006,female
"[20,80]",6,3478,298.163475843872,245.41512298584,160.880212845624,female
"[20,80]",7,3609,303.782094926377,249,167.603083215567,female
"[20,80]",8,3555,296.25489621491,243,160.622084330282,female
"[20,80]",9,3233,295.438842011206,248,159.507431054213,female
"[20,80]",10,3326,291.48648453447,242,155.957421431714,female
"[20,80]",11,3628,290.322584049179,239.200813293457,156.962380700189,female
"[20,80]",12,3541,285.66703737351,235.697463989258,152.758388989836,female
"[20,80]",1,3526,276.842955560625,222,155.953838636803,both
"[20,80]",2,3061,278.086129119684,225,153.788907561289,both
"[20,80]",3,3288,288.397164748533,232.546646118164,159.540173359602,both
"[20,80]",4,3088,281.746075313944,231.939651489258,155.411939721371,both
"[20,80]",5,3478,283.017767449369,231.719375610352,154.819144559513,both
"[20,80]",6,3709,284.853910847795,232.199996948242,156.076191989707,both
"[20,80]",7,3846,289.824170394794,236,162.820736826208,both
"[20,80]",8,3806,281.593307649469,230.557632446289,155.399477746623,both
"[20,80]",9,3446,281.879483914278,234,154.981916945675,both
"[20,80]",10,3537,278.883335362662,231,151.683633790985,both
"[20,80]",11,3892,276.221393816518,226.069999694824,151.93843005269,both
"[20,80]",12,3776,273.625680739597,224,148.464755184813,both
