age_group,month,n,mean,median,std,type
"[20,80]",1,10917,0.507453603181519,0.514950156211853,0.243611256111957,male
"[20,80]",2,9890,0.518865045217309,0.528127789497376,0.241223183773008,male
"[20,80]",3,10076,0.506863598840081,0.519886165857315,0.241737323069732,male
"[20,80]",4,8675,0.509434173701476,0.51993864774704,0.243029017251684,male
"[20,80]",5,9658,0.504607912812588,0.507530093193054,0.246418266052162,male
"[20,80]",6,9725,0.508490099983534,0.515315294265747,0.24424246950464,male
"[20,80]",7,10071,0.496739698067735,0.495185703039169,0.240726302082434,male
"[20,80]",8,9554,0.493067057444937,0.493222266435623,0.244031264215141,male
"[20,80]",9,8315,0.48400415245643,0.479357808828354,0.247405741371644,male
"[20,80]",10,9100,0.491130640831786,0.486249625682831,0.244253538519363,male
"[20,80]",11,10270,0.500054825479645,0.502706170082092,0.244250321204713,male
"[20,80]",12,10889,0.502710542341289,0.507415235042572,0.242271129801629,male
"[20,80]",1,67307,0.493304547002976,0.491732001304627,0.233870560597101,female
"[20,80]",2,62434,0.496112782498946,0.493774086236954,0.234407166574712,female
"[20,80]",3,65155,0.495796076117043,0.496157616376877,0.234874921296487,female
"[20,80]",4,58691,0.492496980127941,0.490991294384003,0.235700318342351,female
"[20,80]",5,64977,0.49215607812765,0.491551041603088,0.235861015138819,female
"[20,80]",6,67721,0.497844739887179,0.498430818319321,0.236991096621936,female
"[20,80]",7,69225,0.49887421386235,0.49892657995224,0.236211157420794,female
"[20,80]",8,66000,0.498308186520117,0.499313086271286,0.234953127900047,female
"[20,80]",9,58761,0.493128747723148,0.491937309503555,0.235873691498905,female
"[20,80]",10,63529,0.492037179949112,0.490991294384003,0.237161796082638,female
"[20,80]",11,68575,0.49460050300345,0.492114037275314,0.235822943491042,female
"[20,80]",12,69544,0.494453481846668,0.491937309503555,0.234134913224558,female
"[20,80]",1,78219,0.495320869131806,0.4936743080616,0.235257349489058,both
"[20,80]",2,72311,0.499291982011143,0.499364018440247,0.235413276589695,both
"[20,80]",3,75221,0.497315398842892,0.499388784170151,0.23578250980164,both
"[20,80]",4,67366,0.494671674552607,0.49326953291893,0.236700898958749,both
"[20,80]",5,74644,0.493689851896756,0.493009746074677,0.237259689528988,both
"[20,80]",6,77445,0.499226833690136,0.500742852687836,0.237906652143054,both
"[20,80]",7,79296,0.498616233926012,0.498430818319321,0.236778806236769,both
"[20,80]",8,75557,0.497652135195573,0.498952060937882,0.236104979771654,both
"[20,80]",9,67074,0.492042723131942,0.490991294384003,0.237293387802195,both
"[20,80]",10,72630,0.491935646736157,0.490129917860031,0.238047271589864,both
"[20,80]",11,78838,0.495258296041491,0.493088930845261,0.236899027158984,both
"[20,80]",12,80437,0.495556139482352,0.493465214967728,0.235252439082485,both
