age_group,month,n,mean,median,std,type
"[20,80]",1,12349,7.21715847535002,5.5,5.39806921311872,male
"[20,80]",2,11134,7.37801329134953,5.59999990463257,5.40125385679713,male
"[20,80]",3,11349,7.18789673017525,5.5,5.2643702241001,male
"[20,80]",4,9813,7.2676928516291,5.5,5.37827046137351,male
"[20,80]",5,10889,7.3407806041254,5.5,5.66287258695091,male
"[20,80]",6,10949,7.39744908557721,5.5,5.67777952964503,male
"[20,80]",7,11353,7.13379107055649,5.30000019073486,5.44419366071397,male
"[20,80]",8,10786,7.08022808124554,5.30000019073486,5.45131134780564,male
"[20,80]",9,9372,7.01995092080894,5.19999980926514,5.45494728365337,male
"[20,80]",10,10273,7.03911223517622,5.30000019073486,5.38199142439404,male
"[20,80]",11,11630,7.15753912548515,5.32500004768372,5.48030405254975,male
"[20,80]",12,12286,7.17020022748795,5.40000009536743,5.36977897681826,male
"[20,80]",1,75921,14.1291371313916,7.42999982833862,15.6527921795022,female
"[20,80]",2,70470,14.3200075227994,7.5,15.8379270513592,female
"[20,80]",3,73565,14.2121171782377,7.5,15.7687947923852,female
"[20,80]",4,66213,14.3127977934616,7.5,15.9361710004433,female
"[20,80]",5,73273,14.5907866487389,7.5,16.3546783738501,female
"[20,80]",6,76191,15.0929107095652,7.59999990463257,16.8869025956475,female
"[20,80]",7,78189,15.1179399946282,7.59999990463257,16.9623954489152,female
"[20,80]",8,74292,15.0088113141177,7.59999990463257,16.7937877969904,female
"[20,80]",9,66105,14.6965675816739,7.5,16.4669782259594,female
"[20,80]",10,71668,14.7131690559539,7.5,16.5960260149395,female
"[20,80]",11,77185,14.6173593349837,7.5,16.4247000810003,female
"[20,80]",12,78226,14.0696557422022,7.40000009536743,15.651056801194,female
"[20,80]",1,88338,12.9320344603106,7.19999980926514,14.1936315899506,both
"[20,80]",2,81457,13.1611518965057,7.30000019073486,14.3806035528639,both
"[20,80]",3,84678,13.0848477778193,7.30000019073486,14.3503068576927,both
"[20,80]",4,75848,13.2108898074953,7.25,14.5485778282548,both
"[20,80]",5,83975,13.459396489624,7.26999998092651,14.9623094191957,both
"[20,80]",6,87307,13.8799397522539,7.40000009536743,15.4818088871261,both
"[20,80]",7,89347,13.9094247180419,7.30999994277954,15.5654711157826,both
"[20,80]",8,85145,13.7747160747891,7.30000019073486,15.4001752046904,both
"[20,80]",9,75471,13.5476875885498,7.30000019073486,15.1548202806908,both
"[20,80]",10,81777,13.5571724313973,7.19999980926514,15.2296899561769,both
"[20,80]",11,88895,13.3986188233117,7.19999980926514,14.9738143794538,both
"[20,80]",12,90588,12.8992453757414,7.19999980926514,14.1881710496049,both
