age_group,month,n,mean,median,std,type
"[20,80]",1,7968,7.47850276119109,5.09999990463257,7.12511313726778,male
"[20,80]",2,7256,7.79975881592639,5.30000019073486,7.37597318719417,male
"[20,80]",3,7419,7.57092600236573,5.19999980926514,7.21091450325275,male
"[20,80]",4,6181,7.65848244494016,5.30000019073486,7.2025854384791,male
"[20,80]",5,6927,7.7561772796556,5.09999990463257,7.68255431843126,male
"[20,80]",6,6980,7.88255730592419,5.19999980926514,7.82506446249223,male
"[20,80]",7,7251,7.3766818397901,5,7.17532867096434,male
"[20,80]",8,6802,7.5086915666778,5,7.46768375929941,male
"[20,80]",9,5938,7.36591781126244,4.80000019073486,7.61231473595569,male
"[20,80]",10,6627,7.39696242924602,5,7.200939517694,male
"[20,80]",11,7457,7.54019311008496,5.01999998092651,7.46353881032549,male
"[20,80]",12,7873,7.5534967593191,5.09999990463257,7.33114008895539,male
"[20,80]",1,52107,16.302721516672,7.3600001335144,21.2146844328211,female
"[20,80]",2,48694,16.639575314063,7.40000009536743,21.5615324195412,female
"[20,80]",3,50399,16.5314545963569,7.40000009536743,21.6389470657467,female
"[20,80]",4,45213,16.5982962912724,7.40000009536743,21.7989982886307,female
"[20,80]",5,50189,16.6717729022873,7.30000019073486,21.7501384209883,female
"[20,80]",6,52304,17.1861087105423,7.5,22.3838158107968,female
"[20,80]",7,53019,17.4316135782516,7.5,22.6733986224047,female
"[20,80]",8,50777,17.2909898228692,7.48999977111816,22.5148200945728,female
"[20,80]",9,44960,16.8180340301842,7.40000009536743,21.9350749718338,female
"[20,80]",10,48400,16.843777683961,7.40000009536743,22.0859101855774,female
"[20,80]",11,52191,16.6916684887061,7.40000009536743,21.9575795072768,female
"[20,80]",12,53113,16.2761570638303,7.30000019073486,21.409216066828,female
"[20,80]",1,60055,15.0450989939511,7.09999990463257,19.8581023161863,both
"[20,80]",2,55889,15.4514292669483,7.19999980926514,20.2911551204496,both
"[20,80]",3,57802,15.3185023048428,7.09999990463257,20.3505605969517,both
"[20,80]",4,51335,15.4651239936675,7.09999990463257,20.5600781946544,both
"[20,80]",5,57115,15.5323739855905,7.09999990463257,20.5631784408119,both
"[20,80]",6,59285,16.0285252595557,7.30000019073486,21.1935187581466,both
"[20,80]",7,60287,16.1435097171218,7.19999980926514,21.4234347032844,both
"[20,80]",8,57573,16.074949720898,7.19999980926514,21.3227696300963,both
"[20,80]",9,50876,15.6504819555326,7.09999990463257,20.7747045762257,both
"[20,80]",10,55020,15.6304729181435,7.09999990463257,20.8407630861136,both
"[20,80]",11,59607,15.4863945537571,7.09999990463257,20.6951387306004,both
"[20,80]",12,60964,15.0888739277466,7.09999990463257,20.127204959591,both
