age_group,month,n,mean,median,std,type
"[20,80]",1,1163561,115.70576428717,101,42.4538586094786,male
"[20,80]",2,1084547,115.707579478106,101,42.6930292628919,male
"[20,80]",3,1140088,115.391053497706,101,42.5858322477809,male
"[20,80]",4,1058262,114.880885357233,100,42.2171599782741,male
"[20,80]",5,1148582,113.663578917212,100,41.1936795291114,male
"[20,80]",6,1158643,112.60858245407,99,40.2419491007996,male
"[20,80]",7,1165839,112.189584153593,99,40.0482959770223,male
"[20,80]",8,1100700,112.209748160105,99,40.0910709433978,male
"[20,80]",9,995939,112.805976872264,99,40.4610173705899,male
"[20,80]",10,1075203,112.951756738566,99,40.4514632340419,male
"[20,80]",11,1138092,113.510297058559,100,40.6322882951501,male
"[20,80]",12,1164396,114.984918876637,101,41.7574178808264,male
"[20,80]",1,1518185,106.530124721327,95,36.2879135430293,female
"[20,80]",2,1440457,106.371661146349,95,36.4186408736304,female
"[20,80]",3,1511260,106.127465955316,94,36.2420859348983,female
"[20,80]",4,1427852,105.589534419676,94,35.7682729157535,female
"[20,80]",5,1595963,104.608409468051,94,34.5633800146264,female
"[20,80]",6,1616109,104.127442084611,94,33.9559951171173,female
"[20,80]",7,1609972,103.829302000444,93,33.7679627983521,female
"[20,80]",8,1516551,104.049209489189,93,34.2157310805362,female
"[20,80]",9,1368998,104.598357704101,94,34.7282602730151,female
"[20,80]",10,1478064,104.644919435068,94,34.6274537369386,female
"[20,80]",11,1543916,104.934268703813,94,34.8157285491521,female
"[20,80]",12,1527139,106.08861799715,95,35.945771600011,female
"[20,80]",1,2681066,110.533230774534,97,39.3292477653118,both
"[20,80]",2,2524050,110.382193498556,97,39.4356377814678,both
"[20,80]",3,2652609,110.0851699967,97,39.3233000913171,both
"[20,80]",4,2485559,109.564094877706,97,38.8931149268977,both
"[20,80]",5,2746046,108.373077435625,96,37.7065191298775,both
"[20,80]",6,2776053,107.62322185503,96,36.8593012837799,both
"[20,80]",7,2775656,107.316772251407,96,36.6715938495157,both
"[20,80]",8,2617377,107.481139705892,96,36.9937560999975,both
"[20,80]",9,2366123,108.02378980316,96,37.4245874549823,both
"[20,80]",10,2553140,108.122225416716,96,37.3328614151881,both
"[20,80]",11,2683112,108.53009046963,96,37.5558608679078,both
"[20,80]",12,2690798,109.951210458704,97,38.7882744760064,both
