age_group,month,n,mean,median,std,type
"[20,80]",1,238458,94.2639991109738,92,13.0643210807546,male
"[20,80]",2,218435,94.0630288187674,92,13.0214421989733,male
"[20,80]",3,228507,93.8742016658149,92,13.0962376375412,male
"[20,80]",4,212071,93.6422509450291,91.4000015258789,13.2746584267872,male
"[20,80]",5,232905,93.2785182799985,91,13.0910280886288,male
"[20,80]",6,238985,92.9909236985934,91,13.1223134732969,male
"[20,80]",7,244404,92.7731272808157,91,13.1489957288596,male
"[20,80]",8,232617,92.662232338995,91,13.1724952546397,male
"[20,80]",9,204164,92.90227072382,91,13.4596627978179,male
"[20,80]",10,218743,92.9002276646723,91,13.1426813064077,male
"[20,80]",11,236224,93.0569988655159,91,12.7494945642494,male
"[20,80]",12,240959,93.8290057641875,92,12.8434068500535,male
"[20,80]",1,312413,91.1874003322867,89,11.6676061727447,female
"[20,80]",2,293259,91.0627643138681,89,11.6788765389217,female
"[20,80]",3,307677,90.8712945716173,89,11.7349475241917,female
"[20,80]",4,291497,90.7158265781164,89,11.6375639197595,female
"[20,80]",5,333127,90.3677426330332,89,11.5125636608976,female
"[20,80]",6,342643,90.2464346272899,89,11.4594103185345,female
"[20,80]",7,349633,90.0357869536265,88,11.4671848455706,female
"[20,80]",8,330799,89.9397863960193,88,11.4922602120755,female
"[20,80]",9,289054,90.0640748789483,88,11.6730803928831,female
"[20,80]",10,311222,89.9917936388259,88,11.5772427880863,female
"[20,80]",11,328367,90.2403831690462,89,11.3311047064775,female
"[20,80]",12,321375,90.9123220537468,89,11.5908974649844,female
"[20,80]",1,550210,92.5415216009099,91,12.3170274118866,both
"[20,80]",2,512208,92.3320016476966,90,12.3640956606331,both
"[20,80]",3,536622,92.1298083193933,90,12.4089999729657,both
"[20,80]",4,503480,91.9256568288921,90,12.3565606037226,both
"[20,80]",5,566633,91.5492715745343,90,12.2664667646753,both
"[20,80]",6,581602,91.3591227335993,90,12.1815307078018,both
"[20,80]",7,593995,91.1439917842911,89,12.1873113240965,both
"[20,80]",8,563340,91.0433608478304,89,12.2111487017313,both
"[20,80]",9,493322,91.2389524491396,89,12.4917640162518,both
"[20,80]",10,530427,91.1685728665904,89,12.3057782616965,both
"[20,80]",11,564582,91.408141067302,90,11.978232603913,both
"[20,80]",12,561644,92.1854933017063,90,12.1709801025742,both
