age_group,month,n,mean,median,std,type
"[20,80]",1,189974,23.4140745576594,23,4.36394942868373,male
"[20,80]",2,180710,22.9771440430304,22,4.49964104030417,male
"[20,80]",3,187878,22.8582904863774,22,4.49007467857597,male
"[20,80]",4,173940,22.7649390594568,22,4.46598589188071,male
"[20,80]",5,188463,22.518669447114,22,4.29434719139686,male
"[20,80]",6,193074,22.424055025475,22,4.28597726664191,male
"[20,80]",7,196916,22.3752752442898,22,4.27715297742425,male
"[20,80]",8,189533,22.535432879696,22,4.45892079070472,male
"[20,80]",9,164696,22.6229046241825,22,4.47398565044841,male
"[20,80]",10,178615,22.7677361923733,22,4.48693767579651,male
"[20,80]",11,196260,22.9309074697978,22,4.49415652947349,male
"[20,80]",12,192578,23.4012587107284,23,4.35242010047035,male
"[20,80]",1,246636,19.574111240884,19,3.59063664976825,female
"[20,80]",2,230932,19.4580482566297,19,3.56505475260102,female
"[20,80]",3,241585,19.3877372353495,19,3.5517508511103,female
"[20,80]",4,225418,19.1869793006516,19,3.38308285687809,female
"[20,80]",5,257259,19.1430344517342,19,3.3709747635805,female
"[20,80]",6,264449,19.1422894394803,19,3.38146016174889,female
"[20,80]",7,268901,19.116786847287,19,3.37783515561942,female
"[20,80]",8,254558,19.1109652809347,19,3.3840422889086,female
"[20,80]",9,224955,19.2852935031018,19,3.55941688809768,female
"[20,80]",10,244056,19.3946454911651,19,3.55836236033846,female
"[20,80]",11,260296,19.5228543658927,19,3.58142730369825,female
"[20,80]",12,253983,19.5924928046681,19,3.58666450180004,female
"[20,80]",1,435801,21.196887340825,21,4.11216032325012,both
"[20,80]",2,402891,21.0719060490737,20,4.09306261047321,both
"[20,80]",3,420216,20.9836103337427,20,4.07700585049466,both
"[20,80]",4,388630,20.7513701978721,20,3.88959210956719,both
"[20,80]",5,437077,20.6641898338833,20,3.87809561149051,both
"[20,80]",6,448411,20.6346702020316,20,3.8659249452428,both
"[20,80]",7,456814,20.6031400088902,20,3.86208718833523,both
"[20,80]",8,433041,20.6046300465278,20,3.87242273692018,both
"[20,80]",9,381334,20.8060485033362,20,4.05300489883935,both
"[20,80]",10,414082,20.9197173506296,20,4.06369685785101,both
"[20,80]",11,447628,21.0704354956596,20,4.07990728332283,both
"[20,80]",12,446458,21.1978177118376,21,4.10847784524931,both
