age_group,month,n,mean,median,std,type
"[20,80]",1,332580,23.7085582416152,23,5.92409761426722,male
"[20,80]",2,308693,23.4754662399039,22,5.75984274172345,male
"[20,80]",3,327379,23.1478662345949,22,5.84234039058615,male
"[20,80]",4,297716,23.0045069797909,22,5.80103559257267,male
"[20,80]",5,326404,22.8455757282772,22,5.77256401112936,male
"[20,80]",6,335420,22.7556302545948,22,5.76368288677672,male
"[20,80]",7,338874,22.7206253651991,22,5.762730821867,male
"[20,80]",8,319831,22.8095681782001,22,5.91244171322436,male
"[20,80]",9,280157,22.9386658194893,22,5.95984102395226,male
"[20,80]",10,300647,23.1392530110221,22,5.97736966489852,male
"[20,80]",11,319236,23.5292996404721,22,5.87343238131867,male
"[20,80]",12,330245,23.7269627094637,23,5.90335987271933,male
"[20,80]",1,411000,19.9377289538349,19,4.55419114287053,female
"[20,80]",2,394455,19.8008421746746,19,4.52582690894473,female
"[20,80]",3,409203,19.6485670926036,19,4.39492887829377,female
"[20,80]",4,382325,19.5722348786722,19,4.36666901581613,female
"[20,80]",5,434579,19.5184868574282,19,4.35501656565521,female
"[20,80]",6,460020,19.3242900307762,19,4.45982657692269,female
"[20,80]",7,449012,19.4985973649402,19,4.35535458169894,female
"[20,80]",8,421281,19.5730092266062,19,4.48819408793017,female
"[20,80]",9,369360,19.6255181936157,19,4.51697796665826,female
"[20,80]",10,396205,19.7697550509919,19,4.53269357259735,female
"[20,80]",11,420216,19.9206719878291,19,4.54920609358243,female
"[20,80]",12,416712,20.0850059513708,19,4.67343867460253,female
"[20,80]",1,756283,21.4944553824943,21,5.49528699384802,both
"[20,80]",2,713676,21.2520060924376,20,5.34261254903329,both
"[20,80]",3,743001,21.148348521731,20,5.31840961211401,both
"[20,80]",4,686163,21.0245747730512,20,5.27327176236666,both
"[20,80]",5,765207,20.8326596594448,20,5.13204530624202,both
"[20,80]",6,788047,20.7858795223501,20,5.11175330164099,both
"[20,80]",7,792509,20.7727572810096,20,5.11611308479595,both
"[20,80]",8,745140,20.8536065705628,20,5.25039941301924,both
"[20,80]",9,655353,21.0058496718132,20,5.39692156449824,both
"[20,80]",10,703000,21.1780233285573,20,5.42248787766718,both
"[20,80]",11,752690,21.368657216196,20,5.44334495185857,both
"[20,80]",12,757456,21.5404782587918,21,5.48359859562161,both
