age_group,month,n,mean,median,std,type
"[20,80]",1,571488,0.534265994665418,0.547158718109131,0.266276908699362,male
"[20,80]",2,521915,0.526399657547206,0.536082804203033,0.266340267663808,male
"[20,80]",3,545553,0.51677987533745,0.522356569766998,0.268368200986242,male
"[20,80]",4,512873,0.506496172940961,0.50919109582901,0.269374931239867,male
"[20,80]",5,562305,0.49510514322136,0.494251817464829,0.270334545372497,male
"[20,80]",6,569017,0.486077460658115,0.479551643133164,0.271293537832375,male
"[20,80]",7,576657,0.483120249994682,0.474251717329025,0.27336225271352,male
"[20,80]",8,547636,0.484550667680501,0.474881201982498,0.274914007123092,male
"[20,80]",9,487689,0.49048868034702,0.483506351709366,0.276117567852495,male
"[20,80]",10,534393,0.499985387420429,0.498904287815094,0.274435572059889,male
"[20,80]",11,576937,0.513158252075314,0.520020008087158,0.271587455049289,male
"[20,80]",12,584380,0.528991485403712,0.540240287780762,0.2682861923279,male
"[20,80]",1,755227,0.544065710170785,0.559524714946747,0.260711135900331,female
"[20,80]",2,702881,0.535671019070625,0.547733128070831,0.260912137207907,female
"[20,80]",3,736919,0.530382795207396,0.537741720676422,0.261680348905604,female
"[20,80]",4,704628,0.526255926822244,0.534697473049164,0.262807213640598,female
"[20,80]",5,795952,0.519612011678008,0.523562788963318,0.263307598371868,female
"[20,80]",6,805136,0.514152424143934,0.519121527671814,0.264710118708919,female
"[20,80]",7,810077,0.512339268390013,0.513506472110748,0.266830622441932,female
"[20,80]",8,767463,0.513580092708369,0.514383137226105,0.26818072068263,female
"[20,80]",9,684346,0.5167742899444,0.521075367927551,0.26993908529692,female
"[20,80]",10,751949,0.523351711997908,0.532244384288788,0.268706457535729,female
"[20,80]",11,795118,0.532450659375528,0.542338669300079,0.265232701546198,female
"[20,80]",12,775994,0.543988469590824,0.557770729064941,0.262532570570404,female
"[20,80]",1,1326560,0.539926192697823,0.554494738578796,0.263108117977391,both
"[20,80]",2,1224656,0.531754162966315,0.542338669300079,0.263234158929497,both
"[20,80]",3,1282548,0.524549158291522,0.532482743263245,0.26462915006834,both
"[20,80]",4,1217427,0.517980053208561,0.523386836051941,0.265719436423847,both
"[20,80]",5,1358207,0.509506757956904,0.512224555015564,0.266459139466265,both
"[20,80]",6,1373948,0.502602845296977,0.502762615680695,0.267725130068851,both
"[20,80]",7,1386210,0.50035721723444,0.498904287815094,0.269810508355162,both
"[20,80]",8,1315159,0.501499361321467,0.500283122062683,0.271353505610259,both
"[20,80]",9,1171849,0.505929709254009,0.505975723266602,0.272756366789213,both
"[20,80]",10,1286240,0.513697575181463,0.519121527671814,0.271283295537867,both
"[20,80]",11,1371772,0.52446677276861,0.532244384288788,0.267997059799009,both
"[20,80]",12,1360362,0.537535184720796,0.550729393959045,0.265102901747561,both
