age_group,month,n,mean,median,std,type
"[20,80]",1,247588,0.538068087331911,0.548618674278259,0.247143141792173,male
"[20,80]",2,226416,0.529945683109584,0.540230751037598,0.247129287601584,male
"[20,80]",3,235297,0.518834402179951,0.523602247238159,0.248767956500409,male
"[20,80]",4,217568,0.506817089554343,0.50919109582901,0.249541594126034,male
"[20,80]",5,238999,0.492799226601754,0.492437839508057,0.251615448937314,male
"[20,80]",6,244296,0.482042789335955,0.474881201982498,0.253175283191369,male
"[20,80]",7,248440,0.477220720857336,0.46679151058197,0.255383550635906,male
"[20,80]",8,235877,0.479703153360654,0.470332801342011,0.256766109148718,male
"[20,80]",9,206178,0.487188265915657,0.480532169342041,0.258254091107101,male
"[20,80]",10,223250,0.498928292829206,0.497293293476105,0.256602293581265,male
"[20,80]",11,244548,0.512420645575253,0.515065968036652,0.253406162455997,male
"[20,80]",12,250658,0.530971874503016,0.540290236473084,0.249809225005659,male
"[20,80]",1,304201,0.537659459751535,0.548456311225891,0.246025877860764,female
"[20,80]",2,285441,0.527995769147233,0.534947156906128,0.246194827527214,female
"[20,80]",3,298422,0.520650737992022,0.523532509803772,0.246388472470757,female
"[20,80]",4,281828,0.516374323446313,0.519583404064179,0.248095364781965,female
"[20,80]",5,320856,0.507546983778217,0.509052097797394,0.249150918753996,female
"[20,80]",6,327595,0.500441827348842,0.502762615680695,0.25073316041044,female
"[20,80]",7,331661,0.498950717036528,0.497440695762634,0.252332559205614,female
"[20,80]",8,313843,0.500461765364783,0.502762615680695,0.253620298109757,female
"[20,80]",9,274167,0.503413608823705,0.504134178161621,0.255402511919815,female
"[20,80]",10,297899,0.511470208414827,0.512272894382477,0.254472067859841,female
"[20,80]",11,317918,0.52223580279106,0.528969287872315,0.251040226274352,female
"[20,80]",12,311561,0.53583174079723,0.546398460865021,0.24787904812312,female
"[20,80]",1,551667,0.537947208934148,0.548456311225891,0.246454993498011,both
"[20,80]",2,511799,0.52888951000907,0.536480367183685,0.246578008173672,both
"[20,80]",3,533592,0.519920534245804,0.523562788963318,0.247372874599954,both
"[20,80]",4,499310,0.512261865664779,0.514383137226105,0.24872208272037,both
"[20,80]",5,559723,0.501344316465257,0.502762615680695,0.250243856613911,both
"[20,80]",6,571875,0.492563752182859,0.491648703813553,0.251930954218052,both
"[20,80]",7,579893,0.489754013057831,0.486008554697037,0.253772454096491,both
"[20,80]",8,549655,0.491606854633572,0.489905774593353,0.255147211160173,both
"[20,80]",9,480276,0.496512880822331,0.493079364299774,0.256715933400047,both
"[20,80]",10,521024,0.506208749927117,0.506171464920044,0.255393731296351,both
"[20,80]",11,562334,0.518081513223218,0.522025465965271,0.252045018477618,both
"[20,80]",12,562102,0.533747821246071,0.543764650821686,0.248688085169704,both
