age_group,month,n,mean,median,std,type
"[20,80]",1,192,0.674859374024284,0.335999995470047,0.729134597156989,male
"[20,80]",2,165,0.817151515547073,0.404000014066696,1.00201627746637,male
"[20,80]",3,176,0.51510795392096,0.25,0.559277831056441,male
"[20,80]",4,167,0.60794011985292,0.245000004768372,0.769203027599272,male
"[20,80]",5,176,0.502943181602115,0.244999997317791,0.600702713993747,male
"[20,80]",6,204,0.618882351134922,0.37049999833107,0.646782037791709,male
"[20,80]",7,196,0.474857143411527,0.239000000059605,0.498550676104743,male
"[20,80]",8,184,0.47972461471901,0.240000002086163,0.509680261952841,male
"[20,80]",9,145,0.519799999378878,0.210999995470047,0.685876991946568,male
"[20,80]",10,160,0.660018749162555,0.346000000834465,0.684628810017846,male
"[20,80]",11,202,0.537772279269625,0.293500006198883,0.586217115003398,male
"[20,80]",12,209,0.51666985815792,0.272000014781952,0.58032517533059,male
"[20,80]",1,283,1.28972069805903,0.800000011920929,1.2346879890102,female
"[20,80]",2,253,1.34557177818458,0.975000023841858,1.27996118839434,female
"[20,80]",3,256,1.49313400537358,1.10000002384186,1.23632288325115,female
"[20,80]",4,237,1.56920782457801,1.03999996185303,1.40038539864783,female
"[20,80]",5,276,1.33294916325721,0.810000002384186,1.3196716049055,female
"[20,80]",6,276,1.28662782597045,0.800000011920929,1.29379564291324,female
"[20,80]",7,280,1.19326071300145,0.800000011920929,1.09068973245643,female
"[20,80]",8,250,1.16291065564752,0.699999988079071,1.0690959287039,female
"[20,80]",9,241,1.25563068740472,0.699999988079071,1.25875101852694,female
"[20,80]",10,267,1.40124959094024,0.800000011920929,1.46334724381737,female
"[20,80]",11,320,1.33638954034541,1,1.14780583762781,female
"[20,80]",12,277,1.34374843241936,0.912999987602234,1.15037450596986,female
"[20,80]",1,479,1.01255314601177,0.589999973773956,1.03679022434686,both
"[20,80]",2,406,1.17977995159371,0.7049999833107,1.2210434788959,both
"[20,80]",3,432,1.07470440926651,0.664500027894974,1.06901790732561,both
"[20,80]",4,402,1.15673943560811,0.603500008583069,1.21218162012955,both
"[20,80]",5,444,1.01308101110227,0.539499998092651,1.11502383054933,both
"[20,80]",6,478,0.991590543427976,0.594999998807907,1.06132156929555,both
"[20,80]",7,464,0.882963286231047,0.577499985694885,0.869123384284625,both
"[20,80]",8,434,0.849631320753817,0.496500000357628,0.871878982672564,both
"[20,80]",9,383,0.990579622571524,0.469999998807907,1.12712274812909,both
"[20,80]",10,435,1.06776469259084,0.611000001430512,1.1660281856961,both
"[20,80]",11,523,1.01317524501117,0.60699999332428,0.995882961085459,both
"[20,80]",12,487,0.984561225227262,0.509999990463257,1.02523872822606,both
