age_group,month,n,mean,median,std,type
"[20,80]",1,1011049,42.1410509237408,42.7999992370606,3.60507236923009,male
"[20,80]",2,938141,42.0943452818735,42.7000007629395,3.56599375644177,male
"[20,80]",3,988101,41.9557919923854,42.5999984741211,3.60450893496697,male
"[20,80]",4,921039,41.8457220080619,42.5,3.60862528867855,male
"[20,80]",5,996194,41.8586511946713,42.4000015258789,3.50261766003548,male
"[20,80]",6,1010498,41.8639326359402,42.4000015258789,3.46583660189618,male
"[20,80]",7,1019694,41.7781228690086,42.2999992370606,3.44559852539921,male
"[20,80]",8,965287,41.6511788398995,42.2000007629395,3.48982261556148,male
"[20,80]",9,877669,41.621565390885,42.2000007629395,3.57086776673432,male
"[20,80]",10,937492,41.8049390736393,42.4000015258789,3.53515804323021,male
"[20,80]",11,990657,42.0982916070162,42.5999984741211,3.50762093304622,male
"[20,80]",12,1013403,42.1588732140969,42.7900009155273,3.58090834065345,male
"[20,80]",1,1554728,37.7352370529693,38,2.76304007877036,female
"[20,80]",2,1461459,37.7559019369828,38,2.74103037153635,female
"[20,80]",3,1539621,37.6643989945142,37.9000015258789,2.74521093614826,female
"[20,80]",4,1456183,37.5798536852989,37.7999992370606,2.74608513839826,female
"[20,80]",5,1619122,37.5991309214379,37.7999992370606,2.71984266862527,female
"[20,80]",6,1636590,37.6197687270032,37.7999992370606,2.69610524142874,female
"[20,80]",7,1646356,37.5282287976877,37.7000007629395,2.69892036456189,female
"[20,80]",8,1570575,37.4695516261098,37.7000007629395,2.72408716659433,female
"[20,80]",9,1424172,37.4301435878024,37.5999984741211,2.75096168845932,female
"[20,80]",10,1524795,37.55633148632,37.7999992370606,2.74574148835512,female
"[20,80]",11,1580261,37.7436908508418,38,2.74181337832448,female
"[20,80]",12,1561890,37.7640004802919,38,2.74316968485008,female
"[20,80]",1,2566661,39.2959858704548,39.4000015258789,3.50028317658773,both
"[20,80]",2,2397164,39.2778729569496,39.4000015258789,3.45386531030413,both
"[20,80]",3,2526318,39.1755443721275,39.2999992370606,3.45675224333074,both
"[20,80]",4,2381101,39.0792717122828,39.2000007629395,3.45333638784622,both
"[20,80]",5,2620400,39.061495800126,39.2000007629395,3.40085498630102,both
"[20,80]",6,2638827,39.054955523083,39.0999984741211,3.35419721830896,both
"[20,80]",7,2663117,38.9657843824266,39.0999984741211,3.35567105353477,both
"[20,80]",8,2536400,38.8985311446621,39,3.38145896624951,both
"[20,80]",9,2296777,38.8533360350962,39,3.40798427327954,both
"[20,80]",10,2468337,39.0168940312056,39.0999984741211,3.42354863737801,both
"[20,80]",11,2565466,39.225893014813,39.2999992370606,3.4244865364336,both
"[20,80]",12,2576628,39.3236169911696,39.4000015258789,3.4763574859069,both
