age_group,month,n,mean,median,std,type
"[20,80]",1,423772,44.2015034012789,44.2999992370606,2.60627500903139,male
"[20,80]",2,396245,44.1765459722509,44.2000007629395,2.59503370356725,male
"[20,80]",3,414976,44.0901592399403,44.2000007629395,2.60632278162813,male
"[20,80]",4,380481,44.0034030824765,44.0999984741211,2.58832400795492,male
"[20,80]",5,419749,43.9152516575437,44,2.5773231660266,male
"[20,80]",6,430848,43.8392776986069,43.9000015258789,2.56517382426342,male
"[20,80]",7,434473,43.7405237594203,43.7999992370605,2.56471940504495,male
"[20,80]",8,409090,43.7052995696449,43.7999992370605,2.58295463672416,male
"[20,80]",9,361673,43.756320897658,43.7999992370605,2.62065061394161,male
"[20,80]",10,384699,43.9162049001899,44,2.60241584694353,male
"[20,80]",11,409671,44.1208477275448,44.2000007629395,2.58742777588945,male
"[20,80]",12,418823,44.2286046611926,44.2999992370606,2.58058807513149,male
"[20,80]",1,533407,39.1719043583159,39.2000007629395,2.44796842815684,female
"[20,80]",2,512225,39.1554868798677,39.2000007629395,2.44465064271702,female
"[20,80]",3,534428,39.1007785087183,39.2000007629395,2.44586119762384,female
"[20,80]",4,501236,39.0582566228604,39.0999984741211,2.44296192872517,female
"[20,80]",5,569767,39.006083186195,39.0999984741211,2.42791400832335,female
"[20,80]",6,584839,38.9791716324369,39,2.42671968193797,female
"[20,80]",7,584653,38.9269204786627,39,2.41325470470253,female
"[20,80]",8,547863,38.8939766536725,38.9000015258789,2.42512303463531,female
"[20,80]",9,483311,38.9003230234729,38.9000015258789,2.43159790961693,female
"[20,80]",10,516890,39.0248339811632,39.0999984741211,2.44720815980066,female
"[20,80]",11,540743,39.1477657187839,39.2000007629395,2.4456277625365,female
"[20,80]",12,531327,39.2032311191476,39.2000007629395,2.42987904866925,female
"[20,80]",1,955260,41.3387777300498,41.2999992370605,3.31720505475214,both
"[20,80]",2,908672,41.2951031098115,41.2000007629395,3.3109017245742,both
"[20,80]",3,949191,41.2282260180494,41.0999984741211,3.30446598615923,both
"[20,80]",4,882939,41.1334090337744,41,3.29384703784827,both
"[20,80]",5,991874,41.035386263045,40.9000015258789,3.26725073058454,both
"[20,80]",6,1017092,40.9818792658677,40.9000015258789,3.24636454693288,both
"[20,80]",7,1020661,40.9286313129691,40.7999992370605,3.22551309720468,both
"[20,80]",8,956117,40.9111866806294,40.7999992370605,3.22578807437751,both
"[20,80]",9,846113,40.9275247986215,40.7999992370605,3.2641756603699,both
"[20,80]",10,901174,41.0499856474317,41,3.27469546832667,both
"[20,80]",11,949571,41.2379765270351,41.0999984741211,3.28636552556785,both
"[20,80]",12,949307,41.3597174088085,41.2999992370605,3.29958584172235,both
