age_group,month,n,mean,median,std,type
"[20,80]",1,287463,0.774680402221238,0.891685366630554,0.250533320286747,male
"[20,80]",2,267601,0.780432710550211,0.894522845745087,0.248074800991664,male
"[20,80]",3,276991,0.781156843388677,0.895227253437042,0.24768859884015,male
"[20,80]",4,259185,0.780645826285706,0.894776701927185,0.247330088580458,male
"[20,80]",5,285919,0.786195588251383,0.897048473358154,0.242294212626931,male
"[20,80]",6,290497,0.785687832871309,0.895227253437042,0.241520546000944,male
"[20,80]",7,287053,0.780467753228705,0.891917765140533,0.244047830776862,male
"[20,80]",8,267255,0.773560125976748,0.889797866344452,0.24912676659176,male
"[20,80]",9,239436,0.768958211612189,0.889123857021332,0.252717428098379,male
"[20,80]",10,265958,0.766584226418119,0.888107776641846,0.254081996950125,male
"[20,80]",11,289661,0.763810056537433,0.887771129608154,0.256418130767101,male
"[20,80]",12,293076,0.767641327775839,0.889279425144196,0.254651718033075,male
"[20,80]",1,315611,0.760637098728551,0.890056312084198,0.265621797660475,female
"[20,80]",2,300779,0.766940343249243,0.893868327140808,0.261212153992944,female
"[20,80]",3,312273,0.764825321147803,0.893203854560852,0.262994014067273,female
"[20,80]",4,295499,0.764605045077032,0.892250180244446,0.262290700391276,female
"[20,80]",5,333766,0.769560903198983,0.893926858901978,0.257897229261476,female
"[20,80]",6,336704,0.76824812034566,0.89229142665863,0.257844150204605,female
"[20,80]",7,326457,0.763740323417188,0.888455271720886,0.260186090064948,female
"[20,80]",8,304243,0.754741258112697,0.881750822067261,0.266765910495294,female
"[20,80]",9,278052,0.754038385402425,0.881750822067261,0.267848267611114,female
"[20,80]",10,309066,0.752478362754653,0.881664514541626,0.26898709559383,female
"[20,80]",11,331236,0.751797777348156,0.881664514541626,0.26919074925661,female
"[20,80]",12,323655,0.752445378822526,0.88289487361908,0.27030799203558,female
"[20,80]",1,602919,0.767438606830444,0.891319930553436,0.258488140615969,both
"[20,80]",2,568442,0.773369300316024,0.894071161746979,0.255143434824557,both
"[20,80]",3,589208,0.772499212151353,0.89399641752243,0.256012588413917,both
"[20,80]",4,554641,0.772140859564926,0.893258452415466,0.25547224231628,both
"[20,80]",5,619597,0.777270121408835,0.895227253437042,0.250892968646051,both
"[20,80]",6,627204,0.776300200211824,0.893868327140808,0.250573811509276,both
"[20,80]",7,613326,0.771485917825242,0.891159772872925,0.252901750515771,both
"[20,80]",8,571407,0.763624231181902,0.888441860675812,0.258715458371436,both
"[20,80]",9,517322,0.761118785859268,0.887771129608154,0.260853319676726,both
"[20,80]",10,574900,0.759143599507979,0.886273622512817,0.262130940008332,both
"[20,80]",11,620705,0.757507904228549,0.885550320148468,0.263230522511481,both
"[20,80]",12,616435,0.759638273506984,0.888076066970825,0.263022453512759,both
