age_group,month,n,mean,median,std,type
"[20,80]",1,37709,5.72696916077478,5.59999990463257,0.698233263260861,male
"[20,80]",2,35071,5.74724787082614,5.59999990463257,0.738701654096468,male
"[20,80]",3,36081,5.73587871739019,5.59999990463257,0.71114156808122,male
"[20,80]",4,32788,5.72321398054316,5.59999990463257,0.697221399220674,male
"[20,80]",5,35359,5.74178200807266,5.59999990463257,0.712664498487067,male
"[20,80]",6,36366,5.74002529909618,5.59999990463257,0.689891246219035,male
"[20,80]",7,36959,5.73318785810087,5.59999990463257,0.685990767257107,male
"[20,80]",8,34787,5.70587460998216,5.59999990463257,0.670019875707734,male
"[20,80]",9,30458,5.69303270185978,5.59999990463257,0.678327924737153,male
"[20,80]",10,33472,5.6828531316031,5.59999990463257,0.649561614124167,male
"[20,80]",11,37045,5.67966662172783,5.59999990463257,0.645018954038964,male
"[20,80]",12,38754,5.70199669867334,5.59999990463257,0.67207426943334,male
"[20,80]",1,41320,5.69075968020883,5.59999990463257,0.595778076572076,female
"[20,80]",2,39873,5.69674140401927,5.59999990463257,0.601172564227718,female
"[20,80]",3,41135,5.69253142158533,5.59999990463257,0.596245640695638,female
"[20,80]",4,38973,5.68874502825571,5.59999990463257,0.580400808472861,female
"[20,80]",5,43262,5.7044886962302,5.59999990463257,0.582481067948729,female
"[20,80]",6,44830,5.71190006634553,5.69999980926514,0.574413548710898,female
"[20,80]",7,44432,5.69649396807245,5.59999990463257,0.557711304762666,female
"[20,80]",8,42052,5.67145819406828,5.59999990463257,0.560968963926932,female
"[20,80]",9,37542,5.66320334549788,5.59999990463257,0.570677676583446,female
"[20,80]",10,40848,5.65642969040043,5.59999990463257,0.553343710309851,female
"[20,80]",11,44015,5.65461047384992,5.59999990463257,0.548198058476167,female
"[20,80]",12,43409,5.66936257582566,5.59999990463257,0.571541905158067,female
"[20,80]",1,79170,5.7047680950743,5.59999990463257,0.644179998041604,both
"[20,80]",2,74793,5.721869159755,5.59999990463257,0.662246447243657,both
"[20,80]",3,77050,5.71471460120853,5.59999990463257,0.646941701720571,both
"[20,80]",4,71609,5.70612548646124,5.59999990463257,0.628395209444716,both
"[20,80]",5,78464,5.7228062550004,5.59999990463257,0.636128197518596,both
"[20,80]",6,81036,5.72681166362042,5.69999980926514,0.622616369623319,both
"[20,80]",7,81203,5.7127667702256,5.59999990463257,0.605386045953536,both
"[20,80]",8,76677,5.68875386389476,5.59999990463257,0.6038434704651,both
"[20,80]",9,68122,5.67301782146077,5.59999990463257,0.617890306737685,both
"[20,80]",10,74462,5.66537911981398,5.59999990463257,0.596927808761725,both
"[20,80]",11,80884,5.66772216979088,5.59999990463257,0.586643664548453,both
"[20,80]",12,82032,5.687937513485,5.59999990463257,0.618489226043644,both
