age_group,month,n,mean,median,std,type
"[20,80]",1,1059377,14.0358650211486,14.3000001907349,1.55001498306829,male
"[20,80]",2,986233,14.0230702775392,14.3000001907349,1.54782162869415,male
"[20,80]",3,1033957,13.9697460233787,14.3000001907349,1.54564882956271,male
"[20,80]",4,974740,13.9197749849353,14.1999998092651,1.56188871554984,male
"[20,80]",5,1059012,13.9067348458578,14.1999998092651,1.51074505595281,male
"[20,80]",6,1076756,13.911864992512,14.1999998092651,1.48215641425127,male
"[20,80]",7,1095892,13.8705665274319,14.1000003814697,1.49712727759886,male
"[20,80]",8,1037821,13.8511799263052,14.1000003814697,1.50605190204953,male
"[20,80]",9,932379,13.8449264646291,14.1000003814697,1.51873641405166,male
"[20,80]",10,1002849,13.9263791054599,14.1999998092651,1.52700604615336,male
"[20,80]",11,1046539,14.0089447966468,14.3000001907349,1.5052405589091,male
"[20,80]",12,1069959,14.0359544700647,14.3000001907349,1.54727469245322,male
"[20,80]",1,1631960,12.4627315215426,12.6000003814697,1.12326461188989,female
"[20,80]",2,1535930,12.4618616113533,12.6000003814697,1.12242349675379,female
"[20,80]",3,1634936,12.4274455503874,12.5,1.13939235847231,female
"[20,80]",4,1560959,12.4068111637962,12.5,1.13835167563357,female
"[20,80]",5,1731252,12.3946454613082,12.5,1.10666248177114,female
"[20,80]",6,1763464,12.3869310824231,12.5,1.10271335017847,female
"[20,80]",7,1790323,12.3552190349169,12.5,1.11839747022556,female
"[20,80]",8,1699633,12.3420185229561,12.3999996185303,1.12045188833433,female
"[20,80]",9,1532442,12.3402135859046,12.3999996185303,1.12516504742196,female
"[20,80]",10,1632560,12.381296287984,12.5,1.12365485226888,female
"[20,80]",11,1686148,12.4557261487833,12.6000003814697,1.11987183229839,female
"[20,80]",12,1656263,12.4643605001517,12.6000003814697,1.12324105774784,female
"[20,80]",1,2697262,13.0429089432164,13.1000003814697,1.46206427554772,both
"[20,80]",2,2529324,13.0352776999991,13.1000003814697,1.45788671461059,both
"[20,80]",3,2657268,12.9893772066297,13,1.44508441709917,both
"[20,80]",4,2522961,12.9623256760724,13,1.44171068292426,both
"[20,80]",5,2795150,12.9300130819145,13,1.41628424121055,both
"[20,80]",6,2849217,12.9228736126752,13,1.41207094183342,both
"[20,80]",7,2882320,12.9055095155278,12.8999996185303,1.41168326148329,both
"[20,80]",8,2714024,12.8691733493153,12.8999996185303,1.39965964188131,both
"[20,80]",9,2472587,12.868218331954,12.8999996185303,1.43306230641621,both
"[20,80]",10,2624177,12.929575397115,13,1.41801438520941,both
"[20,80]",11,2722775,13.0174009356741,13,1.42049187373603,both
"[20,80]",12,2732198,13.041968961789,13.1000003814697,1.45999995253149,both
