age_group,month,n,mean,median,std,type
"[20,80]",1,496067,0.522757387342495,0.527786195278168,0.286162935008481,male
"[20,80]",2,464264,0.518514917044369,0.518435657024384,0.285546307870469,male
"[20,80]",3,485304,0.511221883043545,0.506755113601685,0.285911848815038,male
"[20,80]",4,442832,0.500730337135491,0.499299228191376,0.285072384464736,male
"[20,80]",5,484274,0.490367934430047,0.478967010974884,0.283510460567944,male
"[20,80]",6,495693,0.480234472568013,0.466798156499863,0.28176776470159,male
"[20,80]",7,498542,0.471203871428438,0.462785214185715,0.280618593668206,male
"[20,80]",8,470456,0.469196244068524,0.460995674133301,0.28141087017535,male
"[20,80]",9,416674,0.47602232571066,0.464259713888168,0.283972690438979,male
"[20,80]",10,445798,0.495655341591298,0.487904280424118,0.28484996231871,male
"[20,80]",11,475939,0.514243353222642,0.513233065605164,0.285277560767658,male
"[20,80]",12,488940,0.52435680554914,0.5305135846138,0.285801274177255,male
"[20,80]",1,632552,0.513400758292964,0.512333631515503,0.285985506670931,female
"[20,80]",2,606588,0.511641167624459,0.511845827102661,0.285294945885317,female
"[20,80]",3,632612,0.50649799768721,0.509936034679413,0.285950171850132,female
"[20,80]",4,587552,0.499708875387243,0.505133211612701,0.285571423298736,female
"[20,80]",5,663504,0.492372206947726,0.494360029697418,0.283981815406392,female
"[20,80]",6,677551,0.486833008406788,0.481081128120422,0.28274401123686,female
"[20,80]",7,677856,0.484093196335492,0.478011608123779,0.281873592034731,female
"[20,80]",8,634377,0.48363377064911,0.475897908210754,0.282505503279442,female
"[20,80]",9,562624,0.487233866524468,0.481081128120422,0.283548700100096,female
"[20,80]",10,602114,0.499255471204392,0.504653096199036,0.284593866113546,female
"[20,80]",11,632729,0.511319731106674,0.511795818805695,0.284562438201889,female
"[20,80]",12,627032,0.516607080716544,0.513758361339569,0.284919561588432,female
"[20,80]",1,1128591,0.517504190717374,0.515589356422424,0.286094619477621,both
"[20,80]",2,1070852,0.514626671553962,0.512772977352142,0.285423616045868,both
"[20,80]",3,1117905,0.508549006888823,0.50932651758194,0.285939863545859,both
"[20,80]",4,1030374,0.500140113649839,0.502149105072022,0.285354354335019,both
"[20,80]",5,1147768,0.491528978498465,0.486446440219879,0.283782124939415,both
"[20,80]",6,1173220,0.484033818662273,0.475065916776657,0.282343864409457,both
"[20,80]",7,1176369,0.478626019272413,0.470407754182816,0.281405780206166,both
"[20,80]",8,1104806,0.477480415423969,0.469636708498001,0.282121736584327,both
"[20,80]",9,979272,0.482456109035435,0.473686516284943,0.283774753525832,both
"[20,80]",10,1047907,0.4977377670744,0.497489094734192,0.284706355295693,both
"[20,80]",11,1108653,0.512567599543632,0.511795818805695,0.284868844912625,both
"[20,80]",12,1115942,0.519999444588607,0.516473829746246,0.285324650974028,both
