age_group,month,n,mean,median,std,type
"[20,80]",1,406893,14.8486081044218,14.8999996185303,0.746027717509134,male
"[20,80]",2,382059,14.8392545839688,14.8999996185303,0.746895921927175,male
"[20,80]",3,404134,14.80647304081,14.8000001907349,0.764712066730682,male
"[20,80]",4,369810,14.7843100923551,14.8000001907349,0.764543696242286,male
"[20,80]",5,399371,14.7334876841402,14.8000001907349,0.747091631303691,male
"[20,80]",6,416018,14.6927768077039,14.6999998092651,0.762600169336015,male
"[20,80]",7,412141,14.6477677762697,14.6999998092651,0.744826369496295,male
"[20,80]",8,387257,14.6474401213688,14.6999998092651,0.744605859379549,male
"[20,80]",9,347008,14.6889453893332,14.6999998092651,0.767206525402158,male
"[20,80]",10,366232,14.7458815185736,14.8000001907349,0.747858208519808,male
"[20,80]",11,392663,14.8297181740683,14.8999996185303,0.747848133024896,male
"[20,80]",12,401697,14.849625906276,14.8999996185303,0.746152268434925,male
"[20,80]",1,526506,12.9778578835442,13,0.715788307535484,female
"[20,80]",2,505886,12.9730268933553,13,0.715413533088625,female
"[20,80]",3,523455,12.9173354706625,12.8999996185303,0.715781172971678,female
"[20,80]",4,486823,12.9035060144046,12.8999996185303,0.714636030806984,female
"[20,80]",5,553598,12.8880346899583,12.8999996185303,0.715833878762482,female
"[20,80]",6,567221,12.8772834015133,12.8999996185303,0.714119722259042,female
"[20,80]",7,569296,12.8694702898356,12.8999996185303,0.713276945840987,female
"[20,80]",8,522520,12.8406829217743,12.8999996185303,0.696693639085746,female
"[20,80]",9,470595,12.8729717027607,12.8999996185303,0.715866270380747,female
"[20,80]",10,501835,12.8971541014188,12.8999996185303,0.716233643523302,female
"[20,80]",11,529499,12.9690439886777,13,0.715269302081131,female
"[20,80]",12,523741,12.9806750151924,13,0.714265269999897,female
"[20,80]",1,931266,13.7678173010738,13.6999998092651,1.02371949145673,both
"[20,80]",2,886635,13.7551626173337,13.6999998092651,1.02193088138909,both
"[20,80]",3,922119,13.6927304632689,13.6999998092651,1.01694978495232,both
"[20,80]",4,853589,13.6746570324953,13.6000003814697,1.01583868053896,both
"[20,80]",5,942084,13.6196437963007,13.6000003814697,0.992577775319836,both
"[20,80]",6,967893,13.6097749405128,13.6000003814697,0.99128349305695,both
"[20,80]",7,974311,13.6026379836405,13.6000003814697,0.99031440743874,both
"[20,80]",8,913358,13.6019452684957,13.6000003814697,0.991066068041243,both
"[20,80]",9,815230,13.5815838288426,13.5,1.00872890593243,both
"[20,80]",10,871053,13.6623446470899,13.6000003814697,1.01461696487758,both
"[20,80]",11,906388,13.7157983884019,13.6999998092651,0.998019161694626,both
"[20,80]",12,923138,13.7671043845204,13.6999998092651,1.02263837417066,both
