age_group,month,n,mean,median,std,type
"[20,80]",1,793843,2.87580510405838,1,4.76635183951808,male
"[20,80]",2,728359,2.91309471145494,1,4.84870327540537,male
"[20,80]",3,765364,2.95979027156778,1.10000002384186,4.89994299503802,male
"[20,80]",4,714951,2.98848084872762,1.10000002384186,4.91853338911905,male
"[20,80]",5,772817,2.86983579734514,1,4.73871049149932,male
"[20,80]",6,789091,2.82358520274144,1,4.71130840725988,male
"[20,80]",7,806547,2.79767168109256,1,4.6588271930535,male
"[20,80]",8,771978,2.81546695811276,1,4.64296623203343,male
"[20,80]",9,694167,2.88704738350813,1,4.77210745109131,male
"[20,80]",10,745493,2.86258244044439,1,4.70445740708868,male
"[20,80]",11,787650,2.85136087248949,1,4.71373558801526,male
"[20,80]",12,803260,2.87438173363958,1,4.75994481620478,male
"[20,80]",1,1179444,3.78037232913773,1.5,5.85890811593991,female
"[20,80]",2,1093818,3.80958337786437,1.5,5.90401188078535,female
"[20,80]",3,1150910,3.86430760113176,1.60000002384186,5.96867643805898,female
"[20,80]",4,1086241,3.90547814998484,1.60000002384186,6.01251552024008,female
"[20,80]",5,1204493,3.84463351081216,1.5,5.98656459810967,female
"[20,80]",6,1232690,3.80643509023843,1.5,5.92200774564492,female
"[20,80]",7,1260338,3.77203078186673,1.5,5.84066483490026,female
"[20,80]",8,1204361,3.76179653875361,1.5,5.77417863092679,female
"[20,80]",9,1085393,3.79812414606111,1.60000002384186,5.79822410801257,female
"[20,80]",10,1165618,3.79524535586626,1.60000002384186,5.82541593021935,female
"[20,80]",11,1210871,3.77291379613848,1.5,5.81087480037717,female
"[20,80]",12,1199032,3.78068835626464,1.5,5.84222224364232,female
"[20,80]",1,1973253,3.41251424051845,1.29999995231628,5.44118511115043,both
"[20,80]",2,1822176,3.44807960494316,1.29999995231628,5.50455615558042,both
"[20,80]",3,1916311,3.50032556442186,1.29999995231628,5.5652974358517,both
"[20,80]",4,1801179,3.53760861218325,1.39999997615814,5.5988628736648,both
"[20,80]",5,1977377,3.46032513925639,1.29999995231628,5.5287843975351,both
"[20,80]",6,2021835,3.41993453595006,1.29999995231628,5.48146600539934,both
"[20,80]",7,2066867,3.38772097709277,1.29999995231628,5.40671361128494,both
"[20,80]",8,1976316,3.38855536896507,1.29999995231628,5.35959212988928,both
"[20,80]",9,1779562,3.44018096154657,1.29999995231628,5.42336560072458,both
"[20,80]",10,1911171,3.42915569186676,1.29999995231628,5.41764792167567,both
"[20,80]",11,1998506,3.40635051013914,1.29999995231628,5.40384580419077,both
"[20,80]",12,2002340,3.41471551900944,1.29999995231628,5.43477281772648,both
