age_group,month,n,mean,median,std,type
"[20,80]",1,230440,0.501532976430881,0.496728926897049,0.272361178246586,male
"[20,80]",2,210695,0.50045768790455,0.491845518350601,0.27258534409125,male
"[20,80]",3,219410,0.503267795114003,0.496728926897049,0.27330745185372,male
"[20,80]",4,203194,0.507085053190408,0.50130432844162,0.274718215047727,male
"[20,80]",5,223267,0.502270267838368,0.494122922420502,0.275297730833582,male
"[20,80]",6,233515,0.501824684770505,0.492877215147018,0.274180523794864,male
"[20,80]",7,240855,0.503608106302628,0.49630868434906,0.27434842124982,male
"[20,80]",8,229457,0.506004349709404,0.499192208051682,0.274646219103388,male
"[20,80]",9,199943,0.509399514892582,0.503180086612701,0.274302087660213,male
"[20,80]",10,212706,0.504665615590712,0.498248100280762,0.276090886744669,male
"[20,80]",11,228511,0.503611204788293,0.496728926897049,0.275518484274997,male
"[20,80]",12,233700,0.501239941111907,0.494122922420502,0.272503175063046,male
"[20,80]",1,312368,0.494651196694816,0.485136955976486,0.277746974177699,female
"[20,80]",2,291193,0.494771999560855,0.485920041799545,0.278578135248532,female
"[20,80]",3,303393,0.498065662095475,0.488164722919464,0.279309144300266,female
"[20,80]",4,284889,0.501180097153376,0.491411030292511,0.280783057741171,female
"[20,80]",5,324941,0.497596768431627,0.487626612186432,0.281460953294849,female
"[20,80]",6,340196,0.497433649771455,0.486769258975983,0.280888003506533,female
"[20,80]",7,351002,0.4954311296578,0.486598014831543,0.280222230882099,female
"[20,80]",8,332013,0.497679325505419,0.487648725509644,0.279968212574577,female
"[20,80]",9,291047,0.500582460077985,0.489671260118485,0.278837545278354,female
"[20,80]",10,309505,0.498757140696609,0.489325493574143,0.280357408591912,female
"[20,80]",11,327115,0.496316120236982,0.487626612186432,0.279884770996708,female
"[20,80]",12,320540,0.494729832446429,0.486598014831543,0.277887293462945,female
"[20,80]",1,542443,0.49788050342407,0.488164722919464,0.275328113016786,both
"[20,80]",2,501738,0.497295662416634,0.486790984869003,0.276016714169005,both
"[20,80]",3,522648,0.500389836004745,0.490244030952454,0.276741084235422,both
"[20,80]",4,487977,0.503745284409193,0.49630868434906,0.278231860519839,both
"[20,80]",5,547953,0.499714311429121,0.489671260118485,0.278861402948167,both
"[20,80]",6,573523,0.499373404187861,0.489314138889313,0.278103520812178,both
"[20,80]",7,591867,0.498753967849433,0.489314138889313,0.277874735375939,both
"[20,80]",8,561522,0.50104037202868,0.491411030292511,0.277852622623114,both
"[20,80]",9,490865,0.504292666284032,0.495790332555771,0.276966834719107,both
"[20,80]",10,522391,0.501009687757309,0.491845518350601,0.278720886876276,both
"[20,80]",11,555413,0.499494402179542,0.490204602479935,0.278024944165956,both
"[20,80]",12,554131,0.497567131573389,0.488164722919464,0.275597012293301,both
