age_group,month,n,mean,median,std,type
"[20,80]",1,243690,0.504547783466757,0.499192208051682,0.272670893952115,male
"[20,80]",2,223322,0.50374764935358,0.496759504079819,0.272925886083201,male
"[20,80]",3,232382,0.506820103959331,0.499253153800964,0.273931108193011,male
"[20,80]",4,213451,0.509961470026055,0.503214716911316,0.275196121899506,male
"[20,80]",5,232408,0.505282237935568,0.498248100280762,0.275721791504566,male
"[20,80]",6,242168,0.504143504689857,0.496728926897049,0.274800013480332,male
"[20,80]",7,248986,0.50523432923681,0.496759504079819,0.274698183393029,male
"[20,80]",8,237617,0.507897439300901,0.501109778881073,0.27512150843726,male
"[20,80]",9,207568,0.511251130978902,0.503261685371399,0.274619372497447,male
"[20,80]",10,222012,0.506750717233274,0.499253153800964,0.276566705049289,male
"[20,80]",11,238858,0.505758810475049,0.499192208051682,0.276217903594076,male
"[20,80]",12,245566,0.504296465506277,0.496759504079819,0.272970282772621,male
"[20,80]",1,327685,0.496419513537041,0.486769258975983,0.277350278606893,female
"[20,80]",2,306513,0.49635713782312,0.486790984869003,0.278412448855733,female
"[20,80]",3,318421,0.499657993670157,0.489671260118485,0.279124793450559,female
"[20,80]",4,296053,0.50242376400204,0.493983447551727,0.280652988037853,female
"[20,80]",5,335027,0.498532611983795,0.487648725509644,0.28146239523785,female
"[20,80]",6,349172,0.497996032057798,0.487626612186432,0.28082159229254,female
"[20,80]",7,359567,0.496094931271333,0.486769258975983,0.280282047752898,female
"[20,80]",8,340001,0.498257487277974,0.489325493574143,0.279964279825871,female
"[20,80]",9,298973,0.501343636521807,0.490562349557877,0.278688430919408,female
"[20,80]",10,319417,0.499796443401472,0.489671260118485,0.280393480321262,female
"[20,80]",11,339185,0.497224690850613,0.488164722919464,0.279766058989511,female
"[20,80]",12,334142,0.495734779702193,0.486790984869003,0.277842674030932,female
"[20,80]",1,571463,0.499818402572254,0.490244030952454,0.275426250785127,both
"[20,80]",2,529839,0.499471803726489,0.489671260118485,0.276133766468687,both
"[20,80]",3,550628,0.50283099013265,0.494667023420334,0.276884708154546,both
"[20,80]",4,509388,0.505693572328545,0.499192208051682,0.278343871985249,both
"[20,80]",5,567198,0.501492728012897,0.491444379091263,0.27903898036089,both
"[20,80]",6,591144,0.5006714104682,0.489671260118485,0.27830430475994,both
"[20,80]",7,608371,0.499975693828425,0.489671260118485,0.27797102073436,both
"[20,80]",8,577365,0.502422674982021,0.492877215147018,0.277911525025609,both
"[20,80]",9,506537,0.505408251452169,0.496759504079819,0.277063686817823,both
"[20,80]",10,541380,0.502688780240102,0.494354575872421,0.278825179783849,both
"[20,80]",11,577806,0.500941963318017,0.491845518350601,0.278234378386287,both
"[20,80]",12,579754,0.499328353752125,0.490204602479935,0.275835396529406,both
