age_group,month,n,mean,median,std,type
"[20,80]",1,2035,0.532291503357918,0.550000011920929,0.292929731986797,male
"[20,80]",2,1856,0.526724905679093,0.536013305187225,0.294616219854867,male
"[20,80]",3,2091,0.525637994616794,0.528571426868439,0.295056787775813,male
"[20,80]",4,1718,0.498611594160815,0.5,0.292818352261712,male
"[20,80]",5,1997,0.510047768245455,0.515723288059235,0.294572878267183,male
"[20,80]",6,2111,0.498305200902443,0.494047611951828,0.294833109855505,male
"[20,80]",7,2012,0.49627957370796,0.493937388062477,0.296932185476655,male
"[20,80]",8,1872,0.491414478823043,0.488095223903656,0.299762035181057,male
"[20,80]",9,1678,0.534277827669872,0.552177846431732,0.299298402934143,male
"[20,80]",10,1737,0.516126872839489,0.511904776096344,0.299650290932564,male
"[20,80]",11,1895,0.510681708012572,0.5,0.301508487823373,male
"[20,80]",12,2017,0.525113894858794,0.549668848514557,0.294672498093104,male
"[20,80]",1,3983,0.551092269946032,0.565420567989349,0.296395924497482,female
"[20,80]",2,3780,0.547004057885833,0.561403512954712,0.295413485939535,female
"[20,80]",3,3820,0.542891083479523,0.55457416176796,0.294875733029912,female
"[20,80]",4,3465,0.525658289796282,0.531578958034515,0.293759164831944,female
"[20,80]",5,3934,0.531142781197648,0.545454561710358,0.29512962788383,female
"[20,80]",6,4049,0.532680305022315,0.53125,0.294691619664999,female
"[20,80]",7,4186,0.532923340601638,0.535825997591019,0.291308634778545,female
"[20,80]",8,3627,0.526936322389269,0.534090936183929,0.295584019265735,female
"[20,80]",9,3238,0.52265120876957,0.526946872472763,0.292295886497691,female
"[20,80]",10,3418,0.535936590139424,0.542534947395325,0.295788032053738,female
"[20,80]",11,3821,0.542656010475514,0.552631556987763,0.294809858240174,female
"[20,80]",12,3979,0.545248147422744,0.560150384902954,0.296261003279208,female
"[20,80]",1,5999,0.54647039349355,0.561403512954712,0.294188069861205,both
"[20,80]",2,5617,0.542154695228116,0.555555582046509,0.294095829117784,both
"[20,80]",3,5889,0.538803778883082,0.548856556415558,0.29372790801918,both
"[20,80]",4,5168,0.518204910397362,0.521588921546936,0.292776077669604,both
"[20,80]",5,5910,0.525919379564491,0.538461565971375,0.293917715026751,both
"[20,80]",6,6139,0.522687081045951,0.520146548748016,0.294083574870717,both
"[20,80]",7,6178,0.522735983247809,0.524193525314331,0.292558083080753,both
"[20,80]",8,5479,0.516738955635641,0.518987357616425,0.29634340741411,both
"[20,80]",9,4899,0.528448622535354,0.535714268684387,0.293594052160178,both
"[20,80]",10,5137,0.531118390856701,0.538904905319214,0.296070857134152,both
"[20,80]",11,5696,0.533933923752577,0.540323734283447,0.296226943921657,both
"[20,80]",12,5977,0.540201605975043,0.557894766330719,0.294734622736709,both
