age_group,month,n,mean,median,std,type
"[20,80]",1,684,0.534431702103357,0.538964599370956,0.262873716005034,male
"[20,80]",2,651,0.53466811623945,0.547945201396942,0.262909943199412,male
"[20,80]",3,757,0.527383486357674,0.520958065986633,0.26039515411215,male
"[20,80]",4,595,0.491664740230356,0.489510476589203,0.25059870632625,male
"[20,80]",5,675,0.502508338066163,0.492537319660187,0.25319452168079,male
"[20,80]",6,687,0.478280311388003,0.467532455921173,0.258609910162346,male
"[20,80]",7,674,0.483223400098059,0.482612013816834,0.260703609251609,male
"[20,80]",8,666,0.478390288832891,0.453835234045982,0.259577806271428,male
"[20,80]",9,598,0.530814918686315,0.526190459728241,0.266167404595484,male
"[20,80]",10,596,0.510914067193966,0.518892168998718,0.271544772444806,male
"[20,80]",11,613,0.49231794302095,0.468531459569931,0.26150800942923,male
"[20,80]",12,727,0.514091741421774,0.537974655628204,0.256310924307919,male
"[20,80]",1,1567,0.525835625328071,0.528037369251251,0.262081568278202,female
"[20,80]",2,1603,0.540692912290339,0.539568364620209,0.260970319985894,female
"[20,80]",3,1597,0.533706339037672,0.538461565971375,0.260370314966437,female
"[20,80]",4,1488,0.515762695081292,0.52091047167778,0.260509495711318,female
"[20,80]",5,1629,0.510603564067019,0.514018714427948,0.260840384800127,female
"[20,80]",6,1674,0.500779367707394,0.489417687058449,0.257358839113877,female
"[20,80]",7,1759,0.505908924366192,0.49760764837265,0.254691081598479,female
"[20,80]",8,1528,0.509832913426595,0.512987017631531,0.259572310042798,female
"[20,80]",9,1360,0.498457637034795,0.495363369584084,0.261499962589817,female
"[20,80]",10,1383,0.505980957935168,0.503118515014648,0.266604957878135,female
"[20,80]",11,1587,0.522209157161391,0.527777791023254,0.260092985764857,female
"[20,80]",12,1643,0.522733648997469,0.51980197429657,0.27615713978518,female
"[20,80]",1,2252,0.528235061365456,0.534244030714035,0.262424350522662,both
"[20,80]",2,2254,0.538948893785054,0.541825711727142,0.26146526822576,both
"[20,80]",3,2354,0.531675835313337,0.533834576606751,0.260334677607588,both
"[20,80]",4,2082,0.509093657883884,0.51550480723381,0.257762370222663,both
"[20,80]",5,2305,0.50800164434372,0.5078125,0.258642663663511,both
"[20,80]",6,2360,0.494468692221316,0.484528303146362,0.257680503566916,both
"[20,80]",7,2433,0.499618302836273,0.494505494832993,0.256495478051274,both
"[20,80]",8,2194,0.500319818382847,0.495530918240547,0.259842941493829,both
"[20,80]",9,1960,0.507890399412385,0.503175020217896,0.263522653402291,both
"[20,80]",10,1981,0.507472949425028,0.507042229175568,0.26827709733817,both
"[20,80]",11,2198,0.513891827043915,0.509850203990936,0.260514533143788,both
"[20,80]",12,2372,0.520070810428496,0.525563925504684,0.270403502352646,both
