age_group,month,n,mean,median,std,type
"[20,80]",1,158,0.553584446682583,0.569143295288086,0.260347878238452,male
"[20,80]",2,144,0.541681559834009,0.530939668416977,0.293022236632794,male
"[20,80]",3,172,0.509413294082638,0.491432398557663,0.278261550842112,male
"[20,80]",4,169,0.513880287809573,0.516129016876221,0.292587231734791,male
"[20,80]",5,183,0.568458494002539,0.577464759349823,0.265697889143379,male
"[20,80]",6,191,0.548417304939937,0.571428596973419,0.265919789071504,male
"[20,80]",7,166,0.514194792192654,0.538535982370377,0.273472612639206,male
"[20,80]",8,173,0.508279191287008,0.524590134620667,0.283002770675424,male
"[20,80]",9,150,0.512596825510263,0.545092850923538,0.266897035954974,male
"[20,80]",10,149,0.454997515237121,0.401960790157318,0.277371525344751,male
"[20,80]",11,170,0.514170942674665,0.516369879245758,0.279174295735495,male
"[20,80]",12,196,0.490238905295121,0.464901477098465,0.285390021026067,male
"[20,80]",1,189,0.505917198842677,0.507462680339813,0.28890627451049,female
"[20,80]",2,158,0.52734991849129,0.526069521903992,0.292237931103176,female
"[20,80]",3,182,0.531202814388242,0.565694451332092,0.258673275553157,female
"[20,80]",4,156,0.52718876579251,0.561104208230972,0.26703776485566,female
"[20,80]",5,174,0.530795962421288,0.558012008666992,0.278975539623566,female
"[20,80]",6,197,0.52299923405316,0.519230782985687,0.281502484218679,female
"[20,80]",7,208,0.483164138841228,0.469021931290627,0.289098835770407,female
"[20,80]",8,159,0.422569930787731,0.385714292526245,0.259913718441512,female
"[20,80]",9,162,0.50785413660385,0.498520717024803,0.259522768685232,female
"[20,80]",10,173,0.501218822930073,0.5,0.290701317402134,female
"[20,80]",11,189,0.512228044769949,0.5,0.260237376257576,female
"[20,80]",12,185,0.50704912627871,0.508108079433441,0.271156173078932,female
"[20,80]",1,347,0.527702555629379,0.524999976158142,0.276753097819393,both
"[20,80]",2,304,0.537301932063297,0.530939668416977,0.293509593651825,both
"[20,80]",3,354,0.520548804205353,0.538461565971375,0.268094963898471,both
"[20,80]",4,325,0.52026561267674,0.534482777118683,0.280258225765063,both
"[20,80]",5,357,0.550098103223269,0.568807363510132,0.272513236124029,both
"[20,80]",6,388,0.535511738020619,0.552236765623093,0.273884598394354,both
"[20,80]",7,376,0.496879365832664,0.491376832127571,0.283705020284261,both
"[20,80]",8,332,0.467181426069015,0.462709486484528,0.275040969839391,both
"[20,80]",9,312,0.510115853510797,0.515233814716339,0.26260242194893,both
"[20,80]",10,320,0.476566797692794,0.452043369412422,0.282845060850493,both
"[20,80]",11,359,0.51323968176743,0.5,0.268825838573266,both
"[20,80]",12,381,0.498387499001083,0.482352942228317,0.278306741948231,both
