age_group,month,n,mean,median,std,type
"[20,80]",1,424,0.526735707109284,0.536472171545029,0.274341752254332,male
"[20,80]",2,446,0.516405457743515,0.520915746688843,0.299841087838877,male
"[20,80]",3,471,0.510597555797286,0.494505494832993,0.297709707613555,male
"[20,80]",4,402,0.493678779107292,0.468172281980515,0.288897018133198,male
"[20,80]",5,506,0.528063974959827,0.536333918571472,0.295172654816925,male
"[20,80]",6,514,0.53679395489873,0.550587356090546,0.281250900470415,male
"[20,80]",7,513,0.479639124898621,0.485507249832153,0.28086410670337,male
"[20,80]",8,467,0.478090811931634,0.464788734912872,0.291776518237008,male
"[20,80]",9,442,0.497186357823382,0.5,0.270309967401676,male
"[20,80]",10,402,0.477931192883786,0.455721005797386,0.293258853090983,male
"[20,80]",11,467,0.497126400245382,0.482269495725632,0.292309509325266,male
"[20,80]",12,531,0.491009142212991,0.5,0.288629956287828,male
"[20,80]",1,533,0.505145718937645,0.484375,0.295677952775496,female
"[20,80]",2,506,0.522479385676842,0.524756491184235,0.297314339130969,female
"[20,80]",3,504,0.516000204985695,0.50927197933197,0.276658138873043,female
"[20,80]",4,483,0.534487993990536,0.552238821983337,0.293630809124236,female
"[20,80]",5,486,0.51318971223654,0.521798998117447,0.28858025556315,female
"[20,80]",6,521,0.517839501098857,0.523076951503754,0.284692921048008,female
"[20,80]",7,563,0.487243308389616,0.467213124036789,0.299270575684946,female
"[20,80]",8,496,0.457787171625833,0.441852599382401,0.277720571064235,female
"[20,80]",9,449,0.498940219086302,0.474358975887299,0.281105560600124,female
"[20,80]",10,516,0.484368823041829,0.489641904830933,0.301410067763098,female
"[20,80]",11,576,0.507603655667885,0.510282248258591,0.286063147580429,female
"[20,80]",12,537,0.488517558176133,0.482352942228317,0.283612243279105,female
"[20,80]",1,963,0.516699659647778,0.507042229175568,0.288155275886773,both
"[20,80]",2,953,0.519107997717467,0.522727251052856,0.298643761235566,both
"[20,80]",3,982,0.515863973376115,0.50927197933197,0.288795971455532,both
"[20,80]",4,882,0.513159626594358,0.513233423233032,0.291155577138174,both
"[20,80]",5,992,0.520776994070113,0.528887778520584,0.291908747445816,both
"[20,80]",6,1031,0.524448819190199,0.539215683937073,0.28204749628417,both
"[20,80]",7,1082,0.486448003263204,0.478926360607147,0.29215181397703,both
"[20,80]",8,965,0.467688243427927,0.454545468091965,0.285218833728957,both
"[20,80]",9,891,0.498070177921083,0.491803288459778,0.275649496071548,both
"[20,80]",10,918,0.476075704677704,0.468308284878731,0.29725261375357,both
"[20,80]",11,1043,0.502912497199708,0.496296286582947,0.288784403683636,both
"[20,80]",12,1069,0.489310524615453,0.491803288459778,0.286224058345855,both
